,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333973.80851625,84334138.83766149,84334249.36671339,84334327.63099913,84334385.44743863,84333958.49218227,84334127.6058369,84334241.2481334,84334321.92207907,84334381.64418276,84333943.93491554,84334116.62882145,84334233.01967914,84334315.82902536,84334377.24259272,84333930.14093971,84334106.01359732,84334224.86179928,84334309.58781965,84334372.52275112,84333917.07866472,84334095.80303389,84334216.87044665,84334303.3342336,84334367.6517135,84333904.70225424,84334086.00702402,84334209.09522328,84334297.14751233,84334362.73183414,84333892.96174131,84334076.61841208,84334201.55950809,84334291.0737656,84334357.82684638,84333881.80777487,84334067.62144741,84334194.27156302,84334285.13910715,84334352.97665289,84333871.19375741,84334058.99638285,84334187.23087996,84334279.3573275,84334348.20606154,84333861.07669015,84334050.7220075,84334180.43190722,84334273.73451817,84334343.53012179,84333851.41737556,84334042.77703984,84334173.86628221,84334268.27193134,84334338.95747764,84333842.18030803,84334035.14087799,84334167.5241869,84334262.9677854,84334334.49252455,84333833.33342251,84334027.79398224,84334161.3951762,84334257.81842369,84334330.13682467,84333824.8477896,84334020.71804564,84334155.46868357,84334252.81906722,84334325.89005071,84333816.69730203,84334013.89604335,84334149.73432551,84334247.96430779,84334321.75062409
1,2021-07-02,84332569.00689971,84332984.4602139,84333272.48915246,84333481.27451381,84333638.11576252,84332532.64680815,84332956.50424534,84333251.63281213,84333466.27640364,84333627.95732233,84332498.21078044,84332929.25594658,84333230.53677177,84333450.29269479,84333616.21289347,84332465.68932661,84332902.97431423,84333209.66372198,84333433.94545661,84333603.63373022,84332434.99005438,84332877.7577887,84333189.25712423,84333417.59115788,84333590.66720198,84332405.9893098,84332853.62299944,84333169.4405724,84333401.43659063,84333577.58667548,84332378.55605589,84332830.54488361,84333150.27016665,84333385.6009693,84333564.56170002,84332352.56282715,84332808.47785792,84333131.76335669,84333370.15080301,84333551.69783492,84332327.89046703,84332787.3672463,84333113.91537826,84333355.12024008,84333539.0601749,84332304.42982619,84332767.15550743,84333096.70886803,84333340.52331111,84333526.68771535,84332282.08198111,84332747.78560746,84333080.11959568,84333326.3614846,84333514.60237107,84332260.75775689,84332729.20279332,84333064.11992246,84333312.62842484,84333502.81477106,84332240.37695335,84332711.35545862,84333048.68089764,84333299.31303512,84333491.32805467,84332220.86747731,84332694.1954931,84333033.77352342,84333286.40142678,84333480.1403987,84332202.16448188,84332677.67834021,84333019.36950524,84333273.87820216,84333469.2467214
2,2021-07-03,84330709.95182246,84331417.19922304,84331922.99913456,84332297.58703923,84332583.38045995,84330651.44335142,84331370.24236032,84331886.93195122,84332271.10340355,84332565.16106954,84330596.18919623,84331324.57760687,84331850.51373205,84332242.91604224,84332544.11665972,84330544.147635,84331280.62908955,84331814.54297794,84332214.12653178,84332521.5996166,84330495.14667058,84331238.55002569,84331779.43588722,84332185.36381505,84332498.41409017,84330448.96760659,84331198.3567371,84331745.40024437,84332156.99072844,84332475.05024883,84330405.38321456,84331159.99667953,84331712.52698623,84332129.21467228,84332451.81101036,84330364.17489323,84331123.38416193,84331680.84053838,84332102.14973837,84332428.88399462,84330325.13980827,84331088.41949308,84331650.32742639,84332075.85292289,84332406.38402583,84330288.09319337,84331054.99931502,84331620.9529552,84332050.34588858,84332384.37907565,84330252.86833844,84331023.0221206,84331592.67110907,84332025.62836939,84332362.90653808,84330219.3155238,84330992.39108856,84331565.43049084,84332001.68659061,84332341.98367491,84330187.30053368,84330963.01540893,84331539.17789464,84331978.49863862,84332321.61444849,84330156.70306556,84330934.81075747,84331513.86043923,84331956.03792161,84332301.79406184,84330127.41518891,84330907.69929671,84331489.4268143,84331934.27541395,84332282.5120135
3,2021-07-04,84328510.95785001,84329521.22379124,84330264.76829907,84330826.56518821,84331261.5059824,84328431.85608414,84329455.15126835,84330212.60779895,84330787.4976168,84331234.22612919,84328357.3303196,84329391.02130888,84330160.02012987,84330745.96506539,84331202.74281612,84328287.29369453,84329329.41695686,84330108.1576612,84330703.59647794,84331169.08766215,84328221.48703918,84329270.53873895,84330057.61587788,84330661.31879026,84331134.46703461,84328159.59231609,84329214.39532645,84330008.68749511,84330619.6640279,84331099.61459374,84328101.28386223,84329160.90000574,84329961.49614286,84330578.93391126,84331064.98221375,84328046.25101058,84329109.92110096,84329916.0697341,84330539.29222898,84331030.84842949,84327994.20716418,84329061.3088336,84329872.38206905,84330500.81863546,84330997.38249496,84327944.89239772,84329014.90969183,84329830.37701356,84330463.54093786,84330964.68346924,84327898.07301673,84328970.57400253,84329789.98279175,84330427.4549483,84330932.80471799,84327853.53977095,84328928.1597376,84329751.1205154,84330392.53692615,84330901.76962245,84327811.10556634,84328887.53421552,84329713.70927872,84330358.75148971,84330871.58184102,84327770.60309176,84328848.5746283,84329677.6691707,84330326.05669762,84330842.23211601,84327731.8825566,84328811.16792372,84329642.92300932,84330294.40732932,84330813.70284393
4,2021-07-05,84326039.39572108,84327348.84460412,84328338.56716405,84329100.49020295,84329698.54260844,84325942.1930795,84327264.57658961,84328270.30661662,84329048.39562918,84329661.64667682,84325850.78957644,84327182.92051588,84328201.57866274,84328993.07119791,84329619.09772174,84325765.04725114,84327104.60457896,84328133.88826089,84328936.6934958,84329573.65155353,84325684.62050334,84327029.86783253,84328068.0070924,84328880.49734198,84329526.9424838,84325609.09586614,84326958.70560367,84328004.30913255,84328825.18819655,84329479.96234798,84325538.05455342,84326890.99331114,84327942.94703256,84328771.16325627,84329433.32015724,84325471.09963517,84326826.55092332,84327883.94877504,84328718.63548788,84329387.3896428,84325407.86657663,84326765.17710505,84327827.272367,84328667.70580694,84329342.39640667,84325348.025903,84326706.66734247,84327772.83753519,84328618.40634397,84329298.47107722,84325291.28221731,84326650.82338026,84327720.5443938,84328570.72700424,84329255.68260747,84325237.37164842,84326597.45786908,84327670.28453146,84328524.6320791,84329214.05960287,84325186.0587541,84326546.39635243,84327621.94759099,84328480.07078134,84329173.60423554,84325137.1333768,84326497.47778158,84327575.42512447,84328436.9839896,84329134.30145893,84325090.40768197,84326450.55423309,84327530.61278199,84328395.3085845,84329096.12518312
5,2021-07-06,84323355.41572845,84324948.84803718,84326183.8660335,84327151.6325453,84327921.27053364,84323243.12092066,84324848.01852658,84326100.16401173,84327086.59685059,84327874.57706213,84323137.69172128,84324750.45171191,84326015.98736997,84327017.59256408,84327820.7662516,84323038.93867943,84324657.00267917,84325933.17786138,84326947.34178293,84327763.33483726,84322946.43654719,84324567.940048,84325852.67328562,84326877.38455515,84327704.35409877,84322859.68605056,84324483.24190684,84325774.92223635,84326808.59700729,84327645.07863607,84322778.1857042,84324402.74474224,84325700.10192356,84326741.46916018,84327586.2766227,84322701.46258315,84324326.2206957,84325628.23737441,84326676.26073119,84327528.41753154,84322629.08389592,84324253.4182912,84325559.26875411,84326613.09173302,84327471.78301482,84322560.65954332,84324184.0839016,84325493.09027983,84326551.99672107,84327416.53450797,84322495.84055582,84324117.97280532,84325429.57306439,84326492.95804395,84327362.75555111,84322434.31580064,84324054.8545273,84325368.57862401,84326435.9265999,84327310.47887123,84322375.80812903,84323994.51502323,84325309.96684766,84326380.83496964,84327259.7040295,84322320.07052505,84323936.75713111,84325253.60062687,84326327.60579807,84327210.40909092,84322266.88251007,84323881.4000948,84325199.3484498,84326276.15716301,84327162.55843055
6,2021-07-07,84320502.93164101,84322358.70057523,84323832.00206839,84325006.21170288,84325951.81072268,84320378.57023817,84322243.27075005,84323733.91105485,84324928.67133777,84325895.40317638,84320261.95962606,84322131.70987992,84323635.3650025,84324846.46706502,84325830.43788028,84320152.86281066,84322024.98067261,84323538.51825483,84324762.84932864,84325761.14893119,84320050.78546004,84321923.37339255,84323444.46091677,84324679.65250103,84325690.04167238,84319955.15527569,84321826.84686537,84323353.70826982,84324597.91614078,84325618.63093242,84319865.40109165,84321735.19970916,84323266.45761895,84324518.21814638,84325547.84180297,84319780.98637132,84321648.15888697,84323182.72867598,84324440.86153415,84325478.23751932,84319701.42146897,84321565.42618896,84323102.44270629,84324365.98297495,84325410.15405002,84319626.26598789,84321486.70258063,84323025.46817417,84324293.61771537,84325343.78212802,84319555.12666017,84321411.70062186,84322951.64745796,84324223.73931609,84325279.2185723,84319487.65338717,84321340.15036087,84322880.81258504,84324156.2844149,84325216.49910142,84319423.53472415,84321271.8016418,84322812.79446518,84324091.16836014,84325155.61969163,84319362.49341787,84321206.4244578,84322747.4282129,84324028.29516114,84325096.55068097,84319304.28226833,84321143.80826864,84322684.55609302,84323967.56383911,84325039.24618825
7,2021-07-08,84317517.53113522,84319609.90798074,84321310.06319012,84322687.38108505,84323810.03124753,84317383.93643454,84319481.96922502,84321198.87758814,84322598.01774459,84323744.1915568,84317258.79143558,84319358.44399846,84321087.27656361,84322503.34912276,84323668.40574597,84317141.81841004,84319240.38384312,84320977.69782636,84322407.1262316,84323587.62630849,84317032.46649791,84319128.0940846,84320871.36796348,84322311.46114801,84323504.78075391,84316930.10454279,84319021.51385824,84320768.8605439,84322217.54663254,84323421.6362891,84316834.10567248,84318920.4065704,84320670.38881777,84322126.04206663,84323339.26954687,84316743.88277349,84318824.45813318,84320575.96551809,84322037.28975837,84323258.33373977,84316658.9011828,84318733.32833742,84320485.49281602,84321951.44055873,84323179.21643496,84316578.68081164,84318646.67761698,84320398.81409365,84321868.52892804,84323102.13568443,84316502.79353413,84318564.18058309,84320315.74416432,84321788.51882674,84323027.20013344,84316430.85866673,84318485.53234483,84320236.08700918,84321711.33226667,84322954.4474212,84316362.53790586,84318410.45088239,84320159.6461342,84321636.86730005,84322883.86915003,84316297.53036675,84318338.67728215,84320086.23049796,84321565.0094402,84322815.42735328,84316235.5680053,84318269.97485003,84320015.65775427,84321495.6389276,84322749.06547554
8,2021-07-09,84314420.86816101,84316723.1331026,84318636.5454016,84320211.3256991,84321510.0124712,84314280.41759582,84316584.67098376,84318513.61653996,84320110.93328583,84321435.13318774,84314148.94523033,84316451.09748286,84318390.32445256,84320004.65038778,84321348.98592715,84314026.14099883,84316323.53650102,84318269.36006202,84319896.69576713,84321257.21373472,84313911.41034073,84316202.30361177,84318152.07067356,84319789.44004601,84321163.14928475,84313804.0770158,84316087.31918755,84318039.08024946,84319684.21778469,84321068.80137618,84313703.47170047,84315978.3151159,84317930.61451863,84319581.7630375,84320975.39114955,84313608.968874,84315874.941178,84317826.67829895,84319482.4534005,84320883.65712278,84313519.99977942,84315776.82050514,84317727.15517886,84319386.4516567,84320794.03532583,84313436.05433327,84315683.57833712,84317631.86478415,84319293.79034904,84320706.7690203,84313356.67811733,84315594.85645707,84317540.59612639,84319204.42342417,84320621.97726874,84313281.46741697,84315510.31983766,84317453.12711376,84319118.25831653,84320539.6987084,84313210.06373324,84315429.65904112,84317369.23589443,84319035.17612667,84320459.91998735,84313142.14843665,84315352.5903316,84317288.70730716,84318955.04440261,84320382.59449686,84313077.43785092,84315278.85459732,84317211.3363729,84318877.72524758,84320307.65484382
9,2021-07-10,84311228.60702187,84313713.96837619,84315825.76457995,84317590.78252275,84319062.95823273,84311083.18362969,84313566.78505546,84315692.42333789,84317480.20456505,84318979.49835144,84310947.12175709,84313424.89416417,84315558.77734625,84317363.20611343,84318883.5230633,84310820.08767104,84313289.47807477,84315427.7413268,84317244.4385076,84318781.3326033,84310701.45497881,84313160.85935171,84315300.76835082,84317126.51070195,84318676.64469133,84310590.51466072,84313038.9414694,84315178.5256561,84317010.88729672,84318571.69719325,84310486.5665623,84312923.42904155,84315061.24868184,84316898.37022121,84318467.84779309,84310388.95729132,84312813.9409436,84314948.93400207,84316789.3685582,84318365.91519177,84310297.09336534,84312710.0691318,84314841.44765349,84316684.05506836,84318266.3805831,84310210.4429595,84312611.40902857,84314738.5872717,84316582.45957547,84318169.51033668,84310128.53260645,84312517.57467937,84314640.1182004,84316484.52593315,84318075.43263148,84310050.94191156,84312428.20564759,84314545.79455921,84316390.14737011,84317984.18634455,84309977.29775465,84312342.96941887,84314455.37144534,84316299.18868323,84317895.7527827,84309907.26866305,84312261.56139712,84314368.61183257,84316211.50026609,84317810.07656339,84309840.55964917,84312183.70365623,84314285.29026997,84316126.9269844,84317727.07949966
