,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333903.39321437,84334081.92710553,84334201.72883002,84334286.66812262,84334349.47322883,84333886.84438343,84334069.76317638,84334192.92299387,84334280.46925999,84334345.34031315,84333871.11901155,84334057.87702437,84334183.99897559,84334273.85382369,84334340.55746353,84333856.22116007,84334046.38434292,84334175.15248542,84334267.07809778,84334335.42910928,84333842.11624297,84334035.3313644,84334166.48753372,84334260.28950408,84334330.13681294,84333828.75434403,84334024.72861157,84334158.05783656,84334253.57406025,84334324.79180197,84333816.08114487,84334014.56815973,84334149.88866286,84334246.9817925,84334319.46332076,84333804.04304625,84334004.8327956,84334141.98888816,84334240.54101063,84334314.1947099,84333792.5894699,84333995.50099744,84334134.35788195,84334234.2666434,84334309.0129033,84333781.67376393,84333986.54967657,84334126.98955095,84334228.16526182,84334303.93422964,84333771.25341529,84333977.95568402,84334119.87476075,84334222.23818533,84334298.96805727,84333761.28992595,84333969.69662103,84334113.00280559,84334216.48344265,84334294.11913897,84333751.74853688,84333961.75125119,84334106.36230637,84334210.89702997,84334289.38915008,84333742.59789483,84333954.09968367,84334099.94175814,84334205.4737282,84334284.7777145,84333733.80971055,84333946.7234249,84334093.72985983,84334200.20763808,84334280.28309803
1,2021-07-02,84332380.91949232,84332828.6572206,84333139.86692433,84333365.86399995,84333535.86054641,84332341.79202732,84332798.482487,84333117.30801287,84333349.61683673,84333524.84351002,84332304.74456078,84332769.0774437,84333094.49327831,84333332.30392049,84333512.10743728,84332269.76534294,84332740.72105815,84333071.9231116,84333314.5993008,84333498.4673398,84332236.7535809,84332713.51892063,84333049.86060268,84333296.88911623,84333484.4084959,84332205.57504363,84332687.48833904,84333028.43912393,84333279.39726704,84333470.22737662,84332176.08774678,84332662.60167962,84333007.71903381,84333262.25273907,84333456.10780618,84332148.15371592,84332638.8092297,84332987.71889985,84333245.527409,84333442.16418229,84332121.6440579,84332616.0515308,84332968.43328778,84333229.25809862,84333428.46700558,84332096.4407638,84332594.26609431,84332949.84316477,84333213.45984533,84333415.05846846,84332072.4369235,84332573.39103432,84332931.92209907,84333198.13409057,84333401.96224126,84332049.53619497,84332553.36697409,84332914.63999918,84333183.27383505,84333389.1897596,84332027.65195736,84332534.1379737,84332897.96537879,84333168.86693552,84333376.74434285,84332006.70636596,84332515.65190127,84332881.86672221,84333154.89823708,84333364.62393515,84331986.6294167,84332497.8604898,84332866.3132934,84333141.35096194,84333352.82295364
2,2021-07-03,84330375.23206052,84331134.05584796,84331678.3920459,84332082.41425502,84332391.17948441,84330312.55697232,84331083.5807379,84331639.52498507,84332053.82104184,84332371.48042129,84330253.3843109,84331034.50570327,84331600.28666122,84332023.39251609,84332348.72912833,84330197.66660127,84330987.2854589,84331561.53737934,84331992.31835465,84332324.3883953,84330145.21715058,84330942.08338088,84331523.72511038,84331961.27754281,84332299.32788531,84330095.79962364,84330898.91575086,84331487.07310747,84331930.66155832,84332274.077563,84330049.16889982,84330857.72495207,84331451.67869078,84331900.6939718,84332248.96481448,84330005.089404,84330818.41788176,84331417.56754239,84331871.49758507,84332224.19230334,84329963.34270339,84330780.88652702,84331384.72455937,84331843.13356142,84332199.8839598,84329923.72992656,84330745.01905851,84331353.11183399,84331815.6249374,84332176.11305125,84329886.07171239,84330710.7057453,84331322.67932074,84331788.97110243,84332152.91979027,84329850.20703685,84330677.84198667,84331293.37123203,84331763.15689197,84332130.32263453,84329815.99159504,84330646.32972263,84331265.12988244,84331738.15838437,84332108.32567726,84329783.29607695,84330616.0779317,84331237.89798161,84331713.94663566,84332086.923557,84329752.00449981,84330587.00262162,84331211.6199717,84331690.49010022,84332066.1047604
3,2021-07-04,84328007.3605682,84329087.79484344,84329885.57420997,84330489.8364755,84330958.543906,84327922.88447206,84329016.9821308,84329829.51988308,84330447.764552,84330929.11790745,84327843.31677985,84328948.26748936,84329773.0173563,84330403.04477362,84330895.1614864,84327768.5609279,84328882.27397619,84329717.30468802,84330357.43189783,84330858.86703798,84327698.33682646,84328819.21452127,84329663.02094033,84330311.92402309,84330821.53616408,84327632.30205828,84328759.09654021,84329610.47962034,84330267.0936408,84330783.96020591,84327570.10655397,84328701.82542245,84329559.8125149,84330223.26508562,84330746.62634988,84327511.41667677,84328647.25859192,84329511.04861335,84330180.61411345,84330709.83470613,84327455.92483951,84328595.23428224,84329464.15884818,84330139.22588831,84330673.7674662,84327403.35221855,84328545.58691408,84329419.08208582,84330099.12977816,84330638.53109798,84327353.44822966,84328498.15518491,84329375.74048293,84330060.32074462,84330604.18279378,84327305.98857634,84328452.78612414,84329334.0486443,84330022.772745,84330570.74742493,84327260.77277167,84328409.33689508,84329293.91908807,84329986.44725126,84330538.22861512,84327217.62157582,84328367.67534116,84329255.26547301,84329951.29871881,84330506.61608396,84327176.3745576,84328327.67984393,84329218.00445291,84329917.27811505,84330475.89057636
4,2021-07-05,84325350.2491912,84326746.99641663,84327806.22392383,84328623.78850493,84329266.84180376,84325246.6796225,84326656.89663446,84327733.0360171,84328567.80948456,84329227.12407789,84325149.3138809,84326569.6098877,84327659.36150223,84328508.36913037,84329181.3263852,84325058.0004506,84326485.9123825,84327586.8134612,84328447.807057,84329132.41665281,84324972.36718516,84326406.0571454,84327516.21805258,84328387.44995572,84329082.15463836,84324891.97028285,84326330.03676443,84327447.97478674,84328328.05523238,84329031.60795848,84324816.36086577,84326257.71589372,84327382.24586847,84328270.04885258,84328981.43183927,84324745.1138423,84326188.90019366,84327319.0599314,84328213.65876488,84328932.02809125,84324677.83904628,84326123.37282294,84327258.37071812,84328158.99253438,84328883.6390114,84324614.18399832,84326060.91378592,84327200.0910718,84328106.08387037,84328836.40465334,84324553.83279474,84326001.30998872,84327144.11294544,84328054.92118081,84328790.39869933,84324496.5033365,84325944.36017606,84327090.3192768,84328005.46542579,84328745.65143295,84324441.94398797,84325889.87702706,84327038.5910291,84327957.66143599,84328702.16472352,84324389.93019363,84325837.68768169,84326988.81131022,84327911.44515483,84328659.92194706,84324340.26129611,84325787.63341804,84326940.86770645,84327866.74829167,84328618.89463289
5,2021-07-06,84322470.21186216,84324165.88490787,84325484.52786212,84326520.62066467,84327346.39935707,84322350.79889628,84324058.30912687,84325394.97633302,84326450.8802739,84327296.23384614,84322238.71348141,84323954.23796123,84325304.9348732,84326376.89618653,84327238.42889926,84322133.74918683,84323854.58084548,84325216.37325439,84326301.58831416,84327176.74303119,84322035.44953214,84323759.62131657,84325130.29325251,84326226.60781448,84327113.40211423,84321943.28005324,84323669.3331438,84325047.17297474,84326152.89331807,84327049.753916,84321856.70459077,84323583.53935483,84324967.20018448,84326080.96918091,84326986.62323011,84321775.21790609,84323501.99468206,84324890.39995624,84326011.11273816,84326924.51375546,84321698.35788642,84323424.42899065,84324816.70674704,84325943.45154959,84326863.72733496,84321625.70817858,84323350.5701415,84324746.00603828,84325878.02161516,84326804.43665116,84321556.89645591,84323280.15574563,84324678.15876669,84325814.80304848,84326746.73072985,84321491.59085913,84323212.93882358,84324613.01575994,84325753.74233809,84326690.6440539,84321429.49585369,84323148.69010155,84324550.4262444,84325694.76642652,84326636.1755302,84321370.34809825,84323087.19846399,84324490.24278039,84325637.79169115,84326583.3010285,84321313.91259246,84323028.27042113,84324432.32402107,84325582.72969268,84326531.98176663
6,2021-07-07,84319413.01628171,84321384.04411331,84322953.9102512,84324208.49219538,84325221.09619561,84319280.96565285,84321261.10673308,84322849.15691689,84324125.49453248,84325160.60191157,84319157.17211457,84321142.31558059,84322743.93809913,84324037.51901801,84325090.93865198,84319041.37890336,84321028.69278297,84322640.5536055,84323948.04589285,84325016.64943103,84318933.05673984,84320920.54410294,84322540.16573505,84323859.03823604,84324940.42178695,84318831.59432347,84320817.82254812,84322443.32261978,84323771.60768978,84324863.88012075,84318736.38223618,84320720.31087841,84322350.23283733,84323686.37146811,84324788.01590802,84318646.8483975,84320627.71593599,84322260.91546868,84323603.65249583,84324713.43232995,84318562.47097784,84320539.71812068,84322175.28467102,84323523.595694,84324640.48875475,84318482.78081171,84320455.99727592,84322093.19843102,84323446.23752151,84324569.38879113,84318407.3590722,84320376.24586798,84322014.48708221,84323371.54853019,84324500.23537128,84318335.83300745,84320300.17521946,84321938.9700889,84323299.45987369,84324433.06596288,84318267.87109903,84320227.51792869,84321866.46588431,84323229.88003585,84324367.87548335,84318203.17828643,84320158.02821356,84321796.79753318,84323162.70547205,84324304.63142715,84318141.49154349,84320091.4811577,84321729.79585758,84323097.82739644,84324243.28396478
7,2021-07-08,84316216.71183392,84318435.47084601,84320243.84102531,84321712.76652965,84322912.82196242,84316075.01111172,84318299.40751235,84320125.29293285,84321617.2702378,84322842.32672831,84315942.29927163,84318168.06456277,84320006.32422431,84321516.12078908,84322761.1923531,84315818.27667022,84318042.55692858,84319889.53303142,84321413.32775263,84322674.72402072,84315702.35469824,84317923.205765,84319776.22509761,84321311.14766401,84322586.05701487,84315593.86034305,84317809.94305003,84319667.00959016,84321210.85388024,84322497.08326651,84315492.12581198,84317702.51428124,84319562.11153066,84321113.14946775,84322408.9547651,84315396.52604559,84317600.58296393,84319461.54232901,84321018.39859787,84322322.36988546,84315306.49207285,84317503.78521232,84319365.1957482,84320926.76090755,84322237.74248344,84315221.51317331,84317411.75816363,84319272.90311173,84320838.27177483,84322155.30491593,84315141.13403358,84317324.15432087,84319184.4655104,84320752.89138041,84322075.17244922,84315064.94989376,84317240.64822794,84319099.67269017,84320670.53522089,84321997.38439909,84314992.60113123,84317160.93895319,84319018.31406994,84320591.09332535,84321921.93087524,84314923.76796187,84317084.75030518,84318940.18503761,84320514.44244863,84321848.77041459,84314858.16555499,84317011.82986131,84318865.09038562,84320440.45382328,84321777.84173472
8,2021-07-09,84312902.13690038,84315340.60574834,84317372.91855477,84319049.89306006,84320435.99134225,84312753.24604066,84315193.49747106,84317242.01030175,84318942.75338307,84320355.92655271,84312613.89810689,84315051.60953313,84317110.73854284,84318829.34493381,84320263.82495248,84312483.75954843,84314916.13258395,84316981.96777062,84318714.17119588,84320165.72314776,84312362.19593889,84314787.39831522,84316857.13053946,84318599.76154341,84320065.18543649,84312248.48700082,84314665.31882058,84316736.88878942,84318487.53882602,84319964.35943733,84312141.92043851,84314549.60635686,84316621.48042297,84318378.28470357,84319864.54996718,84312041.83093037,84314439.88637735,84316510.90829282,84318272.4003616,84319766.54551837,84311947.61376593,84314335.75641476,84316405.04640698,84318170.05780964,84319670.81105205,84311858.72678296,84314236.81658387,84316303.7009179,84318071.29019904,84319577.60541914,84311774.68710789,84314142.68486558,84316206.64561845,84317976.04695977,84319487.05473284,84311695.06583934,84314053.00412047,84316113.64269407,84317884.22804265,84319399.1992003,84311619.482186,84313967.44459777,84316024.45477521,84317795.70544527,84319314.02353798,84311547.59776394,84313885.70402014,84315938.85178094,84317710.33683968,84319231.47700188,84311479.111357,84313807.50640985,84315856.61461347,84317627.97421046,84319151.48671968
9,2021-07-10,84309485.02348804,84312115.3174424,84314355.86711918,84316233.08045144,84317802.29702747,84309330.88111252,84311959.03943275,84314213.99800293,84316115.19421719,84317713.15717717,84309186.68549746,84311808.4066202,84314071.82824959,84315990.48164459,84317610.66260172,84309052.07827269,84311664.6710554,84313932.457831,84315863.90269361,84317501.54528216,84308926.39154673,84311528.17171328,84313797.43047525,84315738.23810709,84317389.77682284,84308808.87055184,84311398.80286627,84313667.45350575,84315615.04777467,84317277.7470456,84308698.77053691,84311276.24805295,84313542.77488694,84315495.18478426,84317166.90504636,84308595.39683118,84311160.10020013,84313423.38865255,84315379.08335853,84317058.12395898,84308498.11868142,84311049.92403911,84313309.15021399,84315266.92586333,84316951.91634232,84308406.37102129,84310945.28831717,84313199.84247376,84315158.7424278,84316848.56532359,84308319.65090582,84310845.78183937,84313095.21422578,84315054.47169825,84316748.20650576,84308237.51185596,84310751.02074227,84312995.00254397,84314953.99852045,84316650.88021165,84308159.55767009,84310660.6510066,84312898.94573599,84314857.17758963,84316556.56538515,84308085.43642616,84310574.34841894,84312806.79065678,84314763.8483923,84316465.20189355,84308014.8349834,84310491.81721817,84312718.29661946,84314673.84465252,84316376.70535237
10,2021-07-11,84305992.24960563,84308784.13539004,84311214.58228344,84313281.73775342,84315028.94890186,84305834.53738074,84308620.5216429,84311063.2196834,84313154.10874206,84314931.33226055,84305687.04436624,84308462.90109697,84310911.62170802,84313019.1575347,84314819.1367963,84305549.39562805,84308312.57373036,84310763.09164746,84312882.25847797,84314699.74562831,84305420.9008077,84308169.88314377,84310619.26839319,84312746.41979182,84314577.51123603,84305300.78193678,84308034.7082732,84310480.89732942,84312613.32475568,84314455.04942279,84305188.27241021,84307906.70875855,84310348.23393548,84312483.89020666,84314333.94344944,84305082.65778168,84307785.45073308,84310221.2635208,84312358.57929884,84314215.14475496,84304983.28974162,84307670.47204931,84310099.82443756,84312237.58282442,84314099.20955855,84304889.58777703,84307561.3158373,84309983.67863058,84312120.92729706,84313986.44288124,84304801.03540201,84307457.54713319,84309872.55254163,84312008.54080725,84313876.98845646,84304717.17427509,84307358.76034442,84309766.16090126,84311900.29382157,84313770.88604346,84304637.59779182,84307264.58175091,84309664.22044851,84311796.02475189,84313668.10858892,84304561.9448887,84307174.66935663,84309566.45763795,84311695.55607973,84313568.58665013,84304489.89437073,84307088.71138261,84309472.61272621,84311598.70452602,84313472.22461045
11,2021-07-12,84302429.65101002,84305355.06803517,84307957.49213333,84310203.97775654,84312123.46149711,84302269.3747961,84305185.59382065,84307797.93733208,84310067.55013667,84312017.95875956,84302119.50139871,84305022.39103448,84307638.2091999,84309923.35909961,84311896.74366653,84301979.64624982,84304866.79776141,84307481.786068,84309777.15355764,84311767.80630194,84301849.10479371,84304719.16115578,84307330.38828932,84309632.14684366,84311635.85377496,84301727.08399986,84304579.34779923,84307184.7933851,84309490.13305585,84311503.71190701,84301612.80286829,84304446.9981699,84307045.26265141,84309352.08588898,84311373.08829716,84301505.53380042,84304321.65695213,84306911.77327313,84309218.49390936,84311245.00664254,84301404.61672515,84304202.84050038,84306784.14836554,84309089.55484863,84311120.06316115,84301309.46071978,84304090.07146828,84306662.1313493,84308965.29134956,84310998.58264,84301219.54012685,84303982.89590207,84306545.42900771,84308845.62143378,84310880.715814,84301134.38853443,84303880.89085554,84306433.73648028,84308730.40211374,84310766.50140542,84301053.59223217,84303783.66688018,84306326.75163469,84308619.45668972,84310655.90632129,84300976.7838891,84303690.86778691,84306224.18310548,84308512.5919358,84310548.85204835,84300903.63676925,84303602.16901551,84306125.75452507,84308409.60891607,84310445.23215882
12,2021-07-13,84298808.94585769,84301840.1427036,84304596.06145322,84307010.38584721,84309095.47104917,84298646.66614683,84301666.0510012,84304429.52024701,84306866.0835182,84308982.68675491,84298494.92100987,84301498.44682361,84304262.86184573,84306713.62782626,84308853.1477768,84298353.32066493,84301338.69859272,84304099.71359481,84306559.10315777,84308715.4056093,84298221.15141964,84301187.15661816,84303941.8649205,84306405.90616731,84308574.49503884,84298097.61007152,84301043.67809172,84303790.12033223,84306255.92966332,84308433.43561968,84297981.90565725,84300907.88870631,84303644.74569617,84306110.19768299,84308294.04935943,84297873.30132842,84300779.31652148,84303505.71092413,84305969.2209929,84308157.42618524,84297771.12864393,84300657.4611913,84303372.82584205,84305833.2030279,84308024.19873689,84297674.78920302,84300541.82944028,84303245.81782429,84305702.16250917,84307894.70955649,84297583.75070712,84300431.95252721,84303124.3766816,84305576.00804318,84307769.11538176,84297497.54086007,84300327.39398217,84303008.18067388,84305454.58424938,84307647.45355727,84297415.74073866,84300227.75209151,84302896.91143285,84305337.70059921,84307529.68503663,84297337.97838861,84300132.65959232,84302790.26227865,84305225.14954697,84307415.72259697,84297263.92296562,84300041.78194709,84302687.9425699,84305116.7179195,84307305.44953322
