,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84332661.3364503,84333052.63976933,84333325.6618265,84333524.44036865,84333674.24448943,84332625.9903897,84333025.39283161,84333305.30288936,84333509.78557326,84333664.31207645,84332592.54662202,84332998.85176626,84333284.7181072,84333494.17176458,84333652.83085653,84332560.99138314,84332973.26775225,84333264.35916443,84333478.20723337,84333640.53590691,84332531.23066022,84332948.73517409,84333244.46330293,84333462.2403527,84333627.864883,84332503.14056613,84332925.26865317,84333225.15056413,84333446.47303109,84333615.08512355,84332476.59056462,84332902.84227096,84333206.475043,84333431.02149564,84333602.36234984,84332451.45407297,84332881.41024989,84333188.45310867,84333415.95042641,84333589.79965468,84332427.6130039,84332860.91810155,84333171.07948092,84333401.29286936,84333577.460534,84332404.95935325,84332841.30869052,84333154.33662972,84333387.06221795,84333565.38295086,84332383.39535542,84332822.52550898,84333138.20037505,84333373.2596061,84333553.5881643,84332362.83297043,84332804.51439045,84333122.64326255,84333359.87856185,84333542.08640201,84332343.19309041,84332787.22433911,84333107.63660693,84333346.90798306,84333530.8805756,84332324.4046618,84332770.60785685,84333093.15172276,84333334.3340614,84333519.96875349,84332306.4038203,84332754.6209874,84333079.16065247,84333322.14153528,84333509.34582794
1,2021-07-02,84329260.54816146,84330157.30576631,84330813.11357054,84331306.90801965,84331688.43467459,84329184.48804536,84330095.04489471,84330764.57574497,84331270.86214453,84331663.41847311,84329112.8326333,84330034.61172774,84330715.63595803,84331232.53814168,84331634.54508261,84329045.49861118,84329976.55683418,84330667.3672342,84331193.43896788,84331603.67705783,84328982.23664282,84329921.07010429,84330620.32451841,84331154.42024662,84331571.92063627,84328922.74059899,84329868.16040048,84330574.78096765,84331115.9733738,84331539.94881514,84328866.69692613,84329817.74649788,84330530.8522892,84331078.37727077,84331508.17629734,84328813.80645753,84329769.7046424,84330488.56500144,84331041.78355756,84331476.85886352,84328763.79317315,84329723.89390089,84330447.89515729,84331006.26616763,84331446.1520748,84328716.40672061,84329680.16973403,84330408.79085888,84330971.8511328,84331416.14709558,84328671.42200099,84329638.39115655,84330371.18557417,84330938.53490327,84331386.8931538,84328628.63745499,84329598.42434277,84330335.00608917,84330906.29583383,84331358.41194452,84328587.87286355,84329560.14424376,84330300.17726164,84330875.10149111,84331330.70704152,84328548.96706448,84329523.43509415,84330266.62483516,84330844.91334917,84331303.770142,84328511.77577488,84329488.19030838,84330234.27706145,84330815.68982273,84331277.58526142
2,2021-07-03,84325052.408064,84326459.87681063,84327529.50701077,84328358.07614025,84329012.21647428,84324939.56237447,84326362.86824946,84327451.1267716,84328298.27677868,84328969.839077,84324833.57771152,84326268.95951559,84327372.27128802,84328234.80732243,84328920.98958273,84324734.27124193,84326178.97886573,84327294.66714016,84328170.16962022,84328868.8386527,84324641.22185278,84326093.19031459,84327219.1957706,84328105.78072608,84328815.26542649,84324553.93279912,84326011.57776561,84327146.28080922,84328042.44815232,84328761.40907426,84324471.90407777,84325933.98815098,84327076.09158458,84327980.62470287,84328707.96791907,84324394.66356045,84325860.20578839,84327008.65456785,84327920.55142044,84328655.36945418,84324321.77880307,84325789.9916516,84326943.91636804,84327862.3407447,84328603.87077352,84324252.85976021,84325723.10412152,84326881.78018568,84327806.02633263,84328553.61981943,84324187.55732645,84325659.30971535,84326822.12724197,84327751.59361748,84328504.69373906,84324125.56011285,84325598.38830408,84326764.82947218,84327698.99890193,84328457.12344114,84324066.59064095,84325540.13527969,84326709.75703213,84327648.18145111,84328410.90960722,84324010.40152325,84325484.36204319,84326656.78267308,84327599.07122098,84328366.03328674,84323956.77188879,84325430.89558972,84326605.78420554,84327551.59381619,84328322.46299067
3,2021-07-04,84320284.49658896,84322170.48737037,84323650.42751443,84324824.94106881,84325769.76227644,84320140.80158204,84322041.81152214,84323543.23847304,84324741.21869706,84325709.32446155,84320006.14117022,84321917.50130185,84323435.58770809,84324652.48293622,84325639.73021057,84319880.22667567,84321798.62398705,84323329.82864986,84324562.24556553,84325565.51962326,84319762.47399823,84321685.49655835,84323227.1498838,84324472.48713705,84325489.37845862,84319652.21108423,84321578.06678626,84323128.11112748,84324384.32884057,84325412.9299169,84319548.76914132,84321476.10447468,84323032.92448634,84324298.39283624,84325337.16458486,84319451.52105305,84321379.3002728,84322941.6081416,84324215.00427149,84325262.68493426,84319359.89525564,84321287.31747271,84322854.07296437,84324134.30866377,84325189.84973514,84319273.37820554,84321199.81908639,84322770.17243947,84324056.34210035,84325118.86207376,84319191.51171492,84321116.48161052,84322689.73186135,84323981.07419622,84325049.82441601,84319113.88820168,84321037.00151804,84322612.56551151,84323908.43485269,84324982.77380832,84319040.14533126,84320961.09775855,84322538.486722,84323838.33114205,84324917.70478524,84318969.96074797,84320888.5120887,84322467.31366284,84323770.65804668,84324854.5844923,84318903.04720332,84320819.00825724,84322398.87253231,84323705.305307,84324793.36278166
4,2021-07-05,84315148.21194206,84317461.10959296,84319326.87655094,84320839.33389285,84322076.46335354,84314980.16085877,84317305.21219303,84319193.48273411,84320732.94044809,84321998.3680689,84314822.93373308,84317154.84356607,84319059.70356719,84320620.30798002,84321908.52234738,84314676.1436242,84317011.26614192,84318928.45920151,84320505.9082439,84321812.81235984,84314539.06539017,84316874.8318629,84318801.21117376,84320392.25397119,84321714.71449691,84314410.87852445,84316745.44782282,84318678.635784,84320280.75959717,84321616.32422774,84314290.77292861,84316622.80921091,84318560.9770613,84320172.20294368,84321518.9153654,84314177.99271195,84316506.51914515,84318448.23928653,84320066.98392728,84321423.25823309,84314071.85137266,84316396.15110815,84318340.29521935,84319965.27472572,84321329.80756652,84313971.73379841,84316291.28129598,84318236.94827206,84319867.10944548,84321238.81697422,84313877.09243229,84316191.50483057,84318137.96871172,84319772.4388799,84321150.41047557,84313787.44114625,84316096.44320157,84318043.11483677,84319681.16452976,84321064.62817359,84313702.34852327,84316005.74693036,84317952.14528508,84319593.15999964,84320981.45592701,84313621.43134007,84315919.09566247,84317864.82602951,84319508.28455101,84320900.84489803,84313544.34858884,84315836.19692448,84317780.93416087,84319426.39169873,84320822.72456867
5,2021-07-06,84309743.52006803,84312431.65916839,84314652.90976426,84316487.45342599,84318010.47397992,84309556.63310434,84312252.88123582,84314496.28254437,84316360.17561114,84317915.63302483,84309381.99203867,84312080.655375,84314339.38107105,84316225.5644111,84317806.60523555,84309219.12612617,84311916.40150891,84314185.62534575,84316088.97782804,84317690.55881013,84309067.19462244,84311760.49435486,84314036.71433826,84315953.41729915,84317571.72135934,84308925.25693977,84311612.80085447,84313893.42267756,84315820.5642912,84317452.63534583,84308792.38949648,84311472.94836344,84313756.0178631,84315691.3363592,84317334.84110816,84308667.73348035,84311340.46213873,84313624.48748651,84315566.19859806,84317219.26555452,84308550.51086013,84311214.83662502,84313498.66669741,84315445.34426029,84317106.45168741,84308440.02587856,84311095.57212512,84313378.31122774,84315328.80246374,84316996.69834752,84308335.66019739,84310982.19296433,84313263.13975859,84315216.50385147,84316890.14748119,84308236.86561504,84310874.25563912,84313152.85858351,84315108.32129456,84316786.83979112,84308143.1562264,84310771.35154055,84313047.17584722,84315004.0954197,84316686.75083762,84308054.10088445,84310673.10678247,84312945.8095574,84314903.65072212,84316589.81477849,84307969.31632337,84310579.180546,84312848.49184485,84314806.80573925,84316495.94014156
6,2021-07-07,84304092.29331991,84307114.35174379,84309664.66676748,84311805.83740449,84313606.97347946,84303890.50168599,84306916.11966456,84309487.36520837,84311659.35661227,84313496.34328832,84303702.09216781,84306725.33031961,84309309.9123198,84311504.55800676,84313369.2452527,84303526.52541625,84306543.53445457,84309136.17128351,84311347.61556107,84313234.06003554,84303362.86730975,84306371.12307805,84308968.04968268,84311191.97897375,84313095.72442438,84303210.08071195,84306207.9262494,84308806.40675744,84311039.57318014,84312957.20163186,84303067.15102872,84306053.51131454,84308651.5281517,84310891.44183195,84312820.28178701,84302933.13704708,84305907.33538786,84308503.38415278,84310748.1075715,84312686.03758812,84302807.1875506,84305768.82411604,84308361.77431267,84310609.78080328,84312555.09333174,84302688.54236747,84305637.41196881,84308226.41011594,84310476.48405202,84312427.78863582,84302576.52667348,84305512.56201246,84308096.96280144,84310348.12766178,84312304.2806075,84302470.54276869,84305393.77461542,84307973.09109212,84310224.55663498,84312184.60893157,84302370.06132825,84305280.59018585,84307854.45711604,84310105.57993999,84312068.7380403,84302274.61304033,84305172.58874513,84307740.73529032,84309990.98895498,84311956.58480103,84302183.78100555,84305069.38789742,84307631.6169777,84309880.56906927,84311848.03687647
7,2021-07-08,84298256.6865371,84301569.31451789,84304419.32255544,84306848.08907415,84308915.77798787,84298043.66771875,84301354.98745494,84304223.99569145,84306684.26741254,84308790.51594341,84297844.90201242,84301148.85975048,84304028.6453194,84306511.2572333,84308646.68589526,84297659.79546636,84300952.5876513,84303837.51974356,84306335.97028689,84308493.79517116,84297487.34113522,84300766.57285725,84303652.70623751,84306162.26017918,84308337.43847524,84297326.42711747,84300590.61238563,84303475.13540694,84305992.27000827,84308180.96832834,84297175.96861601,84300424.22175336,84303305.10641466,84305827.1553234,84308026.40507002,84297034.96102604,84300266.79986162,84303142.57238846,84305667.48876001,84307874.95494807,84296902.49694258,84300117.71391042,84302987.30003385,84305513.49436378,84307727.31597418,84296777.76682071,84299976.34263974,84302838.96070354,84305365.18703757,84307583.86398529,84296660.05260172,84299842.0973914,84302697.18295142,84305222.4573198,84307444.7686779,84296548.71874696,84299714.43123707,84302561.5829073,84305085.12375847,84307310.06746656,84296443.2027774,84299592.84169522,84302431.7816359,84304952.96561712,84307179.71328342,84296343.00626998,84299476.87006703,84302307.4147549,84304825.74340539,84307053.60591972,84296247.68669535,84299366.09907365,84302188.13741408,84304703.21175067,84306931.6127746
8,2021-07-09,84292256.29571572,84295821.74926326,84298944.63015188,84301642.617034,84303964.8437522,84292034.77442668,84295594.08826233,84298733.60041937,84301463.17847982,84303826.0807206,84291828.16672343,84295375.26212153,84298522.67048365,84301273.77926819,84303666.821543,84291635.83705202,84295167.01323117,84298316.42336452,84301081.99614787,84303497.61528866,84291456.7231183,84294969.75088134,84298117.1015637,84300892.04585241,84303324.66420536,84291289.65624827,84294783.24357636,84297925.69643578,84300706.266804,84303151.67957065,84291133.49836475,84294606.96291958,84297742.51756915,84300525.91400379,84302980.8932091,84290987.19676997,84294440.25876924,84297567.50193168,84300351.60379587,84302813.63346891,84290849.80144344,84294282.44923031,84297400.38656151,84300183.5712868,84302650.66521208,84290720.46540295,84294132.86631885,84297240.80694978,84300021.82341473,84302492.39657007,84290598.43781401,84293990.87807053,84297088.35370257,84299866.23191191,84302339.00781283,84290483.05445817,84293855.89800131,84296942.60520186,84299716.59065834,84302190.53331605,84290373.72773162,84293727.3877921,84296803.14619997,84299572.65143731,84302046.91455838,84290269.93715368,84293604.85641558,84296669.57806145,84299434.14633259,84301908.03483044,84290171.2207781,84293487.85748826,84296541.52400914,84299300.8017312,84301773.74218026
9,2021-07-10,84286140.0183628,84289918.78725384,84293285.72094978,84296232.30546954,84298794.6738902,84285912.50768067,84289680.47437392,84293061.3274506,84296039.05220146,84298643.64301391,84285700.37896585,84289451.51402043,84292837.15047014,84295835.16630615,84298470.37268168,84285502.96666437,84289233.71601757,84292618.05717881,84295628.81335491,84298286.36050685,84285319.16891806,84289027.49430493,84292406.4209485,84295424.53076868,84298098.36123669,84285147.7766004,84288832.59332392,84292203.28347294,84295224.82872753,84297910.41174056,84284987.61373919,84288648.44848685,84292008.96190715,84295031.0490159,84297724.93518962,84284837.59347413,84288474.36953765,84291823.37828693,84294843.84544893,84297543.36988008,84284696.73554267,84288309.63458191,84291646.24336998,84294663.46180065,84297366.54037917,84284564.16641691,84288153.5376649,84291477.16123973,84294489.896955,84297194.88315883,84284439.11203845,84288005.41169459,84291315.68945032,84294323.00511622,84297028.58716406,84284320.8878799,84287864.6381484,84291161.37361744,84294162.55756384,84296867.68316314,84284208.888556,84287730.64971596,84291013.76704806,84294008.2810967,84296712.10147113,84284102.57798363,84287602.92924514,84290872.44149838,84293859.88207026,84296561.70971552,84284001.48048855,84287481.00685495,84290736.99263434,84293717.06138872,84296416.33777162
