,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333768.14928588,84333972.35314858,84334109.86100695,84334207.58440866,84334279.96395834,84333749.26499994,84333958.41290076,84334099.74070896,84334200.44614305,84334275.19782883,84333731.32735434,84333944.79483621,84334089.4866838,84334192.82928628,84334269.68274269,84333714.33992404,84333931.63119021,84334079.32382621,84334185.02906682,84334263.76991856,84333698.26228471,84333918.97453551,84334069.37153459,84334177.21524358,84334257.66879344,84333683.03665048,84333906.8365281,84334059.69136392,84334169.48680964,84334251.50763878,84333668.60034037,84333895.20771615,84334050.31216685,84334161.90128648,84334245.36628006,84333654.89160757,84333884.0680445,84334041.24396251,84334154.49117875,84334239.29465418,84333641.8522491,84333873.39256209,84334032.48585872,84334147.27358194,84334233.32377034,84333629.42862295,84333863.15456066,84334024.03070141,84334140.25597145,84334227.47240563,84333617.57187667,84333853.3272971,84334015.8678577,84334133.4397817,84334221.75131118,84333606.23779449,84333843.88491781,84334007.9849044,84334126.82266496,84334216.16591784,84333595.38647264,84333834.80292693,84334000.36865853,84334120.39994033,84334210.71811077,84333584.9819314,84333826.0583926,84333993.0058052,84334114.1655345,84334205.40741296,84333574.99171853,84333817.63000302,84333985.88327494,84334108.11259744,84334200.23178487
1,2021-07-02,84332028.97192131,84332535.99468338,84332890.09428279,84333148.09982993,84333342.65029512,84331984.79047637,84332501.73011996,84332864.37774718,84333129.52616905,84333330.02897905,84331942.97759946,84332468.35188913,84332838.37684494,84333109.73821667,84333315.44042088,84331903.51678911,84332436.17553301,84332812.66185637,84333089.50690834,84333299.81886397,84331866.29135695,84332405.31955424,84332787.53217527,84333069.27363773,84333283.72045662,84331831.14728524,84332375.80225405,84332763.13918506,84333049.29412533,84333267.48483905,84331797.92220512,84332347.59102724,84332739.55101338,84333029.71549453,84333251.32248572,84331766.45862646,84332320.6283454,84332716.788179,84333010.61955163,84333235.36427538,84331736.60960747,84332294.84575856,84332694.8438936,84332992.04803053,84333219.69077164,84331708.24073921,84332270.1715079,84332673.69592811,84332974.01777993,84333204.35010132,84331681.23034395,84332246.53463484,84332653.31367984,84332956.53013183,84333189.36917678,84331655.46883972,84332223.86712998,84332633.66243081,84332939.57679747,84333174.7609047,84331630.85775466,84332202.10497184,84332614.7059243,84332923.1436362,84333160.52890714,84331607.3086358,84332181.18853547,84332596.4079158,84332907.21309145,84333146.67066278,84331584.74197355,84332161.06264603,84332578.73308949,84332891.76577643,84333133.17962429
2,2021-07-03,84329749.1473531,84330602.33239669,84331217.74051666,84331676.35403001,84332027.90004441,84329678.88097125,84330545.38781367,84331173.69180885,84331643.8385008,84332005.44023407,84329612.5744862,84330490.04554202,84331129.23674057,84331609.24437538,84331979.50501001,84329550.16900134,84330436.81613739,84331085.34992917,84331573.92524968,84331951.76334044,84329491.4502259,84330385.88120967,84331042.53796284,84331538.65313073,84331923.20718868,84329436.14899613,84330337.25654165,84331001.05249807,84331503.87265937,84331894.44076446,84329383.98702161,84330290.87480827,84330961.00244072,84331469.83735263,84331865.83706096,84329334.6973337,84330246.62894663,84330922.41558337,84331436.68607925,84331837.62674412,84329288.03269699,84330204.39535752,84330885.27361438,84331404.48762478,84331809.95065978,84329243.768228,84330164.04639244,84330849.5325069,84331373.26746216,84331782.89188035,84329201.7012591,84330125.45699324,84330815.13460521,84331343.02423203,84331756.49580392,84329161.649959,84330088.50808041,84330782.01586336,84331313.7400879,84331730.78305025,84329123.4514669,84330053.0881153,84330750.1101899,84331285.38728721,84331705.75789282,84329086.9599176,84330019.09363662,84330719.3520341,84331257.93243475,84331681.41385849,84329052.04453835,84329986.42922841,84330689.67788997,84331231.33923045,84331657.73749296
3,2021-07-04,84327071.96749118,84328279.03517404,84329175.65589394,84329857.85116443,84330388.84704864,84326977.84016459,84328199.61487314,84329112.47490443,84329810.2486387,84330355.45296308,84326889.22615513,84328122.58087319,84329048.81110051,84329759.66397706,84330316.92523447,84326806.01005054,84328048.62822086,84328986.05924511,84329708.08373147,84330275.75385377,84326727.87295388,84327977.99164198,84328924.93783809,84329656.63695462,84330233.41661851,84326654.42763157,84327910.67558591,84328865.79805744,84329605.9704678,84330190.81150304,84326585.27933584,84327846.57049164,84328808.78623278,84329556.45002434,84330148.4908978,84326520.05248815,84327785.5134611,84328753.93296137,84329508.27318542,84330106.79468389,84326458.40124343,84327727.32050864,84328701.20359983,84329461.5350381,84330065.92883903,84326400.01238158,84327671.80376005,84328650.52757494,84329416.26761799,84330026.01339325,84326344.60461317,84327618.780473,84328601.815685,84329372.4641334,84329987.11248249,84326291.9263155,84327568.07753491,84328554.97040506,84329330.09413508,84329949.25360972,84326241.7526996,84327519.53343955,84328509.89202641,84329289.11315243,84329912.44022076,84326193.88289748,84327472.998861,84328466.48227379,84329249.46887429,84329876.66004063,84326148.13719948,84327428.33646211,84328424.64637618,84329211.10513268,84329841.89066674
4,2021-07-05,84324078.3752126,84325630.77098185,84326815.27480933,84327733.92827006,84328459.2279146,84323963.5076549,84325530.19968957,84326733.16144815,84327670.8663602,84328414.33876768,84323855.57150382,84325432.8100965,84326650.532035,84327603.92444558,84328362.58915599,84323754.38944669,84325339.46371001,84326569.19530872,84327535.73966444,84328307.33623207,84323659.54072796,84325250.43767573,84326490.07564837,84327467.80614753,84328250.5698148,84323570.52646978,84325165.71875466,84326413.61827531,84327400.97577377,84328193.49637207,84323486.84337875,84325085.15146816,84326340.00215632,84327335.72665292,84328136.85569263,84323408.01556557,84325008.5150934,84326269.25659813,84327272.3137214,84328081.10086225,84323333.60671365,84324935.5643591,84326201.32716393,84327210.85634866,84328026.50457029,84323263.22298114,84324866.05097573,84326136.11382724,84327151.39082406,84327973.22393812,84323196.51163651,84324799.73478964,84326073.49340841,84327093.90255399,84327921.3411175,84323133.15787846,84324736.38922715,84326013.33287264,84327038.34618098,84327870.88928282,84323072.88104503,84324675.80357544,84325955.49719982,84326984.65832928,84327821.86957893,84323015.43079354,84324617.78352,84325899.8539771,84326932.76575246,84327774.26233691,84322960.58351755,84324562.15074237,84325846.27599034,84326882.59056233,84327728.03458393
5,2021-07-06,84320841.91892174,84322718.6574626,84324187.0077352,84325346.43329263,84326274.19504246,84320709.93463726,84322599.03760813,84324086.9227254,84325268.1634814,84326217.70120345,84320586.10310118,84322483.36255054,84323986.32646418,84325185.15540329,84326152.6188112,84320470.18612404,84322372.63772342,84323887.41899335,84325100.68790273,84326083.18412523,84320361.67054921,84322267.17220576,84323791.31673291,84325016.61346081,84326011.90498112,84320259.95851217,84322166.93104313,84323698.55028266,84324933.98371108,84325940.29891017,84320164.45159988,84322071.71234423,84323609.32576153,84324853.3848622,84325869.29372524,84320074.58668499,84321981.23899831,84323523.66772854,84324775.12577607,84325799.45526485,84319989.84921023,84321895.20691468,84323441.49982458,84324699.34729534,84325731.12190701,84319909.77592322,84321813.3103644,84323362.69132884,84324626.0876684,84325664.48656765,84319833.95281646,84321735.25496496,84323287.08444455,84324555.32262123,84325599.64801656,84319762.01107761,84321660.76389393,84323214.51039916,84324486.99034812,84325536.64369982,84319693.62241867,84321589.58037269,84323144.79891506,84324421.00730455,84325475.47111474,84319628.49443635,84321521.46811068,84323077.78368856,84324357.27827153,84325416.10193357,84319566.36629634,84321456.21066366,84323013.30543928,84324295.70278937,84325358.49144278
6,2021-07-07,84317414.24435014,84319588.08013014,84321329.70014906,84322728.45914249,84323862.07010321,84317268.6770063,84319451.81289934,84321213.01700225,84322635.62184663,84323794.16621979,84317132.26618464,84319320.1930822,84321095.85673213,84322537.2455731,84323715.98817332,84317004.7185678,84319194.34717676,84320980.77930589,84322437.22523513,84323632.63980545,84316885.4419046,84319074.60727574,84320869.07564406,84322337.75582449,84323547.13921557,84316773.7550677,84318960.91495799,84320761.35194948,84322240.07857011,84323461.30940029,84316668.98037091,84318853.02386396,84320657.83624241,84322144.8810978,84323376.26196854,84316570.48242645,84318750.60428898,84320558.54578923,84322052.52173422,84323292.67222598,84316477.68216592,84318653.29796177,84320463.38140862,84321963.15980072,84323210.94163875,84316390.05931799,84318560.74664415,84320372.18179162,84321876.83350325,84323131.29683381,84316307.14969604,84318472.60664295,84320284.75524202,84321793.50757237,84323053.8515156,84316228.54037908,84318388.55563068,84320200.89833085,84321713.10292096,84322978.64603406,84316153.86428009,84318308.29525027,84320120.40680991,84321635.51534455,84322905.6731229,84316082.79480718,84318231.55143072,84320043.08187562,84321560.62740514,84322834.89488268,84316015.04092795,84318158.07349719,84319968.73361105,84321488.316001,84322766.2541114
7,2021-07-08,84313837.32600963,84316277.1971318,84318276.91132854,84319909.2303859,84321248.31682158,84313681.43075088,84316126.77683602,84318145.245583,84319802.73108481,84321169.42119361,84313535.4779864,84315981.62845612,84318013.15768038,84319689.96007901,84321078.63945787,84313399.12788112,84315842.97773845,84317883.53121312,84319575.3911856,84320981.91403495,84313271.72417435,84315711.17255524,84317757.81222902,84319461.53993009,84320882.75536743,84313152.51928562,84315586.13107862,84317636.67248705,84319349.82382296,84320783.2803478,84313040.77273592,84315467.56614731,84317520.35716306,84319241.02375898,84320684.77666676,84312935.79218988,84315355.1008095,84317408.87455654,84319135.54256903,84320588.02383265,84312836.94793414,84315248.32861595,84317302.10278054,84319033.55511136,84320493.48275025,84312743.67507418,84315146.84493163,84317199.85109013,84318935.09791149,84320401.41120443,84312655.47025776,84315050.26268867,84317101.89562272,84318840.12391959,84320311.93604359,84312571.88621712,84314958.21967171,84317008.00032914,84318748.53654423,84320225.09927118,84312492.52571653,84314870.38118178,84316917.92915955,84318660.21106873,84320140.88799603,84312417.03564903,84314786.44020614,84316831.45300743,84318575.00822645,84320059.25416909,84312345.10160352,84314706.11628698,84316748.35348064,84318492.78281981,84319980.12773049
8,2021-07-09,84310134.58548602,84312809.39359325,84315050.28424844,84316908.17944632,84318450.18865803,84309971.02935082,84312647.12237428,84314905.26264031,84316789.01818462,84318360.82821797,84309818.00773747,84312490.66344975,84314759.88568763,84316662.92055021,84318258.05685093,84309675.14430137,84312341.32319973,84314617.32446386,84316534.89773548,84318148.61765443,84309541.73365174,84312199.46019717,84314479.16147938,84316407.76174542,84318036.49043004,84309416.97760038,84312064.97074063,84314346.12490375,84316283.09221748,84317924.07153606,84309300.0880571,84311937.5315458,84314218.47324716,84316161.75499675,84317812.81546505,84309190.3296368,84311816.72445345,84314096.20503819,84316044.19264501,84317703.59987153,84309087.03442894,84311702.10130736,84313979.17658727,84315930.59298588,84317596.94112343,84308989.60394692,84311593.217496,84313867.16956034,84315820.98968026,84317493.12556528,84308897.50540246,84311489.6487053,84313759.9302674,84315715.32359432,84317392.29152068,84308810.26574995,84311390.9985586,84313657.19260013,84315613.48088714,84317294.48161472,84308727.46515548,84311296.90130028,84313558.69132876,84315515.31693487,84317199.6767408,84308648.73066053,84311207.02181926,84313464.1696305,84315420.6714609,84317107.81841786,84308573.7303693,84311121.05429561,84313373.38313481,84315329.37811409,84317018.82366158
9,2021-07-10,84306322.02459468,84309201.43427753,84311665.79903927,84313739.94020516,84315480.85428122,84306152.8772442,84309029.35211305,84311508.97732954,84313609.1396279,84315381.61117494,84305994.69506252,84308863.53928678,84311351.87181196,84313470.80280367,84315267.52515523,84305847.07512203,84308705.36747621,84311197.90679671,84313330.43551838,84315146.0973047,84305709.27627377,84308555.20265685,84311048.78403962,84313191.12182318,84315021.75115229,84305580.46350703,84308412.92171565,84310905.28009455,84313054.58939697,84314897.14667483,84305459.81409802,84308278.17035148,84310767.66385579,84312921.7810041,84314773.89518571,84305346.56135301,84308150.49536492,84310635.9239577,84312793.174546,84314652.96614729,84305240.00958697,84308029.41330986,84310509.89634374,84312668.96865004,84314534.92737818,84305139.53589113,84307914.44585617,84310389.33735494,84312549.19333164,84314420.09128796,84305044.58607921,84307805.1373466,84310273.96613957,84312433.77744895,84314308.60618795,84304954.66836892,84307701.0627092,84310163.48934677,84312322.59051476,84314200.51451384,84304869.34650224,84307601.83014046,84310057.6153876,84312215.46891779,84314095.79059,84304788.23309363,84307507.08099295,84309956.0624641,84312112.23247214,84313994.36546016,84304710.98354113,84307416.4882266,84309858.56284285,84312012.69486637,84313896.1433819
