,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84334115.68616268,84334253.01866467,84334344.67629944,84334409.42510907,84334457.1769392,84334102.91070744,84334243.6902222,84334337.95250551,84334404.70630485,84334454.03782977,84334090.76367542,84334234.57083833,84334331.13632306,84334399.66925488,84334450.40450595,84334079.24930166,84334225.74959956,84334324.37721801,84334394.50894348,84334446.50804393,84334068.34188108,84334217.26238361,84334317.75474884,84334389.33759709,84334442.48628955,84334058.00373758,84334209.11767541,84334311.31011416,84334384.22075637,84334438.42372149,84334048.19366375,84334201.30977839,84334305.06280072,84334379.1965905,84334434.3729618,84334038.87088963,84334193.82583,84334299.01977092,84334374.28674687,84334430.36697392,84334029.9968773,84334186.64962073,84334293.18071479,84334369.50268717,84334426.42626716,84334021.53603625,84334179.76369977,84334287.54113467,84334364.84950659,84334422.56329791,84334013.45590188,84334173.15053497,84334282.09419407,84334360.32829612,84334418.78523518,84334005.72705185,84334166.79313877,84334276.8318409,84334355.93763438,84334415.09573972,84333998.32290307,84334160.67538871,84334271.74549447,84334351.67454524,84334411.49613163,84333991.2194625,84334154.78217159,84334266.82646503,84334347.53512034,84334407.9861692,84333984.39506999,84334149.09942655,84334262.06620707,84334343.51492684,84334404.56457555
1,2021-07-02,84332945.22417675,84333294.4120566,84333535.34017506,84333709.396038,84333839.82624131,84332914.57517503,84333270.98053025,84333517.9277074,84333696.90993045,84333831.38717605,84332885.53407356,84333248.13365127,84333500.3101715,84333683.60055117,84333821.62913978,84332858.09511995,84333226.08934164,84333482.87395516,84333669.98553096,84333811.17586182,84332832.18243672,84333204.93106662,84333465.82266952,84333656.3616575,84333800.39885329,84332807.69349997,84333184.6736909,84333449.25994448,84333642.90124826,84333789.52521233,84332784.51928301,84333165.29704913,84333433.23307684,84333629.70377341,84333778.69586901,84332762.55352633,84333146.76367584,84333417.7570742,84333616.82484616,84333767.99863417,84332741.69676985,84333129.02838539,84333402.82836203,84333604.29313786,84333757.48772037,84332721.85781999,84333112.04350047,84333388.43280582,84333592.12055932,84333747.1956628,84332702.95396419,84333095.76168977,84333374.55049689,84333580.30854596,84333737.14080401,84332684.9105938,84333080.13746525,84333361.15864262,84333568.85201684,84333727.33210391,84332667.6605722,84333065.12791781,84333348.2333203,84333557.74190837,84333717.77229153,84332651.14352,84333050.69301893,84333335.750537,84333546.96681449,84333708.45996355,84332635.30510293,84333036.79567643,84333323.68685979,84333536.51405604,84333699.39099994
2,2021-07-03,84331386.00249507,84331985.21291496,84332411.34585716,84332725.64613722,84332964.70881085,84331336.28272662,84331945.56469579,84332381.03339006,84332703.4649442,84332949.48962618,84331289.30439366,84331906.9913017,84332350.41581997,84332679.850937,84332931.9074801,84331245.03610763,84331869.85255714,84332320.16449797,84332655.72622721,84332913.09125122,84331203.33528933,84331834.27973665,84332290.62997897,84332631.61765842,84332893.71237762,84331164.01911837,84331800.28844555,84332261.98783824,84332607.82948937,84332874.18032667,84331126.89700747,84331767.83595952,84332234.3154692,84332584.53592268,84332854.74832022,84331091.78525673,84331736.85135935,84332207.63431527,84332561.83305092,84332835.57335487,84331058.51319554,84331707.25170465,84332181.93388583,84332539.76914017,84332816.75165547,84331026.92520483,84331678.9507788,84332157.18576579,84332518.36283338,84332798.34031725,84330996.88076302,84331651.86377078,84332133.35193764,84332497.61436711,84332780.3708845,84330968.25358643,84331625.90969153,84332110.38977961,84332477.51262064,84332762.85806732,84330940.93040319,84331601.01251327,84332088.25507656,84332458.03961374,84332745.8054453,84330914.80963156,84331577.10158785,84332066.90382148,84332439.17340775,84332729.20925856,84330889.80009428,84331554.11166266,84332046.29327111,84332420.88998863,84332713.06095971
3,2021-07-04,84329531.8368456,84330393.51267378,84331023.84211132,84331497.91675197,84331863.6524358,84329464.18155721,84330337.37824126,84330979.75135459,84331465.02165824,84331840.75247301,84329400.40774356,84330282.87027727,84330935.28363794,84331430.04135938,84331814.31857605,84329340.44679901,84330230.48679568,84330891.41352618,84331394.3466377,84331786.05481751,84329284.08201934,84330180.4010815,84330848.64564656,84331358.71814418,84331756.97340237,84329231.04554741,84330132.62327111,84330807.22896856,84331323.60448867,84331727.69024765,84329181.06226985,84330087.08216813,84330767.26955654,84331289.26056786,84331698.5850146,84329133.86927481,84330043.66805074,84330728.79247358,84331255.8251983,84331669.89199951,84329089.2237222,84330002.25550707,84330691.77690414,84331223.36633813,84331641.75382221,84329046.90516478,84329962.71567653,84330656.17658003,84331191.90823548,84331614.25418745,84329006.71525095,84329924.92272002,84330621.93186675,84331161.44812815,84331587.43842539,84328968.47626162,84329888.75708938,84330588.97698493,84331131.96671553,84331561.32666415,84328932.02920546,84329854.10700469,84330557.24433106,84331103.43482208,84331535.92243747,84328897.23183078,84329820.8689294,84330526.66703823,84331075.81768042,84331511.21839666,84328863.95672403,84329788.94749346,84330497.18045554,84331049.0776996,84331487.20014769
4,2021-07-05,84327438.92964244,84328562.05907719,84329405.62805969,84330051.85807328,84330557.148201,84327355.36556569,84328490.0929125,84329347.63863796,84330007.78624715,84330526.03809887,84327276.74906133,84328420.32681756,84329289.23056732,84329960.96823283,84330490.15359434,84327202.96838696,84328353.38624032,84329231.68309641,84329913.24433272,84330451.8163718,84327133.73237598,84328289.47918053,84329175.6535961,84329865.65948589,84330412.403791,84327068.69052413,84328228.60526478,84329121.46192415,84329818.81146432,84330372.7522542,84327007.48685779,84328170.6613114,84329069.23992829,84329773.0375327,84330333.37579164,84326949.78343633,84328115.49634515,84329019.01340604,84329728.51917301,84330294.59025596,84326895.2695486,84328062.94078493,84328970.7485095,84329685.34304026,84330256.5866811,84326843.66412216,84328012.82196967,84328924.37865849,84329643.53751379,84330219.47603062,84326794.71497647,84327964.97226885,84328879.82040796,84329603.09514518,84330183.31723477,84326748.19670783,84327919.23309943,84328836.98288444,84329563.98670611,84330148.13515362,84326703.90809,84327875.45666505,84328795.77339642,84329526.17010474,84330113.9323004,84326661.6694214,84327833.50643216,84328756.1007301,84329489.59609875,84330080.69660886,84326621.32001892,84327793.25691937,84328717.87702787,84329454.21197288,84330048.4066415
5,2021-07-06,84325159.253489,84326532.23053358,84327589.72710818,84328414.1981113,84329067.20926496,84325062.3407389,84326445.75644925,84327518.31834674,84328358.9522842,84329027.68362892,84324971.31264071,84326362.0450678,84327446.47812457,84328300.31761292,84328982.12280421,84324886.01320249,84326281.83400938,84327375.77870734,84328240.60510163,84328933.48415828,84324806.08189118,84326205.35821979,84327307.02246563,84328181.12339959,84328883.5201623,84324731.0931804,84326132.6031797,84327240.59482564,84328122.618027,84328833.29299465,84324660.61864537,84326063.43243054,84327176.64968324,84328065.50687185,84328783.45363042,84324594.25367904,84325997.65380022,84327115.21091375,84328010.01227266,84328734.40046608,84324531.62763302,84325935.05436788,84327056.22973639,84327956.23784293,84328686.3730121,84324472.4061572,84325875.41893294,84326999.61789992,84327904.21448742,84328639.50902417,84324416.28995915,84325818.53956003,84326945.26718429,84327853.92862126,84328593.8802765,84324363.01204892,84325764.22021787,84326893.06094831,84327805.33979665,84328549.51546049,84324312.33448298,84325712.27870344,84326842.88095564,84327758.39186405,84328506.41511197,84324264.04509547,84325662.5470727,84326794.61135115,84327713.02010283,84328464.56148697,84324217.95443854,84325614.87126853,84326748.14089857,84327669.15579419,84328423.92517202
6,2021-07-07,84322731.4137878,84324336.31188355,84325602.73694624,84326606.937553,84327412.23586915,84322623.79053985,84324236.98574325,84325518.75821199,84326540.83828744,84327364.32421829,84322522.83410253,84324140.95034084,84325434.35945246,84326470.74216694,84327309.1308897,84322428.34706931,84324049.03884637,84325351.38632476,84326399.41849703,84327250.24909063,84322339.90823373,84323961.50608395,84325270.77483076,84326328.43155926,84327189.80580965,84322257.02776705,84323878.32132289,84325192.96930139,84326258.6691074,84327129.08796695,84322179.21579981,84323799.31541047,84325118.14181381,84326190.62576401,84327068.88224752,84322106.01157874,84323724.25694208,84325046.31216952,84326124.56192048,84327009.66830727,84322036.99423759,84323652.89230283,84324977.41557835,84326060.5960971,84326951.73288554,84321971.78497402,84323584.96668686,84324911.34172495,84325998.76020874,84326895.23936446,84321910.04532611,84323520.23485471,84324847.95765787,84325939.03341019,84326840.27129784,84321851.47383477,84323458.46627039,84324787.12129013,84325881.36320043,84326786.8602511,84321795.80220674,84323399.44714388,84324728.68933675,84325825.67875706,84326735.0039296,84321742.79150891,84323342.98078342,84324672.5219031,84325771.89943208,84326684.67815614,84321692.22863115,84323288.88704856,84324618.4850357,84325719.94018139,84326635.8448748
7,2021-07-08,84320187.40302947,84322002.06759286,84323468.16596219,84324649.93778999,84325609.1214657,84320071.58609875,84321891.70196198,84323372.70723273,84324573.53662664,84325553.0347816,84319963.05502823,84321785.10400344,84323276.85871872,84324492.57579324,84325488.46027894,84319861.57657321,84321683.18585669,84323182.71478611,84324410.2605394,84325419.61315756,84319766.67960876,84321586.21620367,84323091.33157513,84324328.39729537,84325348.98612991,84319677.82226327,84321494.14744046,84323003.20504905,84324248.00765952,84325278.08495593,84319594.46537541,84321406.77976663,84322918.52177352,84324169.65767205,84325207.82790552,84319516.10341653,84321323.8459036,84322837.2958908,84324093.64238429,84325138.77292484,84319442.2756516,84321245.05546121,84322759.44627194,84324020.09307186,84325071.25179867,84319372.56811483,84321170.1180996,84322684.84095636,84323949.04132792,84325005.45190515,84319306.6114552,84321098.75528015,84322613.32311895,84323880.45826568,84324941.46734725,84319244.0771049,84321030.70578726,84322544.72633186,84323814.27892402,84324879.33162946,84319184.67295969,84320965.72783558,84322478.8834933,84323750.41765733,84324819.03891408,84319128.13913271,84320903.59932381,84322415.63195267,84323688.77791597,84324760.55804767,84319074.24402858,84320844.117112,84322354.81632689,84323629.25847688,84324703.84191954
8,2021-07-09,84317545.19734144,84319546.48661807,84321201.01087855,84322556.14160429,84323668.98368308,84317423.29231137,84319426.80622564,84321095.21785356,84322470.09103075,84323605.02969706,84317309.14215112,84319311.3116212,84320989.07743649,84322378.9653538,84323531.43486369,84317202.48500296,84319200.97938502,84320884.90706602,84322286.37888078,84323453.01478393,84317102.81101273,84319096.08765404,84320783.86951402,84322194.36440831,84323372.61463974,84317009.53833011,84318996.57255487,84320686.50552128,84322104.06791452,84323291.95055383,84316922.09013668,84318902.2066733,84320593.01304397,84322016.12114315,84323212.06679517,84316839.92682593,84318812.69098397,84320503.39962527,84321930.85039297,84323133.5958413,84316762.55740662,84318727.70283823,84320417.56810124,84321848.39772986,84323056.91195938,84316689.54129057,84318646.92089811,84320335.36587702,84321768.7933871,84322982.22476494,84316620.48578753,84318570.03769122,84320256.61365117,84321691.99999812,84322909.63770561,84316555.04188317,84318496.76542626,84320181.12224413,84321617.94009425,84322839.18540882,84316492.89954256,84318426.8381288,84320108.70240054,84321546.51341243,84322770.85795395,84316433.78312263,84318360.01179019,84320039.17037907,84321477.60786955,84322704.61687014,84316377.4471466,84318296.0634787,84319972.3509921,84321411.10653304,84322640.40579504
9,2021-07-10,84314818.64303309,84316983.07365257,84318813.43506862,84320336.19006036,84321601.04746917,84314692.32624502,84316855.65796073,84318698.45045374,84320241.1963338,84321529.59776996,84314574.10442281,84316732.78475232,84318583.16739096,84320140.65925792,84321447.41518389,84314463.69472046,84316615.48271671,84318470.10107297,84320038.57281314,84321359.88888173,84314360.55904713,84316504.03643137,84318360.50794746,84319937.17920554,84321270.2002807,84314264.0864724,84316398.36724496,84318254.96728927,84319837.73886761,84321180.26570798,84314173.67282452,84316298.22372803,84318153.68594007,84319740.94345802,84321091.24892741,84314088.75376806,84316203.27958667,84318056.6644451,84319647.14724022,84321003.85272656,84314008.81637338,84316113.18463719,84317963.79038802,84319556.50133832,84320918.49110338,84313933.400761,84316027.59118794,84317874.89196719,84319469.03386618,84320835.3941291,84313862.09733792,84315946.1672388,84317789.76916094,84319384.69883208,84320754.67346635,84313794.54228891,84315868.60252087,84317708.2119347,84319303.40650065,84320676.36418091,84313730.41260482,84315794.61063917,84317630.01080519,84319225.04247215,84320600.4518914,84313669.42124592,84315723.92912047,84317554.96282984,84319149.47975492,84320526.89064474,84313611.3126981,84315656.31837541,84317482.87483262,84319076.58641298,84320455.61481024
