,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,4045013.164430808,4045022.2870279495,4045028.454529108,4045032.849439334,4045036.1108367112,4045012.3230134817,4045021.662873723,4045027.9999485547,4045032.528080112,4045035.8959131027,4045011.5241255336,4045021.0533401393,4045027.539468686,4045032.185232359,4045035.647244792,4045010.7678725533,4045020.4643297037,4045027.083189666,4045031.8341924623,4045035.380677208,4045010.05240495,4045019.8981752344,4045026.636467467,4045031.4826026005,4045035.105657609,4045009.3751063016,4045019.3553779903,4045026.202057749,4045031.1349162417,4045034.8279703795,4045008.7331486093,4045018.835495898,4045025.781246818,4045030.7937185015,4045034.551213701,4045008.12375126,4045018.3376142783,4045025.374475387,4045030.460467785,4045034.2776371334,4045007.544296429,4045017.8606013875,4045024.981694777,4045030.1359287724,4045034.0086363438,4045006.99237359,4045017.403248784,4045024.6025758754,4045029.8204332823,4045033.7450552927,4045006.4657889903,4045016.9643482175,4045024.2366341595,4045029.5140415053,4045033.4873760687,4045005.9625582476,4045016.5427327845,4045023.8833054877,4045029.216643741,4045033.235840972,4045005.4808914,4045016.137297684,4045023.5419923184,4045028.928025632,4045032.990532587,4045005.019175217,4045015.7470092587,4045023.2120918357,4045028.647910502,4045032.751427162,4045004.5759552135,4045015.370907342,4045022.893012827,4045028.3759870455,4045032.518430675
1,2021-07-02,4044935.504171345,4044957.911763487,4044973.645199904,4044985.1525384327,4044993.853985058,4044933.5578554384,4044956.392740492,4044972.5000942457,4044984.3228344186,4044993.288814784,4044931.7168641477,4044954.9136269074,4044971.342693302,4044983.439093945,4044992.6356616477,4044929.9803095455,4044953.4883488556,4044970.198382499,4044982.5357739395,4044991.9363883017,4044928.3429082804,4044952.1220892663,4044969.080466586,4044981.632589811,4044991.2159089074,4044926.7977539934,4044950.8155914145,4044967.995652895,4044980.740952431,4044990.4894320145,4044925.3375926055,4044949.567348237,4044966.9469405077,4044979.8674169052,4044989.7663763473,4044923.955402446,4044948.3747552917,4044965.9352102294,4044979.0156190447,4044989.052593385,4044922.644641164,4044947.234731298,4044964.9601297206,4044978.187404723,4044988.351680232,4044921.399330579,4044946.144054946,4044964.020682235,4044977.3835091363,4044987.665781196,4044920.2140632244,4044945.099546244,4044963.1154812635,4044976.603975679,4044986.9960908713,4044919.083972549,4044944.0981609644,4044962.2429599464,4044975.848419455,4044986.343177248,4044918.0046880273,4044943.1370359636,4044961.4014855153,4044975.116195618,4044985.7071932596,4044916.9722858993,4044942.213506639,4044960.589428057,4044974.406508123,4044985.0880174995,4044915.9832408293,4044941.325108754,4044959.8052010476,4044973.7184804445,4044984.485349029
2,2021-07-03,4044835.058426518,4044872.3154320773,4044899.36132807,4044919.6108857305,4044935.1878398224,4044832.001216788,4044869.8196156085,4044897.4204036184,4044918.1724166432,4044934.191173838,4044829.1179743567,4044867.395188585,4044895.462314729,4044916.642431232,4044933.0405231453,4044826.405848483,4044865.064402156,4044893.5299856593,4044915.0808489243,4044931.8100101477,4044823.855262771,4044862.835076961,4044891.6456806716,4044913.521816265,4044930.5436754134,4044821.454293378,4044860.7077721166,4044889.8204179634,4044911.9849756123,4044929.2683293964,4044819.190656239,4044858.6794178663,4044888.058924368,4044910.481504646,4044928.0005093003,4044817.0525914296,4044856.745218114,4044886.3623566316,4044909.017506226,4044926.750429988,4044815.0292237434,4044854.8996666833,4044884.729846188,4044907.5959833967,4044925.524317804,4044813.110671834,4044853.1370931016,4044883.1593981544,4044906.218025419,4044924.325834856,4044811.2880382966,4044851.4519518805,4044881.6484237155,4044904.8835376063,4044923.1569721503,4044809.553346362,4044849.838969354,4044880.1940585775,4044903.591699208,4044922.018622495,4044807.899456086,4044848.2932106517,4044878.7933537723,4044902.341254936,4044920.9109549746,4044806.319976293,4044846.810101915,4044877.443388968,4044901.130702494,4044919.8336635386,4044804.8091800776,4044845.385427794,4044876.141338126,4044899.9584138826,4044918.7861340684
3,2021-07-04,4044717.919279455,4044770.150321996,4044809.2183813644,4044839.0998526225,4044862.452898952,4044713.8608711157,4044766.6994579486,4044806.457011945,4044837.009952702,4044860.9816000783,4044710.042405061,4044763.3539661854,4044803.675685162,4044834.7898384095,4044859.284519174,4044706.4585084976,4044760.1438549133,4044800.9353230437,4044832.526782663,4044857.471462761,4044703.095086835,4044757.079114263,4044798.2672343757,4044830.2703407104,4044855.6075751716,4044699.9351557386,4044754.1597402645,4044795.6866548816,4044828.0488616126,4044853.732415418,4044696.961458361,4044751.3807966704,4044793.199866227,4044825.878339868,4044851.8702951455,4044694.1576079894,4044748.7350532734,4044790.808099001,4044823.7673817333,4044850.0361525035,4044691.5085358,4044746.21438589,4044788.5097426805,4044821.72009601,4044848.239021793,4044689.000608772,4044743.8105212073,4044786.30162742,4044819.7378275325,4044846.484149977,4044686.621594151,4044741.515426009,4044784.179779825,4044817.820221825,4044844.7743228194,4044684.360557297,4044739.3215000355,4044782.139872449,4044815.965891393,4044843.110714547,4044682.207735891,4044737.2216595765,4044780.1774910646,4044814.1728386316,4044841.4934423855,4044680.1544114486,4044735.2093604514,4044778.2882916806,4044812.438726814,4044839.921933979,4044678.1927878787,4044733.27858802,4044776.468090056,4044810.7610545345,4044838.3951737564
4,2021-07-05,4044588.4778129025,4044654.9862353615,4044706.1163320686,4044746.002140275,4044777.637041229,4044583.575469213,4044650.6584154665,4044702.5600470956,4044743.2571671093,4044775.6752423593,4044578.971703547,4044646.4697382716,4044698.9830008517,4044740.344329161,4044773.41421263,4044574.65844666,4044642.457013719,4044695.4634713796,4044737.3784952685,4044771.0008184025,4044570.617307508,4044638.6318854154,4044692.0413576937,4044734.424679039,4044768.5220702803,4044566.8266339623,4044634.993518455,4044688.735781537,4044731.5198883526,4044766.0306858704,4044563.264651165,4044631.534987218,4044685.5543330386,4044728.684840854,4044763.558955864,4044559.910809181,4044628.24659091,4044682.498131454,4044725.930534579,4044761.1266256855,4044556.7462922917,4044625.1176027562,4044679.564684192,4044723.2620692677,4044758.7455508937,4044553.7541341637,4044622.1371929687,4044676.7495401003,4044720.680934837,4044756.422535798,4044550.9191524605,4044619.294904931,4044674.047260472,4044718.186414423,4044754.1611106885,4044548.227807355,4044616.580885915,4044671.451993609,4044715.776460467,4044751.962669282,4044545.668035128,4044613.985982101,4044668.9578140858,4044713.4482492274,4044749.827210043,4044543.2290814724,4044611.5017590267,4044666.5589201,4044711.198534841,4044747.753826501,4044540.9013456544,4044609.1204820266,4044664.249744262,4044709.023876225,4044745.741035333
5,2021-07-06,4044450.643871331,4044530.1511683613,4044592.8657560176,4044642.7039455264,4044682.787456668,4044445.0778190903,4044525.061015733,4044588.576629026,4044639.3307919265,4044680.341734536,4044439.8588324212,4044520.141489079,4044584.2676496515,4044635.754807668,4044677.525013453,4044434.9762658915,4044515.435037209,4044580.0330195003,4044632.117401117,4044674.5208903374,4044430.4079616084,4044510.954454854,4044575.920401799,4044628.498372592,4044671.4379990213,4044426.128277919,4044506.6979209688,4044571.9523231788,4044624.9429427637,4044668.342021481,4044422.1116291867,4044502.6565500856,4044568.137405588,4044621.4762470913,4044665.273066641,4044418.3339842204,4044498.818297495,4044564.4765053177,4044618.1114620343,4044662.255552087,4044414.7734142654,4044495.170009082,4044560.9661741424,4044614.854527252,4044659.304040449,4044411.4101978303,4044491.6984950197,4044557.60065541,4044611.7069701925,4044656.426796651,4044408.22672519,4044488.391077378,4044554.3730522874,4044608.6676350287,4044653.6280134805,4044405.207320678,4044485.235849968,4044551.276015829,4044605.7337600314,4044650.909234544,4044402.3380401884,4044482.221780031,4044548.302148703,4044602.9016577257,4044648.270280455,4044399.6064711437,4044479.338723739,4044545.4442379056,4044600.1671477794,4044645.709860448,4044397.0015470195,4044476.577396041,4044542.695383514,4044597.5258332845,4044643.2259808094
6,2021-07-07,4044306.462900919,4044397.5604001186,4044471.1759203244,4044530.706845091,4044579.2206203016,4044300.394728441,4044391.825453646,4044466.2277076403,4044526.7457172205,4044576.308904396,4044294.7118298123,4044386.289294457,4044461.2617394403,4044522.549962398,4044572.957673529,4044289.401309031,4044380.998936073,4044456.3864727444,4044518.2858887026,4044569.3860350354,4044284.437903503,4044375.9679352697,4044451.656428407,4044514.0471026814,4044565.7234849394,4044279.7927453043,4044371.1934432914,4044447.0970538883,4044509.8864348405,4044562.048171522,4044275.4371985276,4044366.664748818,4044442.717761358,4044505.833062046,4044558.407684179,4044271.34446454,4044362.367682166,4044438.5190447615,4044501.9021037547,4044554.8308775635,4044267.4901526575,4044358.2869170015,4044434.4964851667,4044498.1001943606,4044551.3348546694,4044263.852371622,4044354.407168326,4044430.643055228,4044494.4288126715,4044547.929221356,4044260.411606889,4044350.7137973257,4044426.950463734,4044490.8863169192,4044544.6187463873,4044257.150512011,4044347.1930929963,4044423.409944259,4044487.469210524,4044541.4050606024,4044254.053676069,4044343.832377036,4044420.012715297,4044484.1729393257,4044538.2877615774,4044251.1073962585,4044340.620013124,4044416.7502432894,4044480.99239751,4044535.265142012,4044248.2994682924,4044337.545366114,4044413.614386217,4044477.9222492967,4044532.3346752753
7,2021-07-08,4044158.0687254304,4044259.188794384,4044342.8215551856,4044411.5899958136,4044468.3409428084,4044151.6480961004,4044252.930065443,4044337.2982828887,4044407.0928118853,4044464.9913233574,4044145.6407846357,4044246.8942593755,4044331.7601659354,4044402.3328214344,4044461.1383310617,4044140.0320720566,4044241.131927698,4044326.328041906,4044397.499082921,4044457.0345672057,4044134.7943110783,4044235.6570710437,4044321.06230753,4044392.6977586853,4044452.829166693,4044129.896201689,4044230.465845869,4044315.9908380015,4044387.9885485163,4044448.611975459,4044125.306832365,4044225.545918956,4044311.123617726,4044383.404231385,4044444.437568438,4044120.997354456,4044220.8812771346,4044306.46071766,4044378.961614033,4044440.3389137588,4044116.9415634233,4044216.4547315473,4044301.996777678,4044374.6678843694,4044436.3354418497,4044113.1159764905,4044212.249213911,4044297.723580084,4044370.524403857,4044432.4379598494,4044109.4996872446,4044208.24842522,4044293.6315470124,4044366.529022437,4044428.6517223394,4044106.0741324825,4044204.4371326943,4044289.710615534,4044362.67751598,4044424.978391189,4044102.8228363143,4044200.801275248,4044285.950745638,4044358.9644897687,4044421.4173082947,4044099.731161785,4044197.327966023,4044282.3422084427,4044355.3839503285,4044417.96633366,4044096.7860829732,4044194.0054415343,4044278.8757415884,4044351.929667789,4044414.62240314
8,2021-07-09,4044005.983997527,4044115.7169387895,4044208.513782434,4044286.0393047505,4044350.787401174,4043999.32146782,4044109.036111811,4044202.4918955397,4044281.056598556,4044347.0292452825,4043993.091971733,4044102.5983734187,4044196.4584078677,4044275.7861519,4044342.708549229,4043987.279437327,4044096.457023666,4044190.5448494423,4044270.4376622317,4044338.109256455,4043981.854496455,4044090.626316969,4044184.8166367817,4044265.1286386074,4044333.3988483185,4043976.7841125145,4044085.1015143087,4044179.303667135,4044259.9249503454,4044328.678068832,4043972.035758987,4044079.86889484,4044174.0163412485,4044254.8625772004,4044324.0079744225,4043967.579138491,4044074.910892203,4044168.9542910885,4044249.959791653,4044319.425326214,4043963.386768865,4044070.2087606005,4044164.1112771262,4044245.2242239905,4044314.951678851,4043959.4340493684,4044065.7439485616,4044159.477994996,4044240.6570758065,4044310.5989141003,4043955.6990981563,4044061.498781329,4044155.0437046816,4044236.255688981,4044306.3726965534,4043952.16250109,4044057.456768718,4044150.797179618,4044232.0151385386,4044302.2746774754,4043948.8070388953,4044053.6027098233,4044146.7272552024,4044227.9292319412,4044298.303924589,4043945.6174236718,4044049.9226891007,4044142.8231379357,4044223.991140079,4044294.457862423,4043942.5800578743,4044046.4040166005,4044139.0745702595,4044220.1937959082,4044290.7328971815
9,2021-07-10,4043850.848667872,4043967.852054461,4044068.957051025,4044154.7241153554,4044227.181701479,4043844.0286814836,4043960.837390583,4044062.507663547,4044149.3056024136,4044223.0455721007,4043837.6546955584,4043954.082207152,4044056.049973058,4044143.5774216396,4044218.2924903138,4043831.70972321,4043947.641912446,4044049.7246453054,4044137.767820696,4044213.235472322,4043826.1632487853,4043941.530895773,4044043.601345724,4044132.0044728783,4044208.0589923756,4043820.9810841144,4043935.7436508113,4044037.7116448726,4044126.358744279,4044202.8738642787,4043816.1296352684,4043930.2653087494,4044032.0662426194,4044120.8694395158,4044197.747111697,4043811.577649591,4043925.0770326597,4044026.664342382,4044115.5560981836,4044192.7189685055,4043807.2968040244,4043920.158810604,4044021.4989050482,4044110.4267020053,4044187.8129162886,4043803.2617631406,4043915.490889562,4044016.5596553814,4044105.4822676936,4044183.0417936654,4043799.4500049246,4043911.0544834076,4044011.8348236214,4044100.7196443616,4044178.411609604,4043795.8415574306,4043906.832088454,4044007.312157317,4044096.133245762,4044173.9239736455,4043792.4187145913,4043902.807586787,4044002.9795038663,4044091.716135241,4044169.5776711637,4043789.16576266,4043898.9662365974,4043998.8251369474,4044087.4607093995,4044165.3696982516,4043786.068730469,4043895.294604837,4043994.837928871,4044083.359128846,4044161.2959484984
10,2021-07-11,4043692.955660147,4043815.9945944534,4043924.5874330546,4044018.079641481,4044097.9405489033,4043686.0345644616,4043808.718177791,4043917.7733953646,4044012.271598636,4044093.4561804025,4043679.5675061536,4043801.714238891,4043910.9541775454,4044006.1346076387,4044088.3049774105,4043673.536960022,4043795.0398128545,4043904.2782167573,4043999.9135126383,4044082.8267983207,4043667.9117168146,4043788.7093697605,4043897.8187678973,4043993.7450561747,4044077.2217870257,4043662.6568853674,4043782.7167800115,4043891.608791236,4043987.7054875796,4044071.6100242524,4043657.7382165305,4043777.046256754,4043885.6592061217,4043981.836101733,4044066.064008467,4043653.1238690605,4043771.6779522914,4043879.968818519,4043976.1575361276,4044060.627144831,4043648.7850002972,4043766.5908502876,4043874.5298795905,4043970.678054166,4044055.324660744,4043644.6958197625,4043761.7642463585,4043869.331262329,4043965.398478032,4044050.1702477415,4043640.8334081178,4043757.1784756514,4043864.3602986424,4043960.3151905104,4044045.1702053626,4043637.17744657,4043752.815234042,4043859.6038442277,4043955.421991698,4044040.3260804038,4043633.709925846,4043748.6576800672,4043855.0488896687,4043950.71126026,4044035.6363763143,4043630.4148665303,4043744.690420513,4043850.6829011966,4043946.1746838465,4044031.097675118,4043627.27806401,4043740.8994369144,4043846.493999088,4043941.8037182195,4044026.7053810544
11,2021-07-12,4043532.275242122,4043660.252388391,4043775.5795011637,4043876.3085086285,4043963.2734024976,4043525.2804204854,4043652.7681743484,4043768.453121805,4043870.1516440613,4043958.4680007077,4043518.744771397,4043645.5665775095,4043761.324330698,4043863.64874601,4043952.949947894,4043512.650514324,4043638.705941513,4043754.348211593,4043857.059528154,4043947.083884989,4043506.9660515147,4043632.2008202397,4043747.60108038,4043850.5288440124,4043941.084409519,4043501.6560757994,4043626.0446085217,4043741.1170740263,4043844.1372975935,4043935.0801369986,4043496.685938603,4043620.2208082653,4043734.907287508,4043837.928393158,4043929.1485966346,4043492.023432657,4043614.708784893,4043728.9701757045,4043831.9237310123,4043923.3360974,4043487.639387276,4043609.4867382227,4043723.297372957,4043826.1318079764,4043917.669455704,4043483.507721157,4043604.533220268,4043717.877015339,4043820.5532552055,4043912.1631296943,4043479.6052583526,4043599.827878594,4043712.695659323,4043815.184023147,4043906.8236685544,4043475.911453972,4043595.3517822176,4043707.7393918596,4043810.0173496157,4043901.6525447397,4043472.4080994315,4043591.0875226357,4043702.994465751,4043805.0449891924,4043896.6479870863,4043469.0790393245,4043587.0191958146,4043698.4476525104,4043800.257985302,4043891.806182895,4043465.909913285,4043583.132323973,4043694.086425794,4043795.6471545473,4043887.1220738706
