,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84332562.58141221,84332968.59324953,84333252.86849864,84333460.33155946,84333616.9463599,84332525.99200168,84332940.26716615,84333231.64319181,84333445.02266516,84333606.55541731,84332491.38511112,84332912.68269265,84333210.18684217,84333428.71435834,84333594.54539229,84332458.74435815,84332886.10019137,84333188.97027121,84333412.04230003,84333581.68561754,84332427.9705182,84332860.61691333,84333168.2405067,84333395.37039402,84333568.43407318,84332398.93372025,84332836.2472132,84333148.12230447,84333378.90942174,84333555.07044032,84332371.49747507,84332812.96337703,84333128.67165284,84333362.78060432,84333541.76802428,84332345.529617,84332790.71713671,84333109.9052268,84333347.0512965,84333528.63457605,84332320.90696895,84332769.45125829,84333091.81716268,84333331.75580768,84333515.73640646,84332297.5169523,84332749.10583808,84333074.38886213,84333316.90792814,84333503.11311069,84332275.25771917,84332729.62169725,84333057.59483017,84333302.50865638,84333490.78681138,84332254.03759754,84332710.94215345,84333041.4061922,84333288.5510622,84333478.76809637,84332233.77425042,84332693.0138741,84333025.79282115,84333275.02339512,84333467.05990744,84332214.39375134,84332675.78720832,84333010.72461723,84333261.91109358,84333455.66012774,84332195.82967614,84332659.21622595,84332996.1722637,84333249.19809243,84333444.56332609
1,2021-07-02,84329020.70605516,84329944.75027874,84330623.55022685,84331136.29219666,84331533.39699936,84328942.53689983,84329880.42506984,84330573.2173077,84331098.81194672,84331507.33201651,84328868.92749642,84329818.01005416,84330522.48116595,84331058.97084577,84331477.25238596,84328799.78656475,84329758.07168424,84330472.45413584,84331018.3323275,84331445.09983626,84328734.85289204,84329700.8035261,84330423.71062908,84330977.78594443,84331412.02736938,84328673.80768259,84329646.21223743,84330376.53260937,84330937.84213623,84331378.73616788,84328616.32523386,84329594.21165852,84330331.03874315,84330898.79024214,84331345.65806143,84328562.09524822,84329544.67197885,84330287.255283,84330860.78718282,84331313.05917898,84328510.83172987,84329497.44591595,84330245.15626313,84330823.90911217,84331281.10118014,84328462.27548163,84329452.38270994,84330204.68685755,84330788.1824186,84331249.87861879,84328416.19360076,84329409.33548857,84330165.77718611,84330753.60278746,84331219.44236693,84328372.37765318,84329368.164961,84330128.3505514,84330720.1471485,84331189.81463346,84328330.64136137,84329328.74106042,84330092.32835674,84330687.78127286,84331160.99877569,84328290.81821603,84329290.94344307,84330057.63301237,84330656.46465184,84331132.98580761,84328252.75920463,84329254.66136053,84330024.18960647,84330626.15364632,84331105.75877014
2,2021-07-03,84324684.61022006,84326121.81221433,84327219.63234758,84328073.28143597,84328749.18461816,84324569.69839756,84326022.45495027,84327139.00906754,84328011.56967963,84328705.34085196,84324461.8227933,84325926.30967744,84327057.92202342,84327946.08600599,84328654.80976908,84324360.78825092,84325834.2203805,84326978.14633775,84327879.41349314,84328600.8739351,84324266.15817459,84325746.4527945,84326900.58657414,84327813.01418337,84328545.4782511,84324177.42025185,84325662.98603837,84326825.67597587,84327747.72032763,84328489.8011892,84324094.0600255,84325583.65943635,84326753.58619542,84327683.99780598,84328434.56465374,84324015.59241347,84325508.24871518,84326684.34210415,84327622.09388097,84328380.2101183,84323941.57355575,84325436.50619379,84326617.88665812,84327562.12313634,84328327.00267063,84323871.60342406,84325368.18197963,84326554.11841011,84327504.11894922,84328275.09445941,84323805.32420844,84325303.03489538,84326492.9135416,84327448.06505074,84328224.56442171,84323742.41693172,84325240.83776453,84326434.13889892,84327393.91523533,84328175.44371198,84323682.59749134,84325181.3795794,84326377.65969007,84327341.60583684,84328127.73227696,84323625.61270416,84325124.46595676,84326323.34396091,84327291.06369543,84328081.4098202,84323571.23661436,84325069.91867581,84326271.06510699,84327242.21126364,84328036.44313927
3,2021-07-04,84319776.56940968,84321693.24123159,84323204.91622552,84324409.36704986,84325381.29420398,84319630.84851182,84321562.03793773,84323095.15229665,84324323.34223598,84325319.0254659,84319494.3467367,84321435.33309351,84322984.94977617,84324232.18860078,84325247.33607087,84319366.76065367,84321314.20917197,84322876.717254,84324139.5161509,84325170.90690625,84319247.48875324,84321198.98324664,84322771.66883363,84324047.35931705,84325092.50613737,84319135.8419203,84321089.59634778,84322670.37412752,84323956.86845699,84325013.80589287,84319031.13576108,84320985.80872227,84322573.04680577,84323868.68073496,84324935.8258282,84318932.72932799,84320887.30062407,84322479.70221129,84323783.12803304,84324859.18539105,84318840.03897186,84320793.72507769,84322390.24614105,84323700.35773478,84324784.25282004,84318752.54065606,84320704.73540583,84322304.52598363,84323620.4049373,84324711.23594844,84318669.76710033,84320619.99917945,84322222.36059794,84323543.23662238,84324640.23900038,84318591.30284028,84320539.20475785,84322143.5578709,84323468.7791569,84324571.2988905,84318516.77869545,84320462.06376942,84322067.92498675,84323396.93563376,84324504.40883887,84318445.86634873,84320388.31138986,84321995.27431825,84323327.59689248,84324439.53395453,84318378.27334428,84320317.70546247,84321925.42666127,84323260.6485388,84324376.62163353
4,2021-07-05,84314520.30225539,84316858.7856242,84318754.82282957,84320298.13018784,84321564.67784111,84314350.6872972,84316700.60763355,84318618.8913308,84320189.32966256,84321484.5847545,84314192.0595669,84316548.09477642,84318482.6098932,84320074.17829059,84321392.45848036,84314044.01656489,84316402.52090792,84318348.95232454,84319957.25104184,84321294.34010854,84313905.81619188,84316264.23571195,84318219.40402322,84319841.11661315,84321193.79629883,84313776.62190536,84316133.13806927,84318094.64960426,84319727.21916422,84321092.97571798,84313655.60926445,84316008.91270323,84317974.93324836,84319616.35128428,84320993.18342485,84313542.0098677,84315891.15179847,84317860.2551757,84319508.91899587,84320895.20766647,84313435.1264231,84315779.41827954,84317750.48203368,84319405.09554236,84320799.5128731,84313334.33455351,84315673.27852981,84317645.41026604,84319304.91318743,84320706.3572072,84313239.07875268,84315572.3187347,84317544.80297565,84319208.31925102,84320615.8660177,84313148.86606303,84315476.15233561,84317448.41146015,84319115.21090403,84320528.07872315,84313063.25918533,84315384.42264847,84317355.98770615,84319025.45703654,84320442.97925949,84312981.86981416,84315296.80288666,84317267.29147193,84318938.91209689,84320360.51612987,84312904.35253552,84315212.99484053,84317182.09410022,84318855.42485991,84320280.61574799
5,2021-07-06,84308991.71913628,84311701.02116029,84313950.49458903,84315815.8094492,84317369.53880967,84308803.52980591,84311520.16092652,84313791.40080042,84315686.08264661,84317272.59322669,84308627.73300143,84311345.98737928,84313632.07600577,84315548.91551863,84317161.16754301,84308463.84278731,84311179.9293664,84313475.99178067,84315409.77142684,84317042.5942052,84308311.00243545,84311022.35803226,84313324.86931597,84315271.70841339,84316921.19617292,84308168.25650285,84310873.13146473,84313179.4902641,84315136.43754643,84316799.57175551,84308034.66827115,84310731.86630659,84313040.121263,84315004.89066042,84316679.29378365,84307909.36756691,84310598.07686718,84312906.74505137,84314877.53831577,84316561.30752492,84307791.56662913,84310471.24715634,84312779.19004901,84314754.57414956,84316446.16564731,84307680.5613973,84310350.86786658,84312657.20453952,84314636.02477275,84316334.17125699,84307575.72644813,84310236.45463265,84312540.49966861,84314521.81673531,84316225.46720451,84307476.50752398,84310127.55616945,84312428.77444339,84314411.81801474,84316120.09301943,84307382.41352844,84310023.75693624,84312321.73013914,84314305.86401789,84316018.02183089,84307293.00884955,84309924.67688635,84312219.07838403,84314203.77397823,84315919.18463519,84307207.90636702,84309829.96972895,84312120.54543804,84314105.36129716,84315823.48640995
6,2021-07-07,84303216.44361973,84306255.0327695,84308830.70083155,84311001.51478536,84312833.59831303,84303013.55847034,84306054.92240092,84308651.05261728,84310852.6083,84312720.81724712,84302824.18783145,84305862.38475986,84308471.30176374,84310695.28406937,84312591.27278654,84302647.77770984,84305678.97738132,84308295.3600161,84310535.82071349,84312453.51438446,84302483.37897712,84305505.08678308,84308125.15526117,84310377.72368884,84312312.57648566,84302329.94073719,84305340.53389914,84307961.55251253,84310222.94667672,84312171.47918521,84302186.43633729,84305184.87543751,84307804.83573021,84310072.54681017,84312032.04542243,84302051.91420758,84305037.55782355,84307654.96980979,84309927.0514845,84311895.36617652,84301925.514313,84304897.99661975,84307511.74722706,84309786.67086841,84311762.07512055,84301806.46899419,84304765.6170763,84307374.87180473,84309651.42444819,84311632.51574683,84301694.09706739,84304639.87396981,84307244.00712547,84309521.21802384,84311506.84563592,84301587.79542,84304520.26028161,84307118.80457008,84309395.89132392,84311385.10286461,84301487.03010647,84304406.30986656,84306998.91938734,84309275.2477777,84311267.24901487,84301391.32785615,84304297.59694351,84306884.01963714,84309159.07323448,84311153.1973993,84301300.26836514,84304193.73398012,84306773.79085614,84309047.14772442,84311042.83176747
7,2021-07-08,84297244.2790867,84300570.7857735,84303444.20038259,84305901.79321137,84308000.66320263,84297030.15915221,84300354.63448067,84303246.56300946,84305735.53214632,84307873.19352432,84296830.4237431,84300146.81102388,84303048.95364231,84305559.98566502,84307726.85534747,84296644.46451457,84299948.97786045,84302855.66811396,84305382.17089607,84307571.32986332,84296471.25971413,84299761.5319598,84302668.81325234,84305205.99729927,84307412.31213127,84296309.68383703,84299584.26115522,84302489.32488787,84305033.63650803,84307253.21289992,84296158.64014937,84299416.6703642,84302317.50009644,84304866.25721,84307096.08589262,84296017.11378397,84299258.14788854,84302153.28631859,84304704.43640871,84306942.15577361,84295884.1885906,84299108.05095871,84301996.44296823,84304548.39753321,84306792.12982288,84295759.04759361,84298965.74922012,84301846.63358071,84304398.15209247,84306646.38751355,84295640.96641879,84298830.64585155,84301703.47894332,84304253.5857597,84306505.09871441,84295529.30414882,84298702.18666115,84301566.58776723,84304114.51152444,84306368.29890728,84295423.49371019,84298579.86273208,84301435.57418707,84303980.70286159,84306235.93784828,84295323.03274113,84298463.209674,84301310.06743193,84303851.91453491,84306107.91145992,84295227.47532302,84298351.80517514,84301189.71680863,84303727.89562461,84305984.08293268
8,2021-07-09,84291107.10604154,84294683.05474365,84297826.61878598,84300551.80231881,84302904.6489969,84290884.53943035,84294453.66885701,84297613.36101502,84300369.9582216,84302763.66417263,84290677.01543745,84294233.24413715,84297400.25736284,84300178.06189357,84302601.88374548,84290483.88402253,84294023.52816679,84297191.9363762,84299983.79418224,84302430.03241625,84290304.06813304,84293824.92507069,84296990.65890221,84299791.42668629,84302254.41356967,84290136.38560423,84293637.19404192,84296797.4207781,84299603.32557921,84302078.79693505,84289979.6865602,84293459.79612109,84296612.52905071,84299420.75837381,84301905.44764209,84289832.90818548,84293292.07068974,84296435.91472888,84299244.3452801,84301735.71222211,84289695.09185608,84293133.3260488,84296267.3074062,84299074.32038578,84301570.36450224,84289565.3832933,84292982.8853035,84296106.33468202,84298910.68691334,84301409.81592475,84289443.02547224,84292840.10851476,84295952.57937358,84298753.31147267,84301254.24661052,84289327.348911,84292704.40211977,84295805.61245675,84298601.98218025,84301103.68869872,84289217.76151673,84292575.22154127,84295665.01178929,84298456.44486782,84300958.08021219,84289113.73896652,84292452.07022789,84295530.3723975,84298316.42574419,84300817.30031912,84289014.81601277,84292334.49691992,84295401.3117211,84298181.64554755,84300681.19263142
9,2021-07-10,84284849.42207564,84288635.86511175,84292020.81687768,84294992.73419856,84297584.78226796,84284620.86635505,84288395.88896151,84291794.26479,84294797.11500289,84297431.53034395,84284407.82268867,84288165.39027762,84291567.98546855,84294590.77643867,84297255.74218391,84284209.61082506,84287946.18343821,84291346.88994783,84294381.98661031,84297069.09153771,84284025.11396909,84287738.67694339,84291133.3689701,84294175.33671765,84296878.4343713,84283853.10935786,84287542.60584173,84290928.46813494,84293973.36390728,84296687.86585218,84283692.4091033,84287357.39500438,84290732.50171995,84293777.42189506,84296499.84218763,84283541.91613385,84287182.34377451,84290545.3856157,84293588.16792755,84296315.81954283,84283400.64150877,84287016.72055705,84290366.8230443,84293405.84443219,84296136.63113001,84283267.70434423,84286859.8106015,84290196.41016738,84293230.44632941,84295962.71642664,84283142.32434379,84286710.93895926,84290033.69675958,84293061.82251394,84295794.2639477,84283023.8116785,84286569.48014529,84289878.22106501,84292899.73836097,84295631.30197224,84282911.55644359,84286434.86070266,84289729.5295464,84292743.91461281,84295473.75713529,84282805.01868913,84286306.55806077,84289587.18768153,84292594.05167277,84295321.4927448,84282703.71941985,84286184.09756137,84289450.78541835,84292449.8447406,84295174.33406776
