,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84334103.48269162,84334243.22073688,84334336.51057068,84334402.42506354,84334451.04321606,84334090.48593412,84334233.72736719,84334329.66632521,84334397.62095481,84334447.84698437,84334078.12888019,84334224.44696608,84334322.72815152,84334392.49290794,84334444.14757524,84334066.41577896,84334215.47017577,84334315.84819159,84334387.23943792,84334440.18027775,84334055.32042645,84334206.83348566,84334309.10742167,84334381.97479984,84334436.08544919,84334044.80444749,84334198.54550841,84334302.54776867,84334376.76571593,84334431.94910571,84334034.82588165,84334190.60042629,84334296.18905807,84334371.65104073,84334427.8248254,84334025.34321985,84334182.98513113,84334290.03836714,84334366.6528078,84334423.74616916,84334016.31722905,84334175.68311094,84334284.09537114,84334361.78268081,84334419.73401676,84334007.71167925,84334168.67659263,84334278.35548355,84334357.04584211,84334415.80104838,84333999.49352422,84334161.9477222,84334272.81173798,84334352.44339779,84334411.95456061,84333991.6328158,84334155.47920147,84334267.45593156,84334347.9738965,84334408.19827813,84333984.10249679,84334149.25461411,84334262.27932404,84334343.63430451,84334404.5335425,84333976.87814704,84334143.25857215,84334257.27306493,84334339.42063935,84334400.9601053,84333969.93772146,84334137.4767595,84334252.42845115,84334335.32838492,84334397.47666425
1,2021-07-02,84332913.79729366,84333268.58055694,84333513.46992764,84333690.4382452,84333823.0786075,84332882.66566905,84333244.76835485,84333495.76860109,84333677.74192302,84333814.49590829,84332853.16848463,84333221.55103725,84333477.85923298,84333664.2087059,84333804.57191129,84332825.29970162,84333199.14999369,84333460.13461265,84333650.36496107,84333793.94099377,84332798.98207301,84333177.64996253,84333442.80169877,84333636.51247093,84333782.98100193,84332774.11131139,84333157.06596957,84333425.96580203,84333622.82644032,84333771.9228992,84332750.57654853,84333137.37744883,84333409.67496407,84333609.4079949,84333760.9100076,84332728.26974808,84333118.54626183,84333393.94440351,84333596.3136632,84333750.0316224,84332707.08979803,84333100.5264331,84333378.77045166,84333583.5725784,84333739.34286723,84332686.94399779,84333083.26946276,84333364.13870822,84333571.19683199,84333728.87681898,84332667.74827337,84333066.72720955,84333350.02890651,84333559.18786518,84333718.65212063,84332649.4267923,84333050.85341124,84333336.41785133,84333547.54049481,84333708.67787343,84332631.91131985,84333035.60443155,84333323.28120166,84333536.24548966,84333698.95684245,84332615.14049165,84333020.93956593,84333310.5945478,84333525.29123808,84333689.48759086,84332599.05908911,84333006.8210975,84333298.33405164,84333514.66483542,84333680.26591982
2,2021-07-03,84331330.6049391,84331938.7836035,84332371.50119407,84332690.76844561,84332933.67180376,84331280.15610857,84331898.5317234,84332340.71495199,84332668.23391499,84332918.20670128,84331232.49098043,84331859.37242302,84332309.61970271,84332644.24424863,84332900.34072411,84331187.57735656,84331821.67085865,84332278.89726864,84332619.73629047,84332881.22106093,84331145.27025935,84331785.56014012,84332248.90361853,84332595.24527007,84332861.53002419,84331105.38392766,84331751.05595383,84332219.81699099,84332571.08026151,84332841.68369633,84331067.72476389,84331718.11478405,84332191.71590637,84332547.41820006,84332821.93937504,84331032.10619694,84331686.6645086,84332164.62206483,84332524.35666323,84332802.45657055,84330998.35490781,84331656.62081827,84332138.52474034,84332501.94464065,84332783.33303617,84330966.31287566,84331627.8960932,84332113.39500986,84332480.20102957,84332764.62676272,84330935.83741973,84331600.404154,84332089.19420543,84332459.12603101,84332746.36977784,84330906.80032317,84331574.06271298,84332065.87898985,84332438.70831147,84332728.57700455,84330879.08658573,84331548.79452908,84332043.40441385,84332418.92957234,84332711.25205722,84330852.59308022,84331524.52783106,84332021.72574514,84332399.767497,84332694.3910941,84330827.22724581,84331501.19633242,84332000.79953974,84332381.19766349,84332677.9854105
3,2021-07-04,84329448.92549,84330322.86922395,84330962.49908738,84331443.75239208,84331815.13460281,84329380.32648504,84330265.91933444,84330917.74866265,84331410.35421118,84331791.87849288,84329315.66581975,84330210.62155244,84330872.61697213,84331374.83974667,84331765.03393665,84329254.87345394,84330157.48090269,84330828.09312192,84331338.60081224,84331736.33162314,84329197.72924373,84330106.67294243,84330784.6891829,84331302.42998418,84331706.79953936,84329143.96124613,84330058.20772263,84330742.65772048,84331266.7826796,84331677.06317735,84329093.29022235,84330012.0128048,84330702.10625492,84331231.91762263,84331647.50807476,84329045.44935776,84329967.97669263,84330663.06010112,84331197.97567703,84331618.37213156,84329000.19223273,84329925.97199787,84330625.49802035,84331165.02576579,84331589.80014046,84328957.29516801,84329885.86785668,84330589.37295301,84331133.09243798,84331561.87706201,84328916.55691677,84329847.53649075,84330554.62428528,84331102.17282511,84331534.64888681,84328877.79717554,84329810.85652125,84330521.18517768,84331072.24727362,84331508.13601409,84328840.85464853,84329775.71446493,84330488.98694925,84331043.28611009,84331482.34199384,84328805.58502832,84329742.00521384,84330457.96167538,84331015.2539895,84331457.25932766,84328771.85906488,84329709.63195542,84330428.04368828,84330988.1127053,84331432.87336561
4,2021-07-05,84327323.47294782,84328462.41703479,84329318.2790755,84329974.17586862,84330487.17821884,84327238.745324,84328389.41262922,84329259.4294134,84329929.43591158,84330455.58836192,84327159.03698109,84328318.64236493,84329200.15655749,84329881.90920173,84330419.15108842,84327084.23410851,84328250.74044126,84329141.75867617,84329833.46402468,84330380.22403993,84327014.04104207,84328185.91756503,84329084.9027527,84329785.16113867,84330340.20586887,84326948.10202809,84328124.17308122,84329029.91322342,84329737.60730378,84330299.94586802,84326886.05583438,84328065.40207428,84328976.92372464,84329691.14480151,84330259.965954,84326827.55956934,84328009.45117909,84328925.9602802,84329645.95776314,84330220.58679359,84326772.29799636,84327956.14818777,84328876.98839903,84329602.13405785,84330182.00230354,84326719.98596764,84327905.31779592,84328829.94038859,84329559.70240225,84330144.32509474,84326670.36765975,84327856.78982629,84328784.73145702,84329518.65515012,84330107.61494462,84326623.21442321,84327810.40329999,84328741.26928817,84329478.96255383,84330071.89703889,84326578.32214224,84327766.00819749,84328699.45973364,84329440.58181548,84330037.17387635,84326535.50854126,84327723.46593894,84328659.21015574,84329403.46288605,84330003.43315624,84326494.6106407,84327682.64916804,84328620.43133251,84329367.55219801,84329970.65306674
5,2021-07-06,84325010.72442727,84326402.37224051,84327474.79097971,84328311.23510143,84328973.94460228,84324912.50811894,84326314.69038565,84327402.35424165,84328255.17469063,84328933.82495049,84324820.25892524,84326229.81269296,84327329.48197202,84328195.67688636,84328887.58024484,84324733.81814654,84326148.48674096,84327257.7689904,84328135.0868759,84328838.21250597,84324652.8198747,84326070.95038863,84327188.02903347,84328074.73257078,84328787.50061093,84324576.83242358,84325997.18856902,84327120.65285783,84328015.37038177,84328736.52268806,84324505.42124975,84325927.06261279,84327055.79635681,84327957.42422804,84328685.93943822,84324438.17601526,84325860.37740138,84326993.4835465,84327901.11958894,84328636.15516616,84324374.72085257,84325796.9168174,84326933.66476141,84327846.56147213,84328587.41289438,84324314.71672513,84325736.46246697,84326876.2503192,84327793.78111358,84328539.85236079,84324257.8601612,84325678.8033529,84326821.13030179,84327742.76461498,84328493.54633354,84324203.88045466,84325623.74057376,84326768.18626766,84327693.4708307,84328448.52385609,84324152.5363596,84325571.08927068,84326717.29817367,84327645.84269316,84328404.78539966,84324103.61277297,84325520.67906077,84326668.34840673,84327599.81444785,84328362.31288758,84324056.91763048,84325472.35365681,84326621.22405164,84327555.31629258,84328321.07640475
6,2021-07-07,84322546.76560968,84324173.16941501,84325457.17364198,84326475.72010589,84327292.79168387,84322437.7037802,84324072.47183985,84325372.00190929,84326408.65937598,84327244.16948852,84322335.40100788,84323975.11343753,84325286.40657264,84326337.54531275,84327188.15863755,84322239.6566562,84323881.93851064,84325202.25941068,84326265.18762462,84327128.40587588,84322150.04338172,84323793.205008,84325120.50950868,84326193.1733026,84327067.06981578,84322066.06438977,84323708.8814084,84325041.60726064,84326122.4028897,84327005.45644376,84321987.22292303,84323628.79590128,84324965.7269409,84326053.37804687,84326944.36403908,84321913.051795,84323552.71361086,84324892.888403,84325986.36278959,84326884.27927288,84321843.12429275,84323480.37718722,84324823.0257312,84325921.4772039,84326825.49302924,84321777.05637224,84323411.52811047,84324756.02686296,84325858.75352216,84326768.17100519,84321714.50490333,84323345.91759124,84324691.75680174,84325798.1704629,84326712.39789024,84321655.16428071,84323283.31177346,84324630.07130718,84325739.67464262,84326658.2056215,84321598.76253021,84323223.49380085,84324570.8249427,84325683.19410348,84326605.59178202,84321545.05744784,84323166.26417005,84324513.8757267,84325628.64693162,84326554.53175604,84321493.83301203,84323111.44017316,84324459.08771732,84325575.94676445,84326504.98685129
7,2021-07-08,84319964.95424896,84321803.66117644,84323289.83587328,84324488.2552916,84325461.2712732,84319847.59347525,84321691.78407033,84323193.03512567,84324410.75515255,84325404.36205582,84319737.61864167,84321583.72927393,84323095.84167796,84324328.63161597,84325338.84171464,84319634.79282835,84321480.42103288,84323000.37922731,84324245.13616769,84325268.98755315,84319538.63814676,84321382.13130286,84322907.71852623,84324162.10116751,84325197.32892959,84319448.60510403,84321288.81145221,84322818.36223808,84324080.56276563,84325125.39366096,84319364.14702928,84321200.25861478,84322732.4992822,84324001.09496567,84325054.113397,84319284.75139543,84321116.20157026,84322650.14375128,84323923.9968771,84324984.05415022,84319209.9511171,84321036.34571461,84322571.21315424,84323849.40148476,84324915.55244455,84319139.32654236,84320960.39653341,84322495.57348137,84323777.3406706,84324848.7982795,84319072.50326139,84320888.071508,84322423.06553498,84323707.78498259,84324783.88701735,84319009.14821719,84320819.10570756,84322353.52040294,84323640.66839188,84324720.85254177,84318948.96532321,84320753.25392057,84322286.76851043,84323575.90390302,84324659.68882693,84318891.69115645,84320690.29090819,84322222.64481409,84323513.39347401,84324600.3641698,84318837.09097594,84320630.01066841,84322160.99165559,84323453.03433505,84324542.83068566
8,2021-07-09,84317284.23769335,84319311.67534375,84320988.504782,84322362.4245005,84323491.06851071,84317160.72050908,84319190.37462689,84320881.24375795,84322275.15274163,84323426.18904646,84317045.06371954,84319073.31948714,84320773.63325858,84322182.73591149,84323351.53055367,84316937.00143555,84318961.49932517,84320668.02275358,84322088.83975026,84323271.97864251,84316836.01657484,84318855.19562303,84320565.59089313,84321995.52583826,84323190.41976564,84316741.51919283,84318754.34325428,84320466.88562681,84321903.95625466,84323108.59484766,84316652.92451924,84318658.71138622,84320372.10736774,84321814.77150832,84323027.56316763,84316569.68555097,84318567.99665555,84320281.26349692,84321728.30232097,84322947.96622148,84316491.30459428,84318481.87180197,84320194.25526474,84321644.69257528,84322870.18354678,84316417.33506589,84318400.01093367,84320110.9277516,84321563.9727496,84322794.42764741,84316347.37894672,84318322.10224609,84320031.09898897,84321486.10478134,84322720.80332996,84316281.08249725,84318247.85391074,84319954.5770184,84321411.00995499,84322649.34559505,84316218.13149369,84318176.99623501,84319881.16982675,84321338.58645461,84322580.04426187,84316158.24657568,84318109.28180906,84319810.69101061,84321268.72049248,84322512.86019757,84316101.17896158,84318044.48460157,84319742.96285537,84321201.2933769,84322447.73612994
9,2021-07-10,84314519.28186049,84316711.45990157,84318566.01275294,84320109.47058634,84321391.9513506,84314391.32251331,84316582.34961234,84318449.46140924,84320013.15284178,84321319.48562708,84314271.56656748,84316457.8455037,84318332.61049023,84319911.21674733,84321236.13589244,84314159.72689438,84316338.98952168,84318218.00931992,84319807.71210225,84321147.36831291,84314055.25788923,84316226.06958432,84318106.93118685,84319704.91228943,84321056.40965332,84313957.54025173,84316119.00558458,84317999.9629399,84319604.09512773,84320965.20345227,84313865.96160872,84316017.54239103,84317897.31392598,84319505.96169317,84320874.92990568,84313779.95000853,84315921.34906529,84317798.98441018,84319410.87095656,84320786.30164176,84313698.98562801,84315830.0705101,84317704.86018899,84319318.97592776,84320699.73838013,84313622.60242775,84315743.35419574,84317614.76689716,84319230.30490941,84320615.47329943,84313550.38534345,84315660.86352858,84317528.50159545,84319144.81108601,84320533.6194941,84313481.9657117,84315582.28396526,84317445.85122272,84319062.40330923,84320454.2123842,84313417.01622798,84315507.32517874,84317366.6033005,84318982.965442,84320377.23725247,84313355.24604283,84315435.72110261,84317290.55200084,84318906.36859761,84320302.64737403,84313296.39625673,84315367.2288757,84317217.5014131,84318832.478892,84320230.37607904
