,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84334102.29328255,84334242.259772,84334335.70635484,84334401.73363657,84334450.43605909,84334089.2756664,84334232.75064108,84334328.85049444,84334396.92125049,84334447.23425932,84334076.89884193,84334223.45486628,84334321.90056498,84334391.78437799,84334443.52841045,84334065.1670558,84334214.46323718,84334315.0089664,84334386.52187702,84334439.55421276,84334054.05405354,84334205.81230015,84334308.25681111,84334381.24819952,84334435.45226859,84334043.52139112,84334197.51067859,84334301.68609558,84334376.03018215,84334431.30874392,84334033.52703463,84334189.55254182,84334295.31667732,84334370.90674561,84334427.17730996,84334024.02940321,84334181.92475703,84334289.15564395,84334365.8999606,84334423.09158567,84334014.98919658,84334174.61078231,84334283.20266876,84334361.02151005,84334419.07248671,84334006.37012304,84334167.59281284,84334277.45315604,84334356.2765844,84334415.13271493,84333998.13908027,84334160.85296308,84334271.90012644,84334351.66629091,84334411.27957915,84333990.26606959,84334154.37390453,84334266.53536206,84334347.18917504,84334407.51681007,84333982.7239882,84334148.1391922,84334261.35010694,84334342.84219721,84334403.84575121,84333975.48837504,84334142.13341133,84334256.3354947,84334338.6213675,84334400.2661533,84333968.53714809,84334136.34222107,84334251.4828068,84334334.52216157,84334396.77671145
1,2021-07-02,84332910.09061481,84333265.5246328,84333510.87681612,84333688.18661256,84333821.08682442,84332878.90253277,84333241.66774437,84333493.14148225,84333675.46548344,84333812.48714314,84332849.35201673,84333218.40695694,84333475.19776618,84333661.90585734,84333802.54352736,84332821.4329909,84333195.96406558,84333457.43921077,84333648.03513291,84333791.89161408,84332795.0680449,84333174.42395638,84333440.07316804,84333634.15568197,84333780.90999876,84332770.15268242,84333153.80167238,84333423.20514569,84333620.4430497,84333769.83010185,84332746.57581754,84333134.0765991,84333406.88327217,84333606.99855667,84333758.79552801,84332724.22920425,84333115.21051775,84333391.12279011,84333593.87883896,84333747.89574772,84332703.01153581,84333097.15735899,84333375.92001893,84333581.11308369,84333737.18599208,84332682.82993406,84333079.86852545,84333361.26052634,84333568.71340324,84333726.69940172,84332663.6001648,84333063.29577991,84333347.12400292,84333556.68123907,84333716.45465481,84332645.2462515,84333047.39276858,84333333.4872055,84333545.01139553,84333706.46086907,84332627.69983028,84333032.11576924,84333320.32574338,84333533.69462126,84333696.72081354,84332610.89942096,84333017.42399742,84333307.61515735,84333522.71928008,84333687.23304723,84332594.78970104,84333003.27966252,84333295.33156122,84333512.07244039,84333677.99336171
2,2021-07-03,84331323.43424019,84331932.75882672,84332366.3205087,84332686.22628981,84332929.6245649,84331272.89115372,84331892.42884834,84332335.47288926,84332663.64591965,84332914.12751727,84331225.13725848,84331853.19376607,84332304.31577043,84332639.60752656,84332896.2246749,84331180.14024751,84331815.41942388,84332273.53233084,84332615.04986645,84332877.06560619,84331137.7548294,84331779.23916674,84332243.47923948,84332590.50925672,84332857.3340367,84331097.7948597,84331744.66868931,84332214.33507876,84332566.29539564,84332837.44690815,84331060.06634909,84331711.66437148,84332186.17851369,84332542.5855722,84332817.66204737,84331024.38235308,84331680.15393367,84332159.03127642,84332519.47755575,84332798.13929068,84330990.56920855,84331650.05288814,84332132.88260928,84332497.02042906,84332778.97658947,84330958.46858272,84331621.27343217,84332107.70352244,84332475.2331216,84332760.23205037,84330927.93751453,84331593.72920823,84332083.45526278,84332454.11582908,84332741.93776336,84330898.84753619,84331567.33775972,84332060.09439957,84332433.65718979,84332724.10867862,84330871.08342326,84331542.02168785,84332037.57588781,84332413.83886328,84332706.74841464,84330844.54184802,84331517.7090754,84332015.85490066,84332394.63848338,84332689.8531186,84330819.13007025,84331494.33350158,84331994.88790283,84332376.03157474,84332673.41406505
3,2021-07-04,84329437.60740343,84330313.20088111,84330954.08528702,84331436.30980922,84331808.45795195,84329368.87948774,84330256.1396589,84330909.2447195,84331402.84279479,84331785.15304969,84329304.09771286,84330200.7340739,84330864.0223197,84331367.2552591,84331758.25224157,84329243.19183655,84330147.49010472,84330819.40918003,84331330.94189458,84331729.48986524,84329185.94123983,84330096.58361511,84330775.91838683,84331294.69690888,84331699.89607066,84329132.07341717,84330048.02464098,84330733.80299465,84331258.97664952,84331670.09766151,84329081.30856265,84330001.74057113,84330693.17072055,84331224.04036304,84331640.48097998,84329033.37932555,84329957.61966428,84330654.04691176,84331190.0291919,84331611.28441894,84328988.03879486,84329915.53426014,84330616.41026987,84331157.01218975,84331582.65306793,84328945.06284793,84329875.35321938,84330580.21362548,84331125.01394556,84331554.67205867,84328904.24984083,84329836.94849733,84330545.3962295,84331094.03157513,84331527.3874713,84328865.41911577,84329800.1984638,84330511.89109632,84331064.04537556,84331500.81974144,84328828.40906113,84329764.98940188,84330479.62939666,84331035.02560437,84331474.97242054,84328793.07508779,84329731.21598807,84330448.54306045,84331006.93683667,84331449.83798899,84328759.28769417,84329698.78121203,84330418.5662801,84330979.74078098,84331425.40176116
4,2021-07-05,84327310.23469721,84328450.77797405,84329307.94443329,84329964.89933564,84330478.76425047,84327225.39718117,84328377.66800028,84329249.00335161,84329920.08627002,84330447.12080283,84327145.58630979,84328306.79602769,84329189.63884078,84329872.4821585,84330410.62186132,84327070.68797365,84328238.79710104,84329131.15107208,84329823.95836043,84330371.62910396,84327000.40599348,84328173.88215403,84329074.20803027,84329775.57736233,84330331.54356849,84326934.38404411,84328112.05045716,84329019.13461404,84329727.94689791,84330291.21598674,84326872.26033442,84328053.19687767,84328966.06462534,84329681.40978476,84330251.1691512,84326813.69145423,84327997.16777194,84328915.0240891,84329636.15043037,84330211.7242592,84326758.36169793,84327943.79063468,84328865.97842512,84329592.25682333,84330173.07554157,84326705.98549882,84327892.88986696,84328818.85980426,84329549.75770456,84330135.33578502,84326656.30666159,84327844.2950108,84328773.58327536,84329508.6453947,84330098.56485379,84326609.09620742,84327797.84482531,84328730.05635493,84329468.89007895,84330062.78796256,84326564.14972882,84327753.38904937,84328688.18472752,84329430.44887294,84330028.00760174,84326521.28469156,84327710.78888187,84328647.87559362,84329393.27163114,84329994.2114382,84326480.33788641,84327669.91676474,84328609.03957705,84329357.30468552,84329961.37761265
5,2021-07-06,84324994.21863692,84326387.70521061,84327461.65056698,84328299.3538847,84328963.10455413,84324895.87963916,84326299.90389659,84327389.10849243,84328243.20781276,84328922.92120269,84324803.51585159,84326214.91114451,84327316.13069128,84328183.61938785,84328876.60324593,84324716.96825516,84326133.4754805,84327244.314285,84328122.9374026,84328827.15751389,84324635.87038092,84326055.83501211,84327174.4741551,84328062.49179026,84328776.36572202,84324559.78991783,84325981.97458158,84327107.00158118,84328003.04009597,84328725.30770744,84324488.29171002,84325911.7552686,84327042.05263823,84327945.00685938,84328674.6452079,84324420.96485087,84325844.98163567,84326979.65133543,84327888.61787577,84328624.78315341,84324357.43295807,84325781.43722595,84326919.74789758,84327833.97828548,84328575.96493407,84324297.35653505,84325720.90331018,84326862.25247896,84327781.11934644,84328528.3304912,84324240.43170153,84325663.16857208,84326807.05497295,84327730.02711567,84328481.95269085,84324186.38738935,84325608.03381266,84326754.03674103,84327680.6603637,84328436.86060616,84324134.98203187,84325555.31389907,84326703.07754415,84327632.96191722,84328393.05469392,84324086.00024159,84325504.83819766,84326654.05957985,84327586.8659048,84328350.51683506,84324039.24970141,84325456.4501927,84326606.86975293,84327542.30240317,84328309.21705468
6,2021-07-07,84322527.11384162,84324155.51586224,84325441.21874003,84326461.19269454,84327279.46232608,84322417.92458902,84324054.69061054,84325355.93177302,84326394.03647403,84327230.76802903,84322315.50287597,84323957.20934299,84325270.22109686,84326322.82147759,84327174.67432246,84322219.64771965,84323863.91735984,84325185.9610025,84326250.36143796,84327114.83340858,84322129.93118176,84323775.07286018,84325104.10181667,84326178.24559654,84327053.40711631,84322045.85580862,84323690.64421171,84325025.09449331,84326107.37575357,84326991.70336455,84321966.92419885,84323610.45932366,84324949.11349373,84326038.254253,84326930.52160148,84321892.66856888,84323534.28296913,84324876.17865312,84325971.14545348,84326870.34920001,84321822.66166598,84323461.85742699,84324806.22392629,84325906.16958052,84326811.47745374,84321756.51896434,84323392.92381188,84324739.13706377,84325843.35888313,84326754.07228364,84321693.89690617,84323327.23298766,84324674.78285578,84325782.69202311,84326698.21848397,84321634.48950756,84323264.55077553,84324613.01684044,84325724.11551742,84326643.94801988,84321578.02445903,84323204.66002238,84324553.69336182,84325667.55728488,84326591.2584531,84321524.25925948,84323147.36095369,84324496.67022687,84325612.93527669,84326540.1251154,84321472.9776234,84323092.47061464,84324441.81129315,84325560.16299121,84326490.50924271
7,2021-07-08,84319941.2577312,84321782.26092403,84323270.39921746,84324470.4812274,84325444.90298153,84319823.75143528,84321670.23844226,84323173.46663909,84324392.87108345,84325387.91010429,84319713.64059483,84321562.04368222,84323076.14123605,84324310.63129257,84325322.29364833,84319610.6879245,84321458.60203134,84322980.54957804,84324227.01797676,84325252.33725439,84319514.41488275,84321360.18573736,84322887.76383656,84324143.86608651,84325180.57401381,84319424.27124606,84321266.74604906,84322798.28731488,84324062.21321774,84325108.53398448,84319339.70962615,84321178.07978767,84322712.30914572,84323982.63415802,84325037.15017001,84319260.21682893,84321093.91533886,84322629.84340076,84323905.42840959,84324966.9893943,84319185.32516466,84321013.95768094,84322550.80744083,84323830.72911556,84324898.38865356,84319114.61444107,84320937.9118878,84322475.06704263,84323758.56817505,84324831.53820437,84319047.70976807,84320865.49504964,84322402.46276483,84323688.91606894,84324766.533528,84318984.27766293,84320796.44187142,84322332.82544227,84323621.70665221,84324703.4085383,84318924.02166167,84320730.50680654,84322265.98524953,84323556.85278614,84324642.15718272,84318866.6780064,84320667.46430975,84322201.77690177,84323494.25627226,84324582.74769552,84318812.0116585,84320607.10810003,84322140.04251166,84323433.81417978,84324525.13210715
8,2021-07-09,84317255.68251127,84319285.7964517,84320964.92039523,84322340.79093206,84323471.09199077,84317131.99553567,84319164.32708064,84320857.50635125,84322253.39109102,84323406.11472586,84317016.17992283,84319047.10948585,84320749.74265793,84322160.8389014,84323331.34388179,84316907.96938296,84318935.13440202,84320643.98211937,84322066.80550058,84323251.67247877,84316806.84609371,84318828.68366005,84320541.40503477,84321973.35548441,84323169.99133365,84316712.21927607,84318727.69200432,84320442.56009892,84321881.65261477,84323088.0439898,84316623.50333732,84318631.92824782,84320347.64797536,84321792.33831282,84323006.89130774,84316540.15050778,84318541.08857742,84320256.67602327,84321705.7437573,84322927.17573056,84316461.66239803,84318454.8452544,84320169.54532363,84321622.01301497,84322849.27734657,84316387.5918019,84318372.87191461,84320086.10071105,84321541.1765842,84322773.40895891,84316317.54014605,84318294.85630408,84320006.1599362,84321463.19632421,84322699.67551216,84316251.1531991,84318220.50617547,84319929.53074871,84321387.99338439,84322628.11204131,84316188.11630093,84318149.5514505,84319856.02084608,84321315.4657821,84322558.7083334,84316128.14970368,84318081.74436647,84319785.44354597,84321245.4995476,84322491.42518163,84316071.00428101,84318016.85857055,84319717.62086917,84321177.97580184,84322426.20521396
9,2021-07-10,84314485.48465957,84316680.69585499,84318537.87199146,84320083.57567735,84321367.97537969,84314357.33511904,84316551.39536737,84318421.1469751,84319987.1116942,84321295.39737843,84314237.40129623,84316426.7080715,84318304.12220958,84319885.02107787,84321211.91868336,84314125.39561005,84316307.6774163,84318189.35080245,84319781.35979141,84321123.01397274,84314020.77162324,84316194.5917113,84318078.10791175,84319678.40465967,84321031.91502285,84313922.90909746,84316087.37070183,84317970.98122968,84319577.4354205,84320940.56837788,84313831.19473542,84315985.75885509,84317868.18038504,84319479.15418899,84320850.15604734,84313745.0557242,84315889.42472367,84317769.7056159,84319383.92045505,84320761.39174439,84313663.9714593,84315798.01266937,84317675.4425245,84319291.88743626,84320674.69581844,84313587.47520159,84315711.16962846,84317585.2164649,84319203.08345576,84320590.30178916,84313515.15126435,84315628.55849934,84317498.82417771,84319117.4616068,84320508.32290716,84313446.63043186,84315549.86426535,84317416.05226906,84319034.93058495,84320428.7946298,84313381.58490962,84315474.79616362,84317336.68793103,84318955.3740613,84320351.70220107,84313319.72341312,84315403.08772907,84317260.52501811,84318878.6629399,84320276.99880944,84313260.78665583,84315334.49573725,84317187.3673185,84318804.66312167,84320204.61766902
