,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333905.95347667,84334084.10609943,84334203.61380698,84334288.32591513,84334350.95299271,84333889.43656287,84334071.97030218,84334194.83063257,84334282.14416012,84334346.83205552,84333873.74098437,84334060.11133417,84334185.92940976,84334275.54688933,84334342.06302178,84333858.87087758,84334048.64464992,84334177.1053478,84334268.78967085,84334336.9494262,84333844.79179777,84334037.61640805,84334168.46220079,84334262.01952012,84334331.67230046,84333831.45398903,84334027.03713948,84334160.05356139,84334255.32222244,84334326.34254946,84333818.80329174,84334016.89896744,84334151.90464891,84334248.7476732,84334321.02921927,84333806.78625506,84334007.18474476,84334144.02433091,84334242.32411195,84334315.77552862,84333795.3524358,84333997.87302232,84334136.41199219,84334236.06643423,84334310.60833766,84333784.45530324,84333988.9407846,84334129.06156752,84334229.9812005,84334305.54393223,84333774.05245237,84333980.36495322,84334121.96395695,84334224.06973359,84334300.59165795,84333764.1054812,84333972.12319575,84334115.10849203,84334218.33007409,84334295.75625801,84333754.57971598,84333964.19433749,84334108.48383148,84334212.75823507,84334291.03940682,84333745.44387928,84333956.55854435,84334102.07850745,84334207.34901705,84334286.44073299,84333736.66974935,84333949.1973749,84334095.88125458,84334202.09654176,84334281.95851064
1,2021-07-02,84332386.84795137,84332833.95969018,84333144.6125287,84333370.14049163,84333539.74744175,84332347.76644398,84332803.83399914,84333122.09766942,84333353.92903756,84333528.75669526,84332310.76111801,84332774.47585271,84333099.32694043,84333336.65385915,84333516.05084838,84332275.82046582,84332746.16385728,84333076.79976822,84333318.98749687,84333502.44292483,84332242.84401491,84332719.00353526,84333054.77876933,84333301.31524412,84333488.41702922,84332211.69786312,84332693.01226607,84333033.3971061,84333283.86052822,84333474.26892559,84332182.24033527,84332668.16255094,84333012.71507083,84333266.75207755,84333460.1820091,84332154.3337366,84332644.40483685,84332992.75124401,84333250.06163917,84333446.2704186,84332127.84942211,84332621.67983003,84332973.50024694,84333233.825982,84333432.60450266,84332102.66960129,84332599.92520171,84332954.94312413,84333218.06013693,84333419.22636963,84332078.6875554,84332579.07921627,84332937.05353098,84333202.76556665,84333406.1596495,84332055.80711003,84332559.08263575,84332919.8014659,84333187.9353095,84333393.415766,84332033.94179127,84332539.87964727,84332903.15553133,84333173.55726886,84333380.99804473,84332013.01388343,84332521.41823441,84332887.0842969,84333159.61634095,84333368.90444785,84331992.9534961,84332503.65023483,84332871.55710731,84333146.09580074,84333357.1294177
2,2021-07-03,84330381.84650475,84331140.5666741,84331684.58366387,84332088.23065802,84332396.62716606,84330319.16232744,84331090.1100783,84331645.74595004,84332059.667609,84332376.95353314,84330259.9787752,84331041.05137959,84331606.53616194,84332029.27052289,84332354.23124655,84330204.24876907,84330993.84530994,84331567.81398699,84331998.22776666,84332329.92111495,84330151.78594121,84330948.65538755,84331530.02714436,84331967.21762027,84332304.89164631,84330102.3542177,84330905.49807997,84331493.39882393,84331936.63119185,84332279.6721241,84330055.70868596,84330864.3159632,84331458.02637926,84331906.69187367,84332254.5895346,84330011.61393626,84330825.01611787,84331423.93557364,84331877.52239957,84332229.84631225,84329969.851667,84330787.49069846,84331391.11140688,84331849.18392879,84332205.56626388,84329930.2231112,84330751.6280253,84331359.51608096,84331821.69953044,84332181.82259956,84329892.54899079,84330717.31849971,84331329.0996594,84331795.06864664,84332158.6555161,84329856.66834797,84330684.45763725,84331299.80645892,84331769.27617586,84332136.08348131,84329822.4369307,84330652.94747981,84331271.57889163,84331744.29826371,84332114.11061455,84329789.72547112,84330622.69709514,84331244.3597574,84331720.10603419,84332092.73159,84329758.41802005,84330593.62256914,84331218.09358095,84331696.66800804,84332071.93493521
3,2021-07-04,84328013.38978344,84329094.49950473,84329892.42461553,84330496.58424787,84330965.07966442,84327928.83888893,84329023.6584513,84329836.36968786,84330454.52503715,84330935.67001247,84327849.19801262,84328954.91410768,84329779.86499597,84330409.81777304,84330901.7318807,84327774.37100236,84328888.89003815,84329724.14866607,84330364.21660468,84330865.45630234,84327704.07795028,84328825.79953593,84329669.85989846,84330318.71935035,84330828.1441078,84327637.9764935,84328765.65028083,84329617.31236,84330273.89839843,84330790.5862065,84327575.71654515,84328708.34785627,84329566.63799605,84330230.07807593,84330753.26955253,84327516.96441072,84328653.74982905,84329517.86594297,84330187.43418135,84330716.49414283,84327461.41242337,84328601.6945382,84329470.96726514,84330146.05194633,84330680.44212706,84327408.78166908,84328552.01648183,84329425.88094509,84330105.96081704,84330645.21997403,84327358.82146889,84328504.55441384,84329382.52924064,84330067.15583605,84330610.88490209,84327311.30743146,84328459.15540415,84329340.82684417,84330029.61103985,84330577.4618229,84327266.03897713,84328415.6766445,84329300.6863494,84329993.28797555,84330544.954408,84327222.83677682,84328373.98599753,84329262.02148028,84329958.1411685,84330513.3524281,84327181.5403144,84328333.96185684,84329224.74894667,84329924.12165056,84330482.63667972
4,2021-07-05,84325355.59966156,84326753.7587037,84327813.62781915,84328631.4111742,84329274.45640932,84325251.90559295,84326663.5885486,84327740.40904863,84328575.42540385,84329234.74387921,84325154.42004061,84326576.23116209,84327666.70158634,84328515.9766121,84329188.95141645,84325062.99182516,84326492.46365829,84327594.11926927,84328455.40460162,84329140.04637167,84324977.2487979,84326412.53958233,84327523.48877028,84328395.03625636,84329089.78821146,84324896.74699153,84326336.45181547,84327455.2099627,84328335.62916715,84329039.24442649,84324821.03728774,84326264.06516968,84327389.44531314,84328277.60946973,84328989.07021105,84324749.69432576,84326195.18537965,84327326.22364683,84328221.2052647,84328939.66739644,84324682.32766552,84326129.59562598,84327265.49884775,84328166.52425079,84328891.27832854,84324618.5845614,84326067.07590194,84327207.18386368,84328113.6002534,84328844.04312372,84324558.14885743,84326007.41308185,84327151.17072491,84328062.42178077,84328798.0355322,84324500.73821886,84325950.40586592,84327097.34242603,84328012.94987914,84328753.28590603,84324446.10079159,84325895.8668813,84327045.57997142,84327965.12945323,84328709.79618065,84324394.01181869,84325843.62321189,84326995.76649822,84327918.89650975,84328667.54979442,84324344.27045752,84325793.51607813,84326947.7896128,84327874.18281232,84328626.51833457
5,2021-07-06,84322475.32717167,84324173.01226911,84325492.74510133,84326529.36822192,84327355.34719786,84322355.76043953,84324065.33546036,84325403.13797171,84326459.60397656,84327305.17658041,84322243.52805948,84323961.16401434,84325313.03853749,84326385.59311156,84327247.36483242,84322138.42383775,84323861.40854146,84325224.41788386,84326310.25643344,84327185.67062737,84322039.9911356,84323766.35318382,84325138.27859838,84326235.24570775,84327122.31999435,84321947.69515423,84323675.97199993,84325055.09930459,84326161.49999924,84327058.6608581,84321860.99933037,84323590.08812638,84324975.0680993,84326089.54398438,84326995.5181642,84321779.39800549,84323508.45630026,84324898.2102728,84326019.6552402,84326933.39575368,84321702.42865722,84323430.80633107,84324824.46041997,84325951.96151163,84326872.5955992,84321629.67454554,84323356.86598991,84324753.70410742,84325886.4989419,84326813.29049987,84321560.76298466,84323286.37277968,84324685.80232091,84325823.2477561,84326755.569585,84321495.36178526,84323219.07960431,84324620.60591196,84325762.15452993,84326699.46742871,84321433.17511106,84323154.75707078,84324557.96411318,84325703.14627406,84326644.98301795,84321373.93934558,84323093.19394556,84324497.72947899,84325646.13941917,84326592.09229249,84321317.419238,84323034.19662416,84324439.760648,84325591.04556738,84326540.75653122
6,2021-07-07,84319416.28581959,84321390.19304524,84322961.81643906,84324217.41979857,84325230.57851295,84319284.03230529,84321267.1068807,84322856.9681386,84324134.36943364,84325170.06022662,84319160.04578152,84321148.16920875,84322751.65161607,84324046.33635569,84325100.36823747,84319044.06962387,84321034.40374699,84322648.16887063,84323956.80289964,84325026.0470987,84318935.5741951,84320926.11699864,84322547.68347193,84323867.7334449,84324949.785335,84318833.94762996,84320823.26225643,84322450.74429804,84323780.24047382,84324873.20801863,84318738.5798773,84320725.62231654,84322357.56036074,84323694.94175822,84324797.3071019,84318648.89822169,84320632.90392134,84322268.15098388,84323612.1605998,84324722.68611544,84318564.38022788,84320544.78729835,84322182.43044752,84323532.04217654,84324649.70468923,84318484.55616719,84320460.95208268,84322100.25678469,84323454.62312259,84324578.56663153,84318409.00669627,84320381.09051768,84322021.46032652,84323379.87410812,84324509.37502825,84318337.35859324,84320304.91370074,84321945.86050358,84323307.72636488,84324442.16746661,84318269.27991335,84320232.15401,84321873.27569573,84323238.08842602,84324376.93895733,84318204.47521025,84320162.56545195,84321803.52890234,84323170.85677534,84324313.65706801,84318142.68110843,84320095.92290984,84321736.45087326,84323105.9226402,84324252.27202637
7,2021-07-08,84316218.68651928,84318440.93340035,84320251.60868941,84321721.99617034,84322922.94380254,84316076.76424369,84318304.69218795,84320132.9366803,84321626.42361219,84322852.40803151,84315943.84245701,84318173.17490725,84320013.84127025,84321525.19158043,84322771.22580577,84315819.62152588,84318047.49829325,84319896.92342225,84321422.31272869,84322684.70507364,84315703.5123272,84317927.98428084,84319783.49047048,84321320.04545692,84322595.98283775,84315594.84112884,84317814.56508954,84319674.152476,84321219.66428576,84322506.9521499,84315492.93936245,84317706.98617215,84319569.13494708,84321121.87302239,84322418.7657567,84315397.18120643,84317604.91083857,84319468.44953601,84321027.03631356,84322332.12255794,84315306.99697235,84317507.97493216,84319371.99009907,84320935.31410024,84322247.43678027,84315221.87527917,84317415.81528638,84319279.58796126,84320846.74195078,84322164.94104594,84315141.36021234,84317328.08409157,84319191.04415853,84320761.28015982,84322084.7508123,84315065.04646814,84317244.45558363,84319106.1483482,84320678.84428556,84322006.90553313,84314992.57393347,84317164.6285349,84319024.68984087,84320599.32438277,84321931.39541726,84314923.62238224,84317088.32647373,84318946.46390586,84320522.59720716,84321858.17907205,84314857.90658529,84317015.29671474,84318871.27521268,84320448.53397493,84321787.19526413
8,2021-07-09,84312902.6912654,84315345.18059869,84317380.32369964,84319059.20871602,84320446.55929887,84312753.56741107,84315197.87091497,84317249.2653327,84318951.96986651,84320366.43700293,84312613.99919175,84315055.7862366,84317117.84072064,84318838.45458607,84320274.26797907,84312483.65297282,84314920.11917596,84316988.91776064,84318723.17040999,84320176.09286745,84312361.89370638,84314791.2022231,84316863.93087828,84318608.64912209,84320075.47844015,84312248.00029144,84314668.94766656,84316743.54303066,84318496.31504388,84319974.5738967,84312141.25956209,84314553.06764303,84316627.9926446,84318386.95074625,84319874.68509476,84312041.00535135,84314443.18732508,84316517.28280577,84318280.95797837,84319776.6012265,84311946.63215885,84314338.90388837,84316411.2875809,84318178.50909205,84319680.78773007,84311857.59709913,84314239.81706147,84316309.81307647,84318079.63743712,84319587.50378355,84311773.41664323,84314145.54443571,84316212.63297743,84317984.29254715,84319496.87572433,84311693.66129923,84314055.72849327,84316119.5093259,84317892.3744133,84319408.94391145,84311617.94974478,84313970.03912336,84316030.20459037,84317803.75503132,84319323.693162,84311545.94311869,84313888.17371053,84315944.4885196,84317718.29204325,84319241.07279572,84311477.33977577,84313809.85596202,84315862.14184415,84317635.83738522,84319161.00997727
9,2021-07-10,84309488.30973616,84312122.27432746,84314365.59212112,84316244.76092744,84317815.30307245,84309334.00146414,84311965.83221161,84314223.59103097,84316126.78332824,84317726.10869583,84309189.64940636,84311815.03948173,84314081.28715001,84316001.9724626,84317623.55023283,84309054.89506769,84311671.14974974,84313941.78344056,84315875.29203804,84317514.36350322,84308929.07005616,84311534.5025977,84313806.62525965,84315749.5250196,84317402.52246498,84308811.41896822,84311404.99241468,84313676.52080347,84315626.23264825,84317290.41844237,84308701.19639194,84311282.30260314,84313551.71847467,84315506.26884304,84317179.50151888,84308597.70702031,84311166.02582733,84313432.21248989,84315390.06833607,84317070.64549091,84308500.3195094,84311055.72649841,84313317.85829158,84315277.81379838,84316964.36336747,84308408.46825443,84310950.9730238,84313208.43872336,84315169.5355318,84316860.9385831,84308321.64982438,84310851.35386959,84313103.70246764,84315065.17226844,84316760.50695011,84308239.4173035,84310756.48484552,84313003.3864576,84314964.60888216,84316663.10893193,84308161.37409855,84310666.01162323,84312907.22884548,84314867.70005818,84316568.72356445,84308087.16793643,84310579.60970032,84312814.97632505,84314774.28524776,84316477.29077196,84308016.48536134,84310496.98304734,84312726.38804838,84314684.19812332,84316388.72620171
