,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84334184.17982605,84334307.97576027,84334390.45962903,84334448.66176303,84334491.55075677,84334172.65072647,84334299.57476892,84334384.4125456,84334444.42190662,84334488.7322199,84334161.68668844,84334291.36093599,84334378.28176947,84334439.89578828,84334485.4697812,84334151.29184254,84334283.41459186,84334372.20173159,84334435.25857131,84334481.97087698,84334141.44327106,84334275.76816542,84334366.24402237,84334430.6110923,84334478.35925968,84334132.10721505,84334268.42941424,84334360.44574514,84334426.01225655,84334474.71078002,84334123.24669152,84334261.3933149,84334354.82447913,84334421.49638352,84334471.07269397,84334114.82507935,84334254.6483785,84334349.38653792,84334417.08295046,84334467.47461109,84334106.80774346,84334248.18009008,84334344.13169071,84334412.7822829,84334463.9349607,84334099.16268523,84334241.97280568,84334339.05593586,84334408.59898491,84334460.46494222,84334091.86070748,84334236.0107982,84334334.15316364,84334404.53406094,84334457.07100743,84334084.87534241,84334230.27882244,84334329.41616668,84334400.58625598,84334453.75645742,84334078.18267114,84334224.76240487,84334324.83725813,84334396.7529161,84334450.52249077,84334071.76110119,84334219.44797464,84334320.40864947,84334393.03054763,84334447.36890273,84334065.59113614,84334214.32290304,84334316.12267873,84334389.41518393,84334444.2945581
1,2021-07-02,84333130.2434196,84333446.17609742,84333663.65693638,84333820.51973656,84333937.92720458,84333102.47598445,84333425.00523393,84333647.95394781,84333809.27473566,84333930.33470027,84333076.15919954,84333404.35892619,84333632.06388246,84333797.28710842,84333921.5549247,84333051.28882775,84333384.43443413,84333616.33523573,84333785.02292544,84333912.14887798,84333027.79699498,84333365.30758367,84333600.95177995,84333772.7494834,84333902.45074329,84333005.59155853,84333346.99220616,84333586.0071625,84333760.6220405,84333892.66483739,84332984.5743634,84333329.47044602,84333571.54423527,84333748.73027542,84333882.9179864,84332964.64965609,84333312.70877324,84333557.57672219,84333737.12437834,84333873.28924306,84332945.72775467,84333296.66663982,84333544.10157372,84333725.83027515,84333863.82743992,84332927.72639318,84333281.3012075,84333531.10619938,84333714.858792,84333854.56190862,84332910.57092907,84333266.56991643,84333518.57278375,84333704.21131341,84333845.5092106,84332894.19401248,84333252.43184252,84333506.48089404,84333693.88334705,84333836.67746295,84332878.53502257,84333238.84836653,84333494.80906332,84333683.86680563,84333828.06917307,84332863.53942724,84333225.78345034,84333483.53574805,84333674.15148433,84333819.68312633,84332849.15814364,84333213.2036906,84333472.63989797,84333664.72602461,84333811.51565985
2,2021-07-03,84331721.72379605,84332265.85355537,84332651.75703302,84332935.82017155,84333151.56237003,84331676.51011543,84332229.91105293,84332624.33961046,84332915.79106076,84333137.83741327,84331633.77872156,84332194.93576661,84332596.64178833,84332894.46557581,84333121.98011723,84331593.5028701,84332161.25464113,84332569.27090873,84332872.67613879,84333105.00817204,84331555.55449082,84332128.98751955,84332542.5443797,84332850.89850956,84333087.52696513,84331519.76867414,84332098.14935213,84332516.62142137,84332829.4075868,84333069.90576816,84331485.97321938,84332068.70213178,84332491.57245938,84332808.36088797,84333052.37302208,84331454.00199275,84332040.58220075,84332467.41729097,84332787.84541677,84333035.07042809,84331423.70054547,84332013.71491589,84332444.14679387,84332767.90498796,84333018.08489831,84331394.92798218,84331988.02258475,84332421.73559408,84332748.55665448,84333001.4680605,84331367.55702744,84331963.42871991,84332400.14959376,84332729.80083129,84332985.24849643,84331341.47326444,84331939.86023939,84332379.35049482,84332711.62765907,84332969.4395991,84331316.57403642,84331917.24850838,84332359.29852588,84332694.02106594,84332954.0447146,84331292.76725815,84331895.52972624,84332339.95407546,84332676.96138804,84332939.06056032,84331269.97025734,84331874.64494759,84332321.27865021,84332660.4270713,84332924.47952649
3,2021-07-04,84330042.96981019,84330827.82543722,84331400.24867019,84331829.80661093,84332160.62904808,84329981.2655688,84330776.79582778,84331360.26659623,84331800.03349097,84332139.93316025,84329923.08689867,84330727.23412448,84331319.93564497,84331768.36878584,84332116.0411096,84329868.3737641,84330679.59423248,84331280.13977212,84331736.05282626,84332090.49235348,84329816.93073715,84330634.0349735,84331241.33713955,84331703.79224494,84332064.20146307,84329768.51537934,84330590.5667919,84331203.75419623,84331671.99335705,84332037.72509477,84329722.87830757,84330549.1260658,84331167.48781306,84331640.8872403,84332011.40651552,84329679.78098875,84330509.61400715,84331132.56136769,84331610.59993577,84331985.45768231,84329639.00296624,84330471.91742733,84331098.95657375,84331581.19334391,84331960.00772548,84329600.34401937,84330435.91987975,84331066.63199852,84331552.68977986,84331935.13253531,84329563.623928,84330401.50755815,84331035.53402458,84331525.08708109,84331910.87331344,84329528.68116689,84330368.57228443,84331005.60340366,84331498.36808334,84331887.24847129,84329495.37119189,84330337.0128656,84330976.77918082,84331472.50665249,84331864.26140645,84329463.56464523,84330306.73553789,84330949.00102296,84331447.4715631,84331841.90566383,84329433.14563617,84330277.65390705,84330922.21056631,84331423.22900659,84331820.16840386
4,2021-07-05,84328144.14795873,84329169.85371077,84329937.86601223,84330524.79713714,84330982.85321075,84328067.7504433,84329104.27301855,84329885.15826897,84330484.82114866,84330954.68030272,84327995.85909954,84329040.68345934,84329832.06035934,84330442.34806684,84330922.18026581,84327928.37485193,84328979.65657377,84329779.73534274,84330399.04667857,84330887.45470844,84327865.0341781,84328921.38362528,84329728.78151785,84330355.86493488,84330851.7506509,84327805.51886179,84328865.86589327,84329679.49056901,84330313.3454759,84330815.82557106,84327749.50528413,84328813.010791,84329631.98330078,84330271.79477137,84330780.14519756,84327696.68597285,84328762.68198341,84329586.28406489,84330231.37802029,84330744.9958843,84327646.77807105,84328714.72599642,84329542.36291194,84330192.17439376,84330710.55098768,84327599.52559274,84328668.98638584,84329500.1600474,84330154.21016632,84330676.91135809,84327554.69878398,84328625.31115098,84329459.60025735,84330117.47906779,84330644.13071251,84327512.09222454,84328583.55641663,84329420.60149343,84330081.95502333,84330612.23189251,84327471.52247983,84328543.58803669,84329383.07998125,84330047.60024254,84330581.21747676,84327432.8256982,84328505.28204444,84329346.95322517,84330014.3704047,84330551.07681404,84327395.85533758,84328468.5244742,84329312.14172415,84329982.21799877,84330521.79074036
5,2021-07-06,84326073.30443242,84327329.84755895,84328294.67695999,84329045.02449426,84329638.13524047,84325984.54768088,84327250.8942032,84328229.64681718,84328994.81969215,84329602.27806573,84325901.16202934,84327174.44728863,84328164.21183008,84328941.52736725,84329560.94118911,84325823.00799759,84327101.18220074,84328099.80426688,84328887.24704933,84329516.80633947,84325749.75831024,84327031.31550443,84328037.1558549,84328833.16816294,84329471.46295476,84325681.02567059,84326964.83586384,84327976.61880744,84328779.96876952,84329425.87470299,84325616.41968173,84326901.6203868,84327918.33448845,84328728.02935259,84329380.6324607,84325555.57138592,84326841.49507578,84327862.32577203,84328677.55272904,84329336.09808885,84325498.14262079,84326784.26676756,84327808.5492513,84328628.63380237,84329292.48935512,84325443.82822111,84326729.7400222,84327756.9254539,84328581.30135076,84329249.93172063,84325392.35493122,84326677.72586577,84327707.356607,84328535.54365945,84329208.49076964,84325343.47892068,84326628.04605183,84327659.73716432,84328491.32453659,84329168.19297141,84325296.98283345,84326580.53484112,84327613.96003418,84328448.5934583,84329129.03921689,84325252.67281875,84326535.03941435,84327569.9202126,84328407.29205325,84329091.01377682,84325210.37574872,84326491.41954882,84327527.51683204,84328367.35826387,84329054.09029946
6,2021-07-07,84323864.34046149,84325335.94026476,84326493.67531674,84327409.3686868,84328142.160478,84323765.62519,84325245.09404229,84326417.06003647,84327349.19401498,84328098.62104629,84323673.00615701,84325157.24003488,84326340.04771331,84327285.37117727,84328048.45862946,84323586.3058206,84325073.14244941,84326264.3227352,84327220.42056067,84327994.93710218,84323505.14086233,84324993.03665605,84326190.74026623,84327155.76648995,84327939.98889348,84323429.06449588,84324916.8966899,84326119.70711839,84327092.21785899,84327884.78359301,84323357.62943025,84324844.5697257,84326051.38171257,84327030.2258546,84327830.03651087,84323290.41469008,84324775.84573159,84325985.78344153,84326970.02846988,84327776.18409386,84323227.03556795,84324710.49411172,84325922.8543845,84326911.7345122,84327723.48753187,84323167.14568333,84324648.28296177,84325862.49494244,84326855.3738807,84327672.0959169,84323110.43545265,84324588.98894018,84325804.5847279,84326800.92836444,84327622.0857712,84323056.62906882,84324532.40199608,84325748.99489489,84326748.35085265,84327573.48633242,84323005.48101419,84324478.3272635,84325695.59539515,84326697.57747732,84327526.29602166,84322956.77259555,84324426.58540545,84325644.2591785,84326648.53535354,84327480.49332699,84322910.30872008,84324377.0121321,84325594.86453308,84326601.14752933,84327436.04407826
7,2021-07-08,84321547.4729463,84323214.01106389,84324556.56911282,84325636.0452868,84326510.34431188,84321441.126678,84323112.92550464,84324469.34642594,84325566.38313667,84326459.29713227,84321341.45209569,84323015.27247724,84324381.75235876,84325492.5525654,84326400.51793122,84321248.23852634,84322921.88973993,84324295.7012406,84325417.47532757,84326337.84148993,84321161.05636255,84322833.02582315,84324212.15948287,84325342.79883413,84326273.53602257,84321079.41050887,84322748.6393869,84324131.58187117,84325269.45541188,84326208.97214076,84321002.80789246,84322668.54941481,84324054.14046924,84325197.96222116,84326144.98611246,84320930.7859347,84322592.51279727,84323979.84967203,84325128.58938007,84326082.0864289,84320862.9228729,84322520.26499031,84323908.63666448,84325061.45763704,84326020.57580261,84320798.83963655,84322451.54126349,84323840.38202193,84324996.59677193,84325960.62551433,84320738.19791989,84322386.08749753,84323774.94344652,84324933.98132567,84325902.32191715,84320680.69670428,84322323.6652737,84323712.16972736,84324873.55285136,84325845.69616063,84320626.06832388,84322264.0538315,84323651.90891606,84324815.23395087,84325790.74353068,84320574.07459216,84322207.05032454,84323594.01302567,84324758.93720002,84325737.43621467,84320524.50321716,84322152.46917804,84323538.34061901,84324704.57083815,84325685.73182127
8,2021-07-09,84319139.74665982,84320979.92203365,84322497.20143181,84323736.89678982,84324752.78897533,84319027.73307599,84320870.1869386,84322400.41355024,84323658.33085056,84324694.50218296,84318922.82752538,84320764.27138653,84322303.29179014,84323575.11923866,84324627.42110646,84318824.79277223,84320663.07317422,84322207.9570676,84323490.56107014,84324555.93274187,84318733.16321276,84320566.84980817,84322115.47468282,84323406.5127074,84324482.62957807,84318647.40657805,84320475.5450145,84322026.34107608,84323324.02139702,84324409.07585241,84318566.9947719,84320388.95228165,84321940.73905341,84323243.6651031,84324336.22388762,84318491.43351592,84320306.79914136,84321858.67708085,84323165.74295491,84324264.65089571,84318420.27289884,84320228.79119335,84321780.0676574,84323090.38582514,84324194.6988254,84318353.10907957,84320154.63500258,84321704.7723929,84323017.62239075,84324126.5595608,84318289.58203469,84320084.04964663,84321632.62829861,84322947.41950302,84324060.32818545,84318229.37171808,84320016.77208081,84321563.46320006,84322879.70729202,84323996.0370025,84318172.1937765,84319952.5591247,84321497.10472348,84322814.39497425,84323933.67764895,84318117.79535884,84319891.18762252,84321433.38542747,84322751.38088106,84323873.21567515,84318065.95125267,84319832.4536481,84321372.14559989,84322690.55883248,84323814.60026172
9,2021-07-10,84316654.77878468,84318646.71082227,84320327.16938098,84321721.97797938,84322878.15362984,84316538.67750056,84318529.79832311,84320221.86993766,84321635.15163821,84322812.96051532,84316429.99981016,84318417.03587998,84320116.2808077,84321543.24584432,84322737.96589547,84316328.48895772,84318309.36973079,84320012.70611735,84321449.91034022,84322658.08499818,84316233.6531115,84318207.06344217,84319912.29804713,84321357.1949779,84322576.22005223,84316144.9330028,84318110.04709977,84319815.58886401,84321266.25284444,84322494.11980245,84316061.7751448,84318018.0919672,84319722.76973696,84321177.71738748,84322412.84676778,84315983.66230813,84317930.90032087,84319633.84277128,84321091.91370842,84322333.04306139,84315910.12422274,84317848.152248,84319548.70644487,84321008.98117934,84322255.08736393,84315840.73914716,84317769.52988908,84319467.20466897,84320928.94663918,84322179.19052836,84315775.13137506,84317694.72958516,84319389.1553405,84320851.76907788,84322105.45532072,84315712.96712871,84317623.46745214,84319314.36703375,84320777.36738706,84322033.91455118,84315653.95001875,84317555.4813749,84319242.64869408,84320705.63780501,84321964.55583942,84315597.81662218,84317490.5310748,84319173.81514126,84320636.4649608,84321897.33792406,84315544.33241622,84317428.39717685,84319107.69004013,84320569.72887483,84321832.20151871
