,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84334115.18259813,84334252.57006769,84334344.27799971,84334409.06895421,84334456.85539101,84334102.4032657,84334243.23711905,84334337.55014376,84334404.34689286,84334453.71391448,84334090.25274155,84334234.11343913,84334330.72990374,84334399.30639838,84334450.07786709,84334078.73523226,84334225.28814739,84334323.96683502,84334394.14259267,84334446.17850357,84334067.82499819,84334216.79712711,84334317.34054013,84334388.96777953,84334442.15377535,84334057.48432863,84334208.64885584,84334310.89223741,84334383.84754312,84334438.08822487,84334047.67198421,84334200.8376237,84334304.6414199,84334378.82007645,84334434.03451307,84334038.34716634,84334193.35055257,84334298.59504902,84334373.90703908,84334430.0256269,84334029.47131176,84334186.17141697,84334292.7528098,84334369.11989781,84334426.08208966,84334021.00880787,84334179.28275064,84334287.11019745,84334364.46374874,84334422.21636562,84334012.92717072,84334172.66700684,84334281.66036753,84334359.93968111,84334418.43562758,84334005.19696115,84334166.30718462,84334276.39525962,84334355.5462703,84334414.74353763,84333997.7915813,84334160.1871492,84334271.3062848,84334351.2805361,84334411.14141549,84333990.6870253,84334154.29177627,84334266.38474542,84334347.1385656,84334407.62901802,84333983.86162163,84334148.60699478,84334261.6220885,84334343.11592127,84334404.2050662
1,2021-07-02,84332945.52570994,84333294.47350791,84333535.28393765,84333709.2797794,84333839.67899838,84332914.90216143,84333271.05591433,84333517.87889293,84333696.79744028,84333831.24167922,84332885.88573359,84333248.2229737,84333500.2690794,84333683.49219823,84333821.4857251,84332858.47058758,84333226.1924425,84333482.84071554,84333669.88153854,84333811.03475274,84332832.58082798,84333205.04769588,84333465.7973102,84333656.26215808,84333800.26020238,84332808.1139473,84333184.8035506,84333449.24242978,84333642.80631508,84333789.38912506,84332784.96095206,84333165.43981802,84333433.22333091,84333629.6134398,84333778.56241812,84332763.01562358,84333146.91902393,84333417.75499588,84333616.73911785,84333767.86786887,84332742.17854533,84333129.19598278,84333402.83383425,84333604.21200122,84333757.35967258,84332722.35856713,84333112.22302262,84333388.44570197,84333592.04398702,84333747.0703514,84332703.47301845,84333095.9528207,84333374.5706851,84333580.23650083,84333737.01823798,84332685.44733049,84333080.33989929,84333361.18598866,84333568.7844548,84333727.21228455,84332668.21440396,84333065.34136048,84333348.26768954,84333557.67878039,84333717.6552142,84332651.71389431,84333050.9171874,84333335.79179578,84333546.90806815,84333708.3456189,84332635.89149953,84333037.03029948,84333323.7348764,84333536.45963667,84333699.27937502
2,2021-07-03,84331387.96006933,84331986.46446311,84332412.18177024,84332726.22391231,84332965.11873445,84331338.30553578,84331946.85913818,84332381.89679496,84332704.05984166,84332949.90968296,84331291.38964733,84331908.32805602,84332351.30737235,84332680.46429114,84332932.3393686,84331247.18091659,84331871.23058823,84332321.08423382,84332656.35867965,84332913.53595033,84331205.53682888,84331835.69779728,84332291.57758662,84332632.2694405,84332894.17043048,84331166.2747007,84331801.745205,84332262.96281046,84332608.50058272,84332874.65200284,84331129.20410995,84331769.33007361,84332235.31719163,84332585.22615474,84332855.23371294,84331094.14152807,84331738.38150868,84332208.66211928,84332562.54215382,84332836.07244174,84331060.91645153,84331708.81661506,84332182.98708072,84332540.49678789,84332817.2643375,84331029.37341884,84331680.54923154,84332158.2636585,84332519.10866599,84332798.86644468,84330999.37205465,84331653.49460672,84332134.45384486,84332498.37800649,84332780.91027413,84330970.78620961,84331627.57181197,84332111.51503512,84332478.29368104,84332763.41051453,84330943.50273462,84331602.70487872,84332089.40303543,84332458.83770877,84332746.37073229,84330917.42015989,84331578.8232157,84332068.07386243,84332439.98815505,84332729.78716014,84330892.44741008,84331555.86162435,84332047.48479742,84332421.72101289,84332713.65124747
3,2021-07-04,84329536.6951089,84330396.99440776,84331026.44589797,84331499.93652588,84331865.26839943,84329469.15710612,84330340.9444872,84330982.4135821,84331467.0803265,84331842.39287971,84329405.4948648,84330286.51938483,84330938.00536199,84331432.14173903,84331815.98739801,84329345.63971592,84330234.2162728,84330894.19449212,84331396.48995297,84331787.75425847,84329289.3751728,84330184.20807558,84330851.48488484,84331360.90468921,84331758.70460278,84329236.43371066,84330136.50482032,84330810.12512448,84331325.83400299,84331729.45368814,84329186.54058489,84330091.03533432,84330770.22107925,84331291.53245813,84331700.3807574,84329139.4332513,84330047.68998869,84330731.79772703,84331258.13867362,84331671.71983834,84329094.86921918,84330006.34349884,84330694.8342329,84331225.7204946,84331643.613378,84329052.62836514,84329966.86714606,84330659.28434847,84331194.30210997,84331616.14497103,84329012.51263396,84329929.13523677,84330625.08848198,84331163.88073292,84331589.35987909,84328974.34457582,84329893.02836573,84330592.18090965,84331134.4370606,84331563.27818999,84328937.96544321,84329858.43489015,84330560.49409021,84331105.94192956,84331537.90341638,84328903.23320492,84329825.25140302,84330529.96122178,84331078.3605938,84331513.22820158,84328870.0206467,84329793.3826556,84330500.51771869,84331051.65548924,84331489.23815265
4,2021-07-05,84327447.45763361,84328568.4853577,84329410.63928679,84330055.8875754,84330560.47537494,84327364.06004776,84328496.6475242,84329352.74324496,84330011.88045914,84330529.40731347,84327285.60125226,84328427.00676577,84329294.42991996,84329965.13164636,84330493.57157314,84327211.96952845,84328360.1873034,84329236.97647424,84329917.4787721,84330455.28676842,84327142.87411858,84328296.39664648,84329181.03916012,84329869.96523009,84330415.92841993,84327077.96507479,84328235.63431062,84329126.9372496,84329823.1878814,84330376.33179523,84327016.88701698,84328177.79719947,84329074.80230753,84329777.48345307,84330337.01021108,84326959.30258407,84328122.73452215,84329024.66002418,84329733.03311597,84330298.27906747,84326904.90160815,84328070.27692805,84328976.47654721,84329689.92335452,84330260.32911167,84326853.40351546,84328020.25200343,84328930.18535171,84329648.18246605,84330223.27112854,84326804.55657814,84327972.49236582,84328885.70308179,84329607.80297635,84330187.16394117,84326758.1358011,84327926.83967233,84328842.93897118,84329568.75566724,84330152.0323503,84326713.94032612,84327883.14635438,84328801.80044386,84329530.99847949,84330117.87884207,84326671.79078269,84327841.27609187,84328762.19640386,84329494.48221728,84330084.69134511,84326631.52678578,84327801.10360193,84328724.03911005,84329459.15422013,84330052.44843155
5,2021-07-06,84325171.80719799,84326542.00454332,84327597.5441711,84328420.61184414,84329072.5930814,84325075.09925783,84326455.69786558,84327526.26251224,84328365.45698296,84329033.12806107,84324984.2645351,84326372.14949931,84327454.55092588,84328306.91939305,84328987.63743676,84324899.14717723,84326292.09551708,84327383.97884692,84328247.30631189,84328939.07412136,84324819.3872504,84326215.77028348,84327315.34714867,84328187.9242191,84328889.18792407,84324744.5599934,84326143.15918992,84327249.04049093,84328129.51736689,84328839.03938769,84324674.23777808,84326074.12593897,84327185.21241605,84328072.50290428,84328789.27846503,84324608.01676483,84326008.47864239,84327123.88668321,84328017.10275069,84328740.30290937,84324545.52701797,84325946.00471708,84327065.01453263,84327963.42029776,84328692.35182858,84324486.43483718,84325886.4893167,84327008.50781247,84327911.48635188,84328645.56273179,84324430.44151668,84325829.72485633,84326954.25844522,84327861.28730762,84328600.00724936,84324377.28059363,84325775.51564063,84326902.1499542,84327812.78274539,84328555.71399727,84324326.7145973,84325723.67978299,84326852.06427647,84327765.91657422,84328512.6834818,84324278.53178571,84325674.04963411,84326803.88573134,84327720.6241502,84328470.89796016,84324232.54309149,84325626.47140974,84326757.50325327,84327676.83684146,84328430.32804061
6,2021-07-07,84322747.70662282,84324349.31494035,84325613.3263901,84326615.74458927,84327419.70588952,84322640.30700476,84324250.18247823,84325529.50074932,84326549.75816706,84327371.87113208,84322539.56113622,84324154.33520274,84325445.25660448,84326479.78227524,84327316.76674467,84322445.27186584,84324062.60454682,84325362.43621297,84326408.58153005,84327257.98025538,84322357.01873077,84323975.2447201,84325281.97379932,84326337.71752484,84327197.63526581,84322274.31281228,84323892.22494361,84325204.31280296,84326268.07645352,84327137.01662216,84322196.66517192,84323813.37629986,84325129.6249073,84326200.15203947,84327076.90971935,84322123.61594416,84323738.467755,84325057.92980403,84326134.2041728,84327017.79340713,84322054.74508148,84323667.24612117,84324989.16275555,84326070.351117,84326959.95392513,84321989.67452407,84323599.45703293,84324923.21359041,84326008.62468217,84326903.55435398,84321928.06647743,84323534.8556822,84324859.94955017,84325949.00401339,84326848.67807601,84321869.62008008,84323473.2119435,84324799.22876444,84325891.43665896,84326795.35657124,84321814.06757303,84323414.3124114,84324740.90817319,84325835.85188192,84326743.58751708,84321761.17050086,84323357.9607507,84324684.84810582,84325782.16914076,84326693.3467466,84321710.71618113,84323303.97714983,84324630.91482662,84325730.30350934,84326644.59623936
7,2021-07-08,84320206.85134299,84322017.91008969,84323481.2546378,84324660.9356502,84325618.51914047,84320091.25837538,84321907.75033028,84323385.965327,84324584.66299985,84325562.52190992,84319982.9377124,84321801.35191554,84323290.2876054,84324503.83889423,84325498.05076693,84319881.65645167,84321699.62518838,84323196.3120872,84324421.66322668,84325429.31427664,84319786.94428785,84321602.8382316,84323105.09297147,84324339.93936968,84325358.80120172,84319698.26032287,84321510.94344035,84323017.12526582,84324259.68715851,84325288.0148903,84319615.06637853,84321423.74130921,84322932.59513098,84324181.47162676,84325217.87211844,84319536.85785645,84321340.96499234,84322851.51661673,84324105.58727337,84325148.92990434,84319463.17487493,84321262.32458639,84322773.80867845,84324032.16509967,84325081.5194626,84319393.60423884,84321187.53024745,84322699.33953789,84323961.23659648,84325015.82783179,84319327.77728762,84321116.30391878,84322627.95260371,84323892.77288142,84324951.94892631,84319265.36606985,84321048.38484086,84322559.48170531,84323826.70906362,84324889.91616158,84319206.07903102,84320983.53165366,84322493.76000504,84323762.95960712,84324829.72367688,84319149.65677467,84320921.52264886,84322430.62511334,84323701.42809469,84324771.34033929,84319095.86814363,84320862.15504782,84322369.92189942,84323642.01344736,84324714.71908733
8,2021-07-09,84317568.26312347,84319565.58231035,84321216.97653311,84322569.67580907,84323680.62499374,84317446.58916992,84319446.12318769,84321111.37131602,84322483.77105333,84323616.77433409,84317332.65595847,84319330.84280394,84321005.42000502,84322392.80035493,84323543.29879323,84317226.2020152,84319220.7158408,84320901.43588938,84322300.37193188,84323465.0062846,84317126.71835694,84319116.01982489,84320800.57960956,84322208.51511548,84323384.73741986,84317033.62415816,84319016.69091296,84320703.3908705,84322118.37389515,84323304.20553744,84316946.34363091,84318922.50203493,84320610.06720299,84322030.5788875,84323224.45318751,84316864.33814113,84318833.15465361,84320520.6160693,84321945.45578025,84323146.11178492,84316787.11758798,84318748.32666285,84320434.94041829,84321863.14634325,84323069.55494829,84316714.24218617,84318667.69727395,84320352.88787416,84321783.68070774,84322994.9919112,84316645.319964,84318590.95954585,84320274.2794093,84321707.02152507,84322922.5259132,84316580.00254795,84318517.82618858,84320198.926142,84321633.09141764,84322852.19148803,84316517.98047403,84318448.03169411,84320126.63912053,84321561.790257,84322783.97869685,84316458.9786082,84318381.33248387,84320057.23490228,84321493.00611925,84322717.84910019,84316402.7519281,84318317.5060209,84319990.53858729,84321426.62224315,84322653.74639934
9,2021-07-10,84314845.76591547,84317005.84383883,84318832.6760825,84320352.6330612,84321615.27837932,84314719.69047503,84316878.66639616,84318717.8989284,84320257.80368398,84321543.94699402,84314601.6952264,84316756.0236838,84318602.8245797,84320157.44114053,84321461.90091303,84314491.49773097,84316638.94236922,84318489.96365401,84320055.53253816,84321374.52048217,84314388.56081243,84316527.70639557,84318380.57026161,84319954.31618145,84321284.98187838,84314292.2746143,84316422.23716488,84318275.22255263,84319855.05027242,84321195.19824262,84314202.03604361,84316322.28363636,84318174.12691805,84319758.42521296,84321106.33137716,84314117.28178248,84316227.52005702,84318077.28383134,84319664.79459205,84321019.08286165,84314037.49983239,84316137.5968401,84317984.58101644,84319574.30921371,84320933.86596118,84313962.2311534,84316052.16689588,84317895.84692739,84319486.99708956,84320850.91031942,84313891.06690347,84315970.89880508,84317810.88185675,84319402.81225939,84320770.32737002,84313823.643937,84315893.4828459,84317729.4761091,84319321.66510062,84320692.15208013,84313759.6398414,84315819.63313141,84317651.42054519,84319243.44137424,84320616.37005551,84313698.7681086,84315749.08765647,84317576.51255983,84319168.01427583,84320542.93538615,84313640.77369915,84315681.60726081,84317504.55930105,84319095.2520695,84320471.78252071
