,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84334089.09043047,84334231.81728457,84334327.09020098,84334394.39959224,84334444.04316977,84334075.81462495,84334222.1215478,84334320.10081425,84334389.49399774,84334440.77961655,84334063.19209568,84334212.64322077,84334313.0154503,84334384.25759049,84334437.00227137,84334051.22720894,84334203.47488743,84334305.98947853,84334378.89307609,84334432.95137493,84334039.89322126,84334194.65382601,84334299.10559632,84334373.51712349,84334428.77023922,84334029.15095332,84334186.18884341,84334292.40662473,84334368.1978662,84334424.5466921,84334018.95756033,84334178.0740076,84334285.91281496,84334362.97498205,84334420.33544104,84334009.27065577,84334170.29593955,84334279.63139936,84334357.8709728,84334416.17075512,84334000.05017565,84334162.83778274,84334273.56205097,84334352.8977513,84334412.07395542,84333991.25912155,84334155.68139163,84334267.70009014,84334348.060612,84334408.05799079,84333982.86374556,84334148.80853707,84334262.03840645,84334343.36068676,84334404.13031307,84333974.83346304,84334142.20155692,84334256.56862633,84334338.79649581,84334400.29472685,84333967.14064133,84334135.8436889,84334251.28182708,84334334.36494333,84334396.55260332,84333959.76034053,84334129.71922046,84334246.168973,84334330.06196447,84334392.9036901,84333952.67004605,84334123.81353335,84334241.22117867,84334325.88294941,84334389.34665863
1,2021-07-02,84332873.06469725,84333235.71923119,84333486.00622468,84333666.85481535,84333802.39145425,84332841.23935093,84333211.38028362,84333467.91562562,84333653.88059072,84333793.6215973,84332811.08450541,84333187.6491151,84333449.61223681,84333640.05104901,84333783.48113701,84332782.59405078,84333164.75204152,84333431.49749029,84333625.90406992,84333772.61826956,84332755.68907404,84333142.77570769,84333413.78290941,84333611.74804293,84333761.41907547,84332730.26301035,84333121.73550221,84333396.57613727,84333597.76201446,84333750.11955495,84332706.20255916,84333101.61043146,84333379.92628887,84333584.0493326,84333738.86615883,84332683.39730793,84333082.36153701,84333363.84893335,84333570.66777276,84333727.75013453,84332661.74391711,84333063.94184671,84333348.34033579,84333557.6471152,84333716.82781334,84332641.14764118,84333046.30180518,84333333.38579206,84333544.99972503,84333706.13299923,84332621.52254976,84333029.39222087,84333318.96460108,84333532.72708315,84333695.68474728,84332602.79113452,84333013.16582064,84333305.05306749,84333520.82390031,84333685.49236247,84332584.8836517,84332997.57801348,84333291.62632357,84333509.28074987,84333675.55867504,84332567.73737898,84332982.58720332,84333278.65943025,84333498.08577192,84333665.88222133,84332551.29587512,84332968.15484656,84333266.12803176,84333487.22578457,84333656.45871496
2,2021-07-03,84331256.3191355,84331877.80949639,84332319.95872882,84332646.15693666,84332894.31474249,84331204.76569834,84331836.67951557,84332288.50352077,84332623.13452436,84332878.51588428,84331156.0566687,84331796.66567765,84332256.73237251,84332598.62532306,84332860.26424888,84331110.15919495,84331758.14113958,84332225.34193079,84332573.58644843,84332840.7317605,84331066.92516829,84331721.24195156,84332194.69591868,84332548.56472155,84332820.61544938,84331026.16479526,84331685.98417604,84332164.97647056,84332523.87591894,84332800.34037891,84330987.6802673,84331652.32337771,84332136.26383558,84332499.70082028,84332780.16940561,84330951.28095032,84331620.18588638,84332108.58020642,84332476.13913028,84332760.2654905,84330916.7897479,84331589.48557502,84332081.91464283,84332453.2409133,84332740.72850585,84330884.04519308,84331560.13293014,84332056.23760983,84332431.02548887,84332721.6177033,84330852.90149198,84331532.03990725,84332031.50961363,84332409.4930743,84332702.96581076,84330823.22762904,84331505.12243594,84332007.68638772,84332388.63210143,84332684.78808169,84330794.90609287,84331479.30160046,84331984.72201683,84332368.42388502,84332667.0882162,84330767.8315037,84331454.50407244,84331962.57080586,84332348.84563363,84332649.86229667,84330741.90927832,84331430.66212653,84331941.1883747,84332329.87240398,84332633.10143693
3,2021-07-04,84329334.02674738,84330227.14306155,84330880.75806676,84331372.49577746,84331751.94110972,84329263.92290756,84330168.94735922,84330835.03203887,84331338.37196817,84331728.18132181,84329197.84354585,84330112.4395814,84330788.91614416,84331302.08568318,84331700.75523573,84329135.71714151,84330058.1358448,84330743.42106587,84331265.0589607,84331671.43099082,84329077.31876773,84330006.21559268,84330699.070066,84331228.10160339,84331641.25882785,84329022.37055314,84329956.68913768,84330656.12124754,84331191.67893954,84331610.87778847,84328970.58716269,84329909.48249286,84330614.68450575,84331156.05533503,84331580.68177018,84328921.69595174,84329864.48175348,84330574.78573579,84331121.3747355,84331550.91383855,84328875.44511303,84329821.5567702,84330536.40326115,84331087.70758203,84331521.72193664,84328831.60607466,84329780.57383762,84330499.48901835,84331055.07897602,84331493.19287956,84328789.97318615,84329741.40239975,84330463.98109113,84331023.48600388,84331465.37366772,84328750.36219743,84329703.91843696,84330429.81119913,84330992.90860033,84331438.28515501,84328712.60828122,84329668.00599544,84330396.90917803,84330963.31646077,84331411.93098006,84328676.56396976,84329633.55767776,84330365.20563431,84330934.67348413,84331386.30349264,84328642.09718187,84329600.47456166,84330334.63347867,84330906.94064415,84331361.38773508
4,2021-07-05,84327164.75533794,84328328.28571868,84329202.61242774,84329872.6332129,84330396.65666525,84327078.2074608,84328253.71087942,84329142.49791749,84329826.93338843,84330364.39049962,84326996.78683859,84328181.41814022,84329081.95092519,84329778.3868388,84330327.17300509,84326920.37720498,84328112.0553663,84329022.29753467,84329728.90192221,84330287.41226654,84326848.6765314,84328045.8378185,84328964.21908718,84329679.56216294,84330246.53687148,84326781.32140864,84327982.76484564,84328908.04701643,84329630.98735534,84330205.41429956,84326717.94283192,84327922.72928971,84328853.91785397,84329583.52714403,84330164.57765238,84326658.19053198,84327865.5744977,84328801.8582035,84329537.36963068,84330124.35447618,84326601.74248977,84327811.12456602,84328751.8328504,84329492.60458845,84330084.94285469,84326548.30742249,84327759.20042583,84328703.77266239,84329449.26136714,84330046.45782472,84326497.62400275,84327709.62824407,84328657.59103788,84329407.33217178,84330008.96045774,84326449.4586618,84327662.24358264,84328613.19368729,84329366.78662989,84329972.47649178,84326403.60289246,84327616.89319754,84328570.48444752,84329327.58103703,84329937.008491,84326359.87049766,84327573.43552974,84328529.36869729,84329289.66428053,84329902.54390195,84326318.09499165,84327531.7404846,84328489.75530303,84329252.98165232,84329869.0604553
5,2021-07-06,84324803.662339,84326225.2128603,84327320.68032287,84328175.07979926,84328851.98851705,84324703.34661701,84326135.65333183,84327246.69267109,84328117.82060477,84328811.01244742,84324609.12565696,84326048.95793247,84327172.25997613,84328057.05031595,84328763.78042279,84324520.83735946,84325965.89027067,84327099.01121879,84327995.16425923,84328713.35851152,84324438.10798608,84325886.69331774,84327027.77758153,84327933.5187518,84328661.56355457,84324360.49661426,84325811.35169947,84326958.95821173,84327872.88639805,84328609.49670044,84324287.55940345,84325739.72378914,84326892.71236342,84327813.70020387,84328557.83276717,84324218.87723674,84325671.61029918,84326829.06458709,84327756.190492,84328506.98470701,84324154.06620519,84325606.79049125,84326767.96417129,84327700.46453597,84328457.200748,84324092.78001882,84325545.0412999,84326709.31952816,84327646.55425808,84328408.62362842,84324034.7087135,84325486.14721341,84326653.01839846,84327594.44547915,84328361.32768624,84323979.57579172,84325429.90507369,84326598.9398149,84327544.09618792,84328315.34259985,84323927.13484642,84325376.12606515,84326546.96117252,84327495.44810882,84328270.66886407,84323877.16617289,84325324.6361575,84326496.96234699,84327448.43409184,84328227.28802839,84323829.47359794,84325275.27571747,84326448.82801116,84327402.98285128,84328185.16954984
6,2021-07-07,84322288.00296643,84323949.27683792,84325260.831245,84326301.21725844,84327135.78263324,84322176.61437035,84323846.42682193,84325173.83854571,84326232.72400066,84327086.1232769,84322072.12905206,84323746.98726723,84325086.41300224,84326160.09061912,84327028.91749051,84321974.3420986,84323651.8205442,84325000.46642756,84326086.1868329,84326967.88976985,84321882.81705098,84323561.19013393,84324916.96822193,84326012.63354509,84326905.24476351,84321797.04651588,84323475.06385688,84324836.37843329,84325940.35055597,84326842.31632313,84321716.52313712,84323393.26624225,84324758.87508483,84325869.85026617,84326779.91977161,84321640.76975971,84323315.55740319,84324684.47847462,84325801.402354,84326718.5521804,84321569.35056536,84323241.67449614,84324613.12129481,84325735.12949227,84326658.51065835,84321501.87331498,84323171.35348071,84324544.68910131,84325671.06462115,84326599.96445647,84321437.98755613,84323104.34025365,84324479.04402329,84325609.18602161,84326543.00008889,84321377.3811619,84323040.39596315,84324416.0387464,84325549.43918453,84326487.65019052,84321319.77635404,84322979.29911962,84324355.52473272,84325491.75062765,84326433.91230765,84321264.92575978,84322920.84595679,84324297.35697173,84325436.03669819,84326381.76131262,84321212.60874744,84322864.84986228,84324241.39662047,84325382.20919806,84326331.15769945
7,2021-07-08,84319650.13495249,84321528.56042917,84323046.83053268,84324271.10395518,84325265.07738759,84319530.24019615,84321414.27007426,84322947.94391458,84324191.93628421,84325206.94585834,84319417.89041176,84321303.88413152,84322848.6558067,84324108.04544546,84325140.01803282,84319312.8436478,84321198.34683187,84322751.13568865,84324022.75287005,84325068.66303313,84319214.61176874,84321097.93604691,84322656.47742097,84323937.93035759,84324995.46453111,84319122.63347611,84321002.60214093,84322565.19453728,84323854.63637948,84324921.98316742,84319036.35034311,84320912.13791053,84322477.48006487,84323773.45732136,84324849.17062198,84318955.2388147,84320826.26631753,84322393.34843345,84323694.6987601,84324777.6050889,84318878.82175118,84320744.68643013,84322312.71540356,84323618.49657157,84324707.63034604,84318806.6704645,84320667.09740329,84322235.44410276,84323544.88335058,84324639.44049913,84318738.40248074,84320593.21064259,84322161.37192419,84323473.82903516,84324573.13298231,84318673.67756788,84320522.7555175,84322090.32633387,84323405.2661966,84324508.74242865,84318612.1932596,84320455.48153955,84322022.13411798,84323339.10598564,84324446.26270229,84318553.6804558,84320391.15862152,84321956.62668943,84323275.24826635,84324385.66143662,84318497.89935592,84320329.57632622,84321893.64300328,84323213.58807115,84324326.8897337
8,2021-07-09,84316910.57909098,84318982.12195551,84320695.39614315,84322099.14050858,84323252.24502103,84316784.36638635,84318858.1818841,84320585.80576463,84322009.97705236,84323185.96202241,84316666.18496782,84318738.57926756,84320475.85789831,84321915.5566488,84323109.6881854,84316555.76326716,84318624.32510248,84320367.95306158,84321819.62447748,84323028.41475064,84316452.57302296,84318515.70706533,84320263.29554516,84321724.28682151,84322945.09059839,84316356.01150262,84318412.65867619,84320162.44524711,84321630.73098134,84322861.49432507,84316265.48124434,84318314.94413479,84320065.60697986,84321539.611387,84322778.70814857,84316180.4233639,84318222.25352359,84319972.7883272,84321451.26596685,84322697.38747147,84316100.32935148,84318134.25250033,84319883.88843222,84321365.84175791,84322617.92007248,84316024.74291436,84318050.6081144,84319798.74904305,84321283.36993153,84322540.52308246,84315953.25737672,84317971.00180343,84319717.18426669,84321203.81162865,84322465.30360323,84315885.51130296,84317895.1354111,84319638.9979992,84321127.08645265,84322392.29741806,84315821.18363121,84317822.73339482,84319563.9940771,84321053.09040242,84322321.49414878,84315759.98892018,84317753.54297647,84319491.98206542,84320981.70724264,84322252.85383639,84315701.67297174,84317687.33321907,84319422.7804041,84320912.81572504,84322186.31798771
9,2021-07-10,84314084.90883836,84316324.98902407,84318220.0228797,84319797.13395679,84321107.53790164,84313954.1390475,84316193.05348045,84318100.92675535,84319698.71723977,84321033.49604023,84313831.75223123,84316065.82440221,84317981.52408117,84319594.55937468,84320948.33316693,84313717.4550734,84315944.36660624,84317864.41986951,84319488.7983959,84320857.63427603,84313610.6900863,84315828.974383,84317750.91525581,84319383.75724563,84320764.69630001,84313510.82444951,84315719.56593797,84317641.60995267,84319280.74162272,84320671.5050613,84313417.2324058,84315615.88061336,84317536.71792638,84319180.4679203,84320579.26645035,84313329.32949403,84315517.58027662,84317436.2394915,84319083.3029712,84320488.70862603,84313246.58451594,84315424.30209973,84317340.05798925,84318989.40315653,84320400.26046927,84313168.52122982,84315335.6858715,84317247.99528015,84318898.79742904,84320314.16026177,84313094.71548195,84315251.38765979,84317159.84402195,84318811.43798243,84320230.52358708,84313024.7905334,84315171.08606054,84317075.38652512,84318727.23170783,84320149.38666229,84312958.41190828,84315094.484412,84316994.40569197,84318646.05995965,84320070.73447397,84312895.28238311,84315021.3108407,84316916.69121726,84318567.79106174,84319994.51930216,84312835.13738334,84314951.31718355,84316842.042927,84318492.28822897,84319920.67304564
