,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,84333625.98536782,84333857.21873358,84334013.35853286,84334124.5281837,84334206.97453314,84333604.64095947,84333841.40873967,84334001.85538897,84334116.40204284,84334201.54272209,84333584.37280259,84333825.96757594,84333990.20210718,84334107.7320611,84334195.25783758,84333565.18398434,84333811.0448994,84333978.65428627,84334098.85441802,84334188.52028236,84333547.02795224,84333796.69996758,84333967.34751742,84334089.96236244,84334181.56879549,84333529.83864899,84333782.94563988,84333956.35160756,84334081.16853437,84334174.54956636,84333513.54459989,84333769.77086663,84333945.69918492,84334072.53833985,84334167.55354501,84333498.07548822,84333757.15260968,84333935.40147676,84334064.10869782,84334160.63760428,84333483.36508958,84333745.0623155,84333925.45732038,84334055.8989851,84334153.83703929,84333469.35240722,84333733.46947208,84333915.85844983,84334047.9176309,84334147.1732027,84333455.98191786,84333722.34355843,84333906.5926596,84334040.16619304,84334140.65830095,84333443.20338853,84333711.65508886,84333897.64572293,84334032.64193021,84334134.29847926,84333430.97150089,84333701.3761405,84333889.00256203,84334025.3394515,84334128.09584484,84333419.2454057,84333691.4805838,84333880.64796032,84334018.25178714,84334122.04981591,84333407.98826888,84333681.94414324,84333872.56699023,84334011.37108892,84334116.1580331
1,2021-07-02,84331652.13961253,84332222.90407312,84332623.05140997,84332915.38534121,84333136.24792783,84331602.51579003,84332184.24323264,84332593.94509803,84332894.31659643,84333121.90738654,84331555.57060595,84332146.59362379,84332564.52346607,84332871.8740729,84333105.3335132,84331511.2825629,84332110.31015825,84332535.4318315,84332848.93259753,84333087.58830021,84331469.51796067,84332075.52527793,84332507.00858605,84332825.99282627,84333069.30383463,84331430.10156202,84332042.25840813,84332479.42447856,84332803.34461783,84333050.86601985,84331392.84911922,84332010.47164989,84332452.75600778,84332781.15456368,84333032.51389626,84331357.58218537,84331980.09911703,84332427.02581601,84332759.51513658,84333014.39601354,84331324.13443086,84331951.06273156,84332402.22568737,84332738.47335547,84332996.60372937,84331292.35382523,84331923.28080145,84332378.32998484,84332718.04802759,84332979.19154054,84331262.10282001,84331896.67264241,84332355.30364841,84332698.24038215,84332962.18984364,84331233.25760183,84331871.16098805,84332333.10701126,84332679.04076073,84332945.6131312,84331205.7069582,84331846.67314881,84332311.69871101,84332660.43289222,84332929.46535836,84331179.35103017,84331823.14146139,84332291.03743985,84332642.39665492,84332913.74351291,84331154.1000865,84331800.50333919,84332271.0829772,84332624.90987328,84332898.44002116
2,2021-07-03,84329098.15722008,84330049.14097556,84330738.34381865,84331253.6979845,84331649.736304,84329020.05270286,84329985.49681789,84330688.92022102,84331217.10975738,84331624.40804617,84328946.38201752,84329923.66530763,84330639.05433844,84331178.19056481,84331595.16479468,84328877.07420667,84329864.21473442,84330589.8393538,84331138.4642287,84331563.8897692,84328811.88624816,84329807.345486,84330541.8426241,84331098.79934238,84331531.70201546,84328750.51488262,84329753.0727279,84330495.345225,84331059.69573428,84331499.28288512,84328692.64740582,84329701.31899057,84330450.46803515,84331021.43799649,84331467.0527516,84328637.98429835,84329651.9626747,84330407.24099351,84330984.18165945,84331435.27136649,84328586.2484737,84329604.86397159,84330365.64242077,84330948.00340205,84331404.09714064,84328537.18809834,84329559.87879194,84330325.62190758,84330912.93120682,84331373.62332295,84328490.57636444,84329516.86615495,84330287.11387295,84330878.96291833,84331343.90068862,84328446.20989424,84329475.69194438,84330250.04567713,84330846.07788831,84331314.9520936,84328403.90661581,84329436.23062694,84330214.34248513,84330814.24439149,84331286.78198913,84328363.50352731,84329398.36582783,84330179.93015675,84330783.42439696,84331259.38273822,84328324.85454918,84329361.99027441,84330146.73692296,84330753.57665573,84331232.73886184
3,2021-07-04,84326103.5372691,84327441.74980716,84328440.75333853,84329203.68098328,84329799.20346409,84325999.43148306,84327353.42691997,84328370.19945714,84329150.35584211,84329761.70317037,84325901.46405965,84327267.78831522,84328299.12689169,84329093.70263971,84329718.44498965,84325809.50015174,84327185.60350564,84328229.09252448,84329035.94776684,84329672.22686096,84325723.1807885,84327107.1297717,84328160.8970414,84328978.35577744,84329624.70890824,84325642.07244368,84327032.36850692,84328094.93059774,84328921.6504059,84329576.89945108,84325565.73421325,84326961.19469891,84328031.35457365,84328866.24026546,84329529.41835554,84325493.74718626,84326893.42444162,84327970.20123485,84328812.3454833,84329482.6466604,84325425.7259892,84326828.85077785,84327911.43017428,84328760.07141753,84329436.81496044,84325361.32186161,84326767.26278263,84327854.96105717,84328709.45286739,84329392.05732271,84325300.22178675,84326708.45554619,84327800.69293489,84328660.48123007,84329348.44507118,84325242.14590527,84326652.23513003,84327748.515737,84328613.12149954,84329306.00843464,84325186.84431563,84326598.4207239,84327698.31710862,84328567.32305884,84329264.75067715,84325134.09380001,84326546.84524897,84327649.98643076,84328523.02659751,84329224.65746187,84325083.6947264,84326497.3551148,84327603.41711518,84328480.16856642,84329185.70313103
4,2021-07-05,84322763.33566663,84324477.02984138,84325791.31897795,84326814.66615565,84327625.11812104,84322636.77237438,84324365.62092845,84325699.97036941,84326744.27733776,84327574.88067113,84322517.8929678,84324257.77470307,84325608.07482871,84326669.57513858,84327516.97539,84322406.4935696,84324154.44102816,84325517.64356087,84326593.50445053,84327455.16192654,84322302.10322315,84324055.9220876,84325429.7026128,84326517.73262076,84327391.66801682,84322204.16613357,84323962.19868198,84325344.74454768,84326443.20927791,84327327.84373309,84322112.1227554,84323873.09455763,84325262.96571974,84326370.46649963,84327264.51633196,84322025.44467676,84323788.36173874,84325184.39617263,84326299.78716828,84327202.19194567,84321943.64785668,84323707.7255744,84325108.97304223,84326231.3028916,84327141.17471421,84321866.29567543,84323630.90852913,84325036.5830172,84326165.05265321,84327081.63942929,84321792.99730964,84323557.64247434,84324967.08728737,84326101.01877727,84327023.67701973,84321723.40413068,84323487.6746585,84324900.33631441,84326039.14939146,84326967.32366627,84321657.20544952,84323420.77018043,84324836.17856023,84325979.3726488,84326912.57977968,84321594.12424545,84323356.71253893,84324774.46556982,84325921.60581215,84326859.4225557,84321533.91316871,84323295.30314867,84324715.0548296,84325865.76107891,84326807.81437765
5,2021-07-06,84319155.48181944,84321220.52169827,84322844.46776277,84324131.99764667,84325165.62635335,84319010.42625953,84321088.38709728,84322733.44482832,84324044.87629044,84325102.56875503,84318874.38067143,84320960.65381426,84322621.88776866,84323952.50288019,84325029.937832,84318747.0740196,84320838.42715618,84322512.23577675,84323858.5287148,84324952.4652797,84318627.93436216,84320722.04286739,84322405.7243925,84323765.01522188,84324872.95136316,84318516.29802868,84320611.45704214,84322302.93880685,84323673.13135083,84324793.08970301,84318411.50196785,84320506.4419942,84322204.10427979,84323583.52755356,84324713.91499174,84318312.92293274,84320406.68760741,84322109.24490863,84323496.54546541,84324636.05755529,84318219.99189164,84320311.85457653,84322018.2731677,84323412.33976702,84324559.89370464,84318132.19687125,84320221.60232635,84321931.04156809,84323330.95108907,84324485.63738017,84318049.08055952,84320135.60327674,84321847.37290846,84323252.35064815,84324413.39749435,84317970.23574807,84320053.54963401,84321767.07810448,84323176.46806988,84324343.21460022,84317895.30011347,84319975.15607095,84321689.9666606,84323103.20896073,84324275.08476345,84317823.9510508,84319900.16016367,84321615.85271436,84323032.466097,84324208.9753299,84317755.900877,84319828.32163742,84321544.55838826,84322964.1265706,84324144.83545844
6,2021-07-07,84315341.13585609,84317726.27543652,84319646.771316,84321195.60300446,84322455.0957099,84315181.48519754,84317576.12545986,84319517.67065264,84321092.53005125,84322379.48854089,84315031.92783378,84317431.1442077,84319388.08004321,84320983.33381939,84322292.45780502,84314892.13246103,84317292.56698593,84319260.83029723,84320872.3405521,84322199.69030498,84314761.44129495,84317160.75341518,84319137.34629355,84320761.98651513,84322104.5477786,84314639.10051417,84317035.633265,84319018.2947654,84320653.64779375,84322009.05970491,84314524.36134745,84316916.92992745,84318903.92405193,84320548.08532289,84321914.46262397,84314416.52247934,84316804.27570008,84318794.24960405,84320445.69432002,84321821.5068699,84314314.945228,84316697.27208929,84318689.15842018,84320346.64914657,84321730.6377234,84314219.05609213,84316595.52123848,84318588.46916144,84320250.98988049,84321642.10578893,84314128.34363724,84316498.64182957,84318491.96724734,84320158.67524534,84321556.03601418,84314042.35309897,84316406.27651687,84318399.42545849,84320069.61554359,84321472.47178596,84313960.68033761,84316318.09472606,84318310.61597057,84319983.69340868,84321391.40360412,84313882.96591283,84316233.79294166,84318225.31724492,84319900.77698204,84321312.78799391,84313808.88961522,84316153.09367609,84318143.31780048,84319820.72829747,84321236.56011741
7,2021-07-08,84311367.69968243,84314038.00827335,84316237.13170327,84318039.68035899,84319523.5526905,84311197.0129974,84313872.62697217,84316091.7999773,84317921.72281183,84319435.91320862,84311037.26259993,84313713.09204578,84315946.04401645,84317796.84893602,84319335.0892882,84310888.06678198,84313560.74477825,84315803.04484722,84317670.01598385,84319227.68655561,84310748.69878834,84313415.960938,84315664.39474714,84317544.00921418,84319117.60593201,84310618.33333254,84313278.6443567,84315530.83074631,84317420.39630434,84319007.19848715,84310496.15418774,84313148.47387719,84315402.61907575,84317300.0392533,84318897.89319797,84310381.39890741,84313025.03041747,84315279.76484585,84317183.38120611,84318790.55406804,84310273.3744749,84312907.86319655,84315162.12990926,84317070.61292319,84318685.69102105,84310171.45953678,84312796.52406682,84315049.50056678,84316961.77217074,84318583.5883542,84310075.1006754,84312690.58473767,84314941.6269898,84316856.80440938,84318484.38501316,84309983.80632144,84312589.64469767,84314838.2462808,84316755.60049425,84318388.1258366,84309897.14003874,84312493.33406708,84314739.09587725,84316658.02038266,84318294.79484345,84309814.71399094,84312401.31372033,84314643.92117102,84316563.90814902,84318204.33715925,84309736.18293796,84312313.27398863,84314552.4796301,84316473.10150762,84318116.67361401
8,2021-07-09,84307259.10536459,84310180.54737544,84312639.08203955,84314685.71161059,84316390.30310246,84307080.23634939,84310002.44963577,84312479.3347504,84314554.01248096,84316291.25226612,84306912.93687496,84309830.78163005,84312319.24012834,84314414.68021141,84316177.35763809,84306756.78598939,84309666.97060338,84312162.2891687,84314273.25548646,84316056.09872122,84306611.00426695,84309511.40325373,84312010.22090483,84314132.84510855,84315931.88844647,84306474.71221876,84309363.95945273,84311863.83267365,84313995.19228646,84315807.38249402,84306347.04265302,84309224.2788689,84311723.40454721,84313861.25072284,84315684.19142708,84306227.18705867,84309091.89786252,84311588.9305956,84313731.50618878,84315563.28589547,84306114.41155896,84308966.32062176,84311460.24870934,84313606.16305314,84315445.23590532,84306008.0588752,84308847.05587776,84311337.11504406,84313485.25555468,84315330.35650893,84305907.54411563,84308733.6351918,84311219.24726658,84313368.71566871,84315218.79880205,84305812.34815326,84308625.62124963,84311106.34977408,84313256.4152056,84315110.60796943,84305722.01039729,84308522.6107288,84310998.12828988,84313148.19223638,84315005.76095398,84305636.12179554,84308424.23425834,84310894.29810737,84313043.8677909,84314904.1912398,84305554.31842406,84308330.15487878,84310794.58850186,84312943.25641678,84314805.80532815
9,2021-07-10,84303022.82339661,84306164.27553608,84308863.68910189,84311144.40762271,84313065.2658007,84302837.82236233,84305975.54980934,84308691.15181391,84311000.05278632,84312955.43052097,84302664.85993174,84305793.74860997,84308518.34678462,84310847.4154338,84312829.19133548,84302503.48658976,84305620.36987056,84308349.03929754,84310692.57415317,84312694.85546418,84302352.88420469,84305455.80828667,84308185.0973599,84310538.93138103,84312557.3201821,84302212.13332807,84305299.92269856,84308027.37046884,84310388.39100191,84312419.52872309,84302080.32913187,84305152.31918414,84307876.14969154,84310241.99002221,84312283.26253635,84301956.62905,84305012.49616207,84307731.41814718,84310100.25231051,84312149.59216005,84301840.26897328,84304879.91961269,84307592.99145885,84309963.39367901,84312019.14343749,84301730.56502402,84304754.06176373,84307460.5981729,84309831.44413087,84311892.2595665,84301626.9089935,84304634.42024688,84307333.92638414,84309704.32234658,84311769.10226516,84301528.76132856,84304520.52668662,84307212.65085395,84309581.88183045,84311649.71626051,84301435.64352597,84304411.94956617,84307096.44864732,84309463.9398311,84311534.07110277,84301347.13079332,84304308.29403985,84306985.00791602,84309350.29557925,84311422.08864643,84301262.8453389,84304209.2001813,84306878.03255486,84309240.74179062,84311313.66129605
