,SpikeGroups,Simulation status
0,AY.100,Done
1,AY.106,Done
2,AY.33,Done
3,AY.33.2,Done
4,AY.4.2,Done
5,AY.41,Done
6,AY.51,Done
7,AY.68,Done
8,AY.98.1,Done
9,AZ.2,Done
10,B.1.1.529,Done
11,B.1.1.7,Done
12,B,Done
13,BA.1.1.15,Done
14,BA.1.1,Done
15,BA.1.14,Done
16,BA.1,Done
17,BA.2.10,Done
18,BA.2.12.1,Done
19,BA.2.13,Done
20,BA.2.18,Done
21,BA.2.19,Done
22,BA.2.3.20,Done
23,BA.2.48,Done
24,BA.2.52,Done
25,BA.2,Done
26,BA.4.1,Done
27,BA.4.1.8,Done
28,BA.4,Done
29,BA.5.1.28,Done
30,BA.5.2.14,Done
31,BA.5.2.18,Done
32,BA.5.2.25,Done
33,BA.5.2.32,Done
34,BA.5.2.36,Done
35,BA.5.9,Done
36,BA.5,Done
37,BE.10,Done
38,BF.1,Done
39,BF.7.1,Done
40,BN.1.2,Done
41,BN.1.2.6,Done
42,BN.1.4.1,Done
43,BN.1.4.3,Done
44,BN.1,Done
45,BN.3.1,Done
46,BQ.1.1.1,Done
47,BQ.1.1.13,Done
48,BQ.1.1.2,Done
49,BQ.1.1.31,Done
50,BQ.1.1.37,Done
51,BQ.1.1.45,Done
52,BQ.1.1.46,Done
53,BQ.1.1.47,Done
54,BQ.1.1,Done
55,BQ.1.13.1,Done
56,BQ.1.2.1,Done
57,BQ.1.23,Done
58,BQ.1.25,Done
59,BR.1,Done
60,BR.2.1,Done
61,BU.3,Done
62,C.36.3,Done
63,CH.1.1.1,Done
64,CH.1.1.15,Done
65,CH.1.1.24,Done
66,CH.1.1,Done
67,CJ.1.2,Done
68,CJ.1,Done
69,CK.1,Done
70,CK.2.1.1,Done
71,CK.2.1,Done
72,CL.1,Done
73,CL.1.1,Done
74,CQ.1,Done
75,CQ.2,Done
76,DM.1,Done
77,DQ.1,Done
78,EG.1.2,Done
79,EG.1.3,Done
80,EG.1.4,Done
81,EG.1,Done
82,EG.3,Done
83,EG.4,Done
84,EG.5.1,Done
85,EL.1,Done
86,EU.1,Done
87,EU.1.1,Done
88,EU.1.1.1,Done
89,EW.1,Done
90,FD.2,Done
91,FD.4,Done
92,FE.1.2,Done
93,FE.1,Done
94,FH.1,Done
95,FL.1,Done
96,FL.12,Done
97,FL.9,Done
98,FU.1,Done
99,FY.1,Done
100,FY.4,Done
101,GA.2,Done
102,GB.1,Done
103,P.1,Done
104,XAS,Done
105,XAY.1.1.1,Done
106,XAY.1.1.2,Done
107,XBB,Done
108,XBB.1,Done
109,XBB.1.13,Done
110,XBB.1.16,Done
111,XBB.1.16.1,Done
112,XBB.1.17.1,Done
113,XBB.1.22.2,Done
114,XBB.1.5.1,Done
115,XBB.1.5.12,Done
116,XBB.1.5.14,Done
117,XBB.1.5.21,Done
118,XBB.1.5.49,Done
119,XBB.1.5.5,Done
120,XBB.1.5.56,Done
121,XBB.1.5.60,Done
122,XBB.1.5.67,Done
123,XBB.1.9,Done
124,XBB.1.9.2,Done
125,XBB.2.3,Done
126,XBB.2.3.1,Done
127,XBB.2.3.2,Done
128,XBB.2.3.3,Done
129,XBB.2.5,Done
130,XBB.2.9,Done
131,XBF,Done
132,XBK,Done
133,XBL,Done
134,XBT,Done
135,Wuhan-Hu-1,Done
