,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2021-07-01,664.1225438506041,528.225912027951,437.5369893941378,373.47741392324855,326.23646232689384,676.7653914140122,537.4562263726635,444.18944225995625,378.14585157845056,329.34192104398716,688.7864927850951,546.4797644488272,450.93334817865104,383.12916167339324,332.93630792660343,700.1816337943916,555.2083693667399,457.6208265020437,388.23444337502553,336.79102697098625,710.9762317471486,563.6065320235734,464.17316000961677,393.3506680135472,340.7697112481695,721.2075536179414,571.6658480787252,470.54958340279114,398.41299324037925,344.78878771504054,730.9163637681855,579.3919462368203,476.73081274873147,403.3836554831582,348.7961978550648,740.142996105966,586.7975466753129,482.7099556278719,408.24123640943947,352.75933069284093,748.9255778363121,593.8986822154585,488.48731517753345,412.9743946546932,356.6578956911235,757.299321024663,600.7126147066857,494.0673381099854,417.57808747230564,360.4795688585803,765.2963458096257,607.2566872849582,499.4567855016731,422.05123372708647,364.217256964919,772.9457627765682,613.5477048094743,504.6636214603252,426.3952380150871,367.86733743599086,780.2738737968989,619.6016167269813,509.69633339963957,430.6130431814422,371.4285033432047,787.3044183606953,625.433374271674,514.5635168727977,434.70851454497455,374.9009928883286,794.0588279811196,631.0568878612187,519.2736249584149,438.6860364212765,378.2860684390321
1,2021-07-02,1822.0058767893,1476.4318430079425,1238.0344793324007,1065.8256957604024,936.7898519143292,1852.3402967667307,1499.6185931920843,1255.2628722294357,1078.1786862286247,945.1383812761351,1881.083774712775,1522.227077003931,1272.6943235656572,1091.3462586129144,954.7917763560838,1908.241931351545,1544.0416222026174,1289.946527188346,1104.8163086615223,965.1330110372207,1933.889800525539,1564.9796048749004,1306.8180133805142,1118.2952121820138,975.7945642878315,1958.1287984368275,1585.0262859644238,1323.2062336875156,1131.612483768901,986.5517743296622,1981.0667863297735,1604.201593168903,1339.0643766998842,1144.6697067145349,997.2652205963121,2002.808894525247,1622.5425768269654,1354.3775794739322,1157.4118530228202,1007.8480306146345,2023.4535302925674,1640.0939298986398,1369.149365941623,1169.8105493682244,1018.2465691496848,2043.0909247348607,1656.902813912662,1383.3937096667405,1181.8540046138885,1028.4286456681425,2061.802919463719,1673.0160504923851,1397.1302986136877,1193.5407919399122,1038.3761100897043,2079.663339055273,1688.4786394885696,1410.3816754389406,1204.8759319461278,1048.0800945092194,2096.7386157482124,1703.3330306044402,1423.171502054185,1215.868386047373,1057.5378953739125,2113.0884964196744,1717.618824655677,1435.5235107989338,1226.5294337702412,1066.75089744352,2128.7667469156445,1731.372718128865,1447.4608808158941,1236.8716146477886,1075.7231733091858
2,2021-07-03,3366.111973582726,2772.712546574291,2350.8017548533153,2039.662699258328,1803.0310211859141,3415.3565941562397,2811.9719956139425,2380.8116794874277,2061.6196608819555,1818.0948781593531,3461.886908405526,2850.1677682575073,2411.1240348807223,2084.995166692935,1835.497693681974,3505.7338492024,2886.943504690134,2441.0741615555253,2108.876445504394,1854.1221398768762,3547.038495681787,2922.169146489455,2470.3149755417994,2132.741977042951,1873.3036420523313,3585.9818047369426,2955.829173119735,2498.6726193566915,2156.2905651035953,1892.6369114095494,3622.752445604006,2987.9658284105685,2526.0704364983194,2179.349750152793,1911.8713038989886,3657.532282977906,3018.649282356519,2552.4871638811605,2201.824391548084,1930.8514154491077,3690.490290851769,3047.961615657055,2577.9331566545343,2223.6666919376494,1949.4819921929013,3721.7805472085215,3075.9881598549723,2602.4365188479173,2244.858178619547,1967.7065102103406,3751.5421862103685,3102.8128605518855,2626.034864251415,2265.398600690358,1985.4937360741972,3779.9002479600663,3128.5158838853936,2648.770367984602,2285.2989512915647,2002.8290993007265,3806.966891345855,3153.172487661251,2670.686785311144,2304.5770152464293,2019.7090471046279,3832.8427019809765,3176.8526064227576,2691.827667817583,2323.2544972487017,2036.1372920681308,3857.6179646915807,3199.6208351206074,2712.235318056135,2341.35515777168,2052.1222861827114
3,2021-07-04,5201.904114714645,4348.414283491604,3724.2088598261853,3254.8162426460617,2892.737314403479,5268.924172378036,4404.008233580761,3767.867188163522,3287.3842223258735,2915.4071308355406,5332.100336223633,4457.9922122876715,3811.8993317486006,3322.0170063418122,2941.5755494931636,5391.500368518707,4509.872908072296,3855.3402677316208,3357.3574714184365,2969.5556707841697,5447.338764792982,4559.478602603797,3897.6902742759876,3392.632723965517,2998.3454789583066,5499.880721339896,4606.79916050795,3938.7027704015904,3427.398593185761,3027.3352454335854,5549.398648219961,4651.905006223004,3978.2726779064765,3461.4026880413176,3056.1491131481525,5596.152890382796,4694.904730064863,4016.3751285180715,3494.5075411547114,3084.555124028701,5640.383927543319,4735.92247206234,4053.0306874784083,3526.6458395471377,3112.412073064396,5682.310071547358,4775.085797482157,4088.285128074194,3557.793547411026,3139.637077876757,5722.127757920423,4812.519287516297,4122.197463887044,3587.9533731048687,3166.1852456198585,5760.012993087175,4848.341300116568,4154.832797687038,3617.1444014736867,3192.0366332497483,5796.123239306381,4882.662505800951,4186.258042594107,3645.3954966537026,3217.1877266184283,5830.599382723198,4915.58541616684,4216.539385974442,3672.741061310423,3241.645786057362,5863.567615884137,4947.204459225763,4245.740824071773,3699.218295808459,3265.4250477180854
4,2021-07-05,7275.046293786369,6162.250626850503,5326.639006188912,4686.619582099395,4186.255077553314,7357.851153212703,6233.544752128252,5384.075566341228,4730.2645317881315,4217.060119604786,7435.754807604765,6302.660472651676,5441.927563168648,4776.629561009683,4252.593025317932,7508.867729709976,6368.978052112028,5498.927918246872,4823.892231523816,4290.554946431963,7577.47821998642,6432.291293328893,5554.4254635929865,4871.017715697396,4329.582053234032,7641.933414045937,6492.6004344041385,5608.10331367267,4917.413997812784,4368.846141759985,7702.585900295627,6550.007576232787,5659.830800008079,4962.747036046271,4407.838204064421,7759.77042603951,6604.662182860185,5709.582298160129,5006.837059607777,4446.2454591365395,7813.794779451741,6656.732165318556,5757.391267562294,5049.598207260147,4483.878717764643,7864.937397969064,6706.388499197199,5803.323595420321,5091.002331902447,4520.628075603997,7913.4481046582205,6753.797187933068,5847.46188030584,5131.056770937373,4556.435152347652,7959.550201153937,6799.11528166975,5889.896085055558,5169.790434530687,4591.275305550963,8003.443041052363,6842.489152789463,5930.71797910934,5207.244975629153,4625.14602253856,8045.304656803574,6884.054022864156,5970.017873513699,5243.4691319391095,4658.059229274331,8085.294241624364,6923.934170301452,6007.882759596944,5278.515083665633,4690.03613314392
5,2021-07-06,9533.59044234159,8172.919915756726,7125.152064552139,6308.419866111064,5661.634613832405,9629.644536656793,8258.6063491788,7195.896068839931,6363.142535487683,5700.780860925393,9719.867658132152,8341.556565232751,7267.068490613013,6421.222597016652,5745.904741293119,9804.414133269749,8421.039504799688,7337.1116647922745,6480.370979776192,5794.077367133342,9883.641056374541,8496.822193062191,7405.230606624332,6539.291412152348,5843.563119294145,9957.969980735876,8568.918858844338,7471.043379045543,6597.245388023576,5893.310009093224,10027.825369694725,8637.464577699335,7534.397419915998,6653.818918088923,5942.673284292321,10093.608111117946,8702.64965072855,7595.268983977511,6708.791707447202,5991.258337144034,10155.685460729337,8764.684957072079,7653.706315071179,6762.061063675099,6038.827917173803,10214.388718165656,8823.783650876525,7709.796769819619,6813.596318686963,6085.245551547519,10270.014452615647,8880.151700997674,7763.647497208194,6863.410877737274,6130.440117189892,10322.827230310942,8933.98329232142,7815.373997391075,6911.544759939271,6174.383162720598,10373.062839082257,8985.458917179003,7865.093358431224,6958.053542502443,6217.074124960843,10420.931526187167,9034.744946933073,7912.920315897927,7003.0012972734785,6258.530548032866,10466.621029122982,9081.993999353477,7958.965035200975,7046.45606069212,6298.781536433981
6,2021-07-07,11938.857374837056,10348.114059962965,9093.14473745601,8098.214658018122,7300.472435132943,12045.538230117156,10446.54852539585,9176.353531959061,8163.697401193418,7347.930924532639,12145.612130301844,10541.723187551865,9259.979595842766,8233.140472798928,7402.602675192605,12239.274475226774,10632.812184154118,9342.194149126302,8303.800452576166,7460.928577864864,12326.942544571819,10719.562796435843,9422.069674088843,8374.127629547227,7520.801797773888,12409.101680917409,10802.005309488408,9499.16579968088,8443.242474322793,7580.947578316444,12486.237304048964,10880.307208118558,9573.311913214346,8510.654907110153,7640.586642693098,12558.806003387404,10954.697691487669,9644.488289843346,8576.106891145466,7699.243827637388,12627.224855624594,11025.427989429574,9712.75903177795,8639.480939926947,7756.635057475051,12691.869261985208,11092.750529463585,9778.233360466087,8700.745369729997,7812.59844679039,12753.074652680547,11156.90827333925,9841.042936767602,8759.920771023648,7867.051185479356,12811.139791960173,11218.129623867153,9901.328483077205,8817.059101205507,7919.96196332679,12866.330579006406,11276.626398559827,9959.231917501576,8872.230474317077,7971.333013526807,12918.883818279088,11332.593478895467,10014.89180632105,8925.514744033753,8021.188248581984,12969.010724066326,11386.209350808833,10068.440835641302,8976.996124231253,8069.5653320389765
7,2021-07-08,14459.453737335738,12660.566784397899,11207.530119234425,10036.504038904568,9086.189054156837,14574.266822504143,12769.954225894126,11302.125545518435,10112.202327415915,9141.752355148894,14681.858623615246,12875.608822351516,11397.108421467672,10192.419190956693,9205.724801661465,14782.460092551128,12976.626337891536,11490.403270455965,10273.978928052415,9273.930659009795,14876.53803881656,13072.74028121675,11580.963394923401,10355.091702587504,9343.900516666892,14964.62944621925,13163.99765769884,11668.297190971756,10434.745249352,9414.14265463374,15047.26864789256,13250.596341842087,11752.21965569501,10512.378654015654,9483.747332723762,15124.956665889571,13332.801110848164,11832.716659632024,10587.699494588946,9552.161758768503,15198.15014130398,13410.899669387074,11909.868495358734,10660.577621191755,9619.057186662189,15267.259370910542,13485.179690509869,11983.805840160036,10730.981655454058,9684.247929466888,15332.650439068095,13555.917166021525,12054.68402294761,10798.940149900034,9747.640707526522,15394.649012899923,13623.370931241638,12122.667899435542,10864.517406820354,9809.202278068942,15453.544622009349,13687.780574193637,12187.923002596614,10927.798229907596,9868.938377768522,15509.594865898162,13749.366182353211,12250.610462808874,10988.878233063819,9926.879827288138,15563.029304231515,13808.329057333585,12310.884215706325,11047.8576664558,9983.073259840812
8,2021-07-09,17077.34654557351,15093.282360571302,13453.325597684096,12110.366580247422,11007.689176769683,17198.200071887615,15211.91093641057,13558.171474495202,12195.633944408099,11071.05278436089,17311.366943331363,15326.391922383653,13663.362869310065,12285.931143315986,11143.968837070668,17417.106504863623,15435.757139401943,13766.603034401405,12377.67682939558,11221.666332486753,17515.923996022248,15539.730704742638,13866.739492321965,12468.85667906932,11301.326397394232,17608.396069946353,15638.375754845978,13963.236210573332,12558.335071995642,11381.248736906295,17695.09442522204,15731.917551647466,14055.896874478942,12645.485924480512,11460.398676772815,17776.553897736252,15820.652361601036,14144.713887965307,12729.985814464959,11538.149518096468,17853.261150267048,15904.899887661893,14229.783437949622,12811.693879577464,11614.130383730102,17925.6528956373,15984.978551713377,14311.256659575127,12890.580079186151,11688.133528402717,17994.118376400285,16061.19304734524,14389.311168153428,12966.681365273142,11760.056397804616,18059.003547632517,16133.828572857066,14464.134380118212,13040.074435186509,11829.864626981382,18120.61573050707,16203.148712099111,14535.91379702693,13110.858581031021,11897.567992848222,18179.22815845337,16269.395285117114,14604.831464389687,13179.144814535814,11963.204564116346,18235.084164837535,16332.789227574585,14671.060958018426,13245.048959203925,12026.830140689919
9,2021-07-10,19778.745122552304,17632.823705408282,15818.43702291193,14309.226885473407,13055.807830300744,19903.972768515578,17759.1248007384,15932.399294675904,14403.362893888063,13126.603502487751,20021.17645946476,17880.92449507198,16046.65860043574,14502.993164739737,13208.034458583354,20130.636368599542,17997.20292187972,16158.722050717532,14604.159844185204,13294.761012996936,20232.8857477802,18107.67780973225,16267.344250742244,14704.640939159697,13383.630916115644,20328.530095887672,18212.42695313943,16371.950941002122,14803.18732018023,13472.745365296181,20418.16824277695,18311.699434770868,16472.336986486924,14899.113478345955,13560.95119925611,20502.359551385813,18405.818568919436,16568.501725247042,14992.06825051796,13647.551997785788,20581.612443225422,18495.131370806896,16660.55646622188,15081.901782891098,13732.137481600967,20656.382763804762,18579.982402902555,16748.6713895343,15168.586128703688,13814.479614990732,20727.0765192088,18660.700688212848,16833.044657400722,15252.166786440193,13894.467690541616,20794.054343115953,18737.593720947993,16913.884367485134,15332.732611986738,13972.066901593957,20857.636423554206,18810.945340550035,16991.398081210154,15410.396911247606,14047.291441532552,20918.10729607438,18881.01568239474,17065.78688614394,15485.285475914961,14120.18679210609,20975.720247957826,18948.04220526006,17137.242197654225,15557.529004152368,14190.817937882035
