Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
2021-07-01,84328502.25048189,84328894.97633612,84329264.717623,84329603.04339102,84329907.30844015,84328472.81160764,84328863.00718723,84329233.68626466,84329575.72365662,84329885.63330756,84328445.72527052,84328832.62056012,84329202.93072268,84329547.06119311,84329860.85816552,84328420.82791229,84328804.0128301,84329173.11103483,84329518.22083557,84329834.65529507,84328397.91263387,84328777.19216722,84329144.53083007,84329489.83843772,84329808.0008173,84328376.77131534,84328752.08131641,84329117.30645551,84329462.25569429,84329781.4717945,84328357.21088995,84328728.56748345,84329091.45479758,84329435.64619136,84329755.40889156,84328339.05852735,84328706.52690704,84329066.94045302,84329410.08576104,84329730.00915864,84328322.16208242,84328685.83687247,84329043.7016794,84329385.59299259,84329705.3807748,84328306.38862854,84328666.3813376,84329021.66487433,84329362.15313548,84329681.57626295,84328291.6223423,84328648.05326945,84329000.75268042,84329339.73246506,84329658.61310902,84328277.76230009,84328630.75529063,84328980.88847305,84329318.28702413,84329636.48680313,84328264.7204217,84328614.3994758,84328961.99876489,84329297.76797661,84329615.17920837,84328252.41964479,84328598.90674599,84328944.014401,84329278.12488309,84329594.66399065,84328240.79234537,84328584.20610064,84328926.87105145,84329259.3076842,84329574.91016516
2021-07-02,84321271.03523289,84321858.29140654,84322430.66214554,84322973.69381797,84323479.61543246,84321228.632953,84321810.56424786,84322382.56508158,84322929.74305888,84323443.49017166,84321189.67933887,84321765.30292644,84322335.02457322,84322883.75813758,84323402.29828195,84321153.92390656,84321722.7817613,84322289.05186601,84322837.61688407,84323358.84804508,84321121.05690955,84321682.99522851,84322245.100711,84322792.33360942,84323314.76990002,84321090.7695787,84321645.8128287,84322203.33411652,84322748.44420002,84323271.01953024,84321062.77699706,84321611.05372977,84322163.76236534,84322706.21270779,84323228.1539471,84321036.8250594,84321578.52317488,84322126.3167607,84322665.74639305,84323186.48902565,84321012.69071297,84321548.03002296,84322090.88991201,84322627.06171899,84323146.19234177,84320990.17953485,84321519.39476296,84322057.35800461,84322590.1230913,84323107.33935641,84320969.12245122,84321492.45266782,84322025.5931103,84322554.86598554,84323069.94816634,84320949.3723896,84321467.05448374,84321995.46988252,84322521.21090311,84323034.00137489,84320930.80118695,84321443.06590448,84321966.86904311,84322489.07182634,84322999.46004288,84320913.29686272,84321420.36649248,84321939.67902566,84322458.36131892,84322966.27267149,84320896.76127054,84321398.84839268,84321913.79656224,84322428.9935548,84322934.38101606
2021-07-03,84314704.25217439,84315499.03948453,84316249.7080226,84316950.69737984,84317600.13026947,84314646.71084966,84315436.72185796,84316188.217176,84316895.00383942,84317554.40321727,84314593.61719655,84315377.44333048,84316127.33130439,84316836.6874516,84317502.25473517,84314544.68041004,84315321.58649446,84316068.34714028,84316778.12281564,84317447.23584072,84314499.52103908,84315269.16942699,84316011.85402887,84316720.59489231,84317391.4076657,84314457.75297995,84315220.04490691,84315958.07138155,84316664.78488201,84317335.97814903,84314419.01569417,84315173.99695972,84315907.0234084,84316611.03077483,84317281.65134835,84314382.98494214,84315130.78834407,84315858.63262269,84316559.47241387,84317228.82668816,84314349.37425086,84315090.1837346,84315812.77104062,84316510.13471225,84317177.71632685,84314317.93256234,84315051.96056509,84315769.28858331,84316462.97651482,84317128.41615222,84314288.44052476,84315015.91352725,84315728.02885789,84316417.91978441,84317080.94966951,84314260.70652968,84314981.85581294,84315688.83780807,84316374.86722922,84317035.29560901,84314234.56296752,84314949.6187229,84315651.56827933,84316333.71299736,84316991.40552673,84314209.86287774,84314919.05050461,84315616.08222702,84316294.34914157,84316949.21513116,84314186.47703443,84314890.01487766,84315582.25156683,84316256.66947095,84316908.65161121
2021-07-04,84306812.38824159,84307686.82053679,84308532.0330261,84309335.1190191,84310090.03799567,84306751.13789111,84307618.3848642,84308463.03355314,84309271.55937886,84310037.08944339,84306694.73515405,84307553.38495886,84308394.79537699,84309205.07402052,84309976.75689457,84306642.84748977,84307492.22691882,84308328.7680063,84309138.37567684,84309913.16307694,84306595.0517155,84307434.91640164,84308265.60361612,84309072.92685895,84309848.69652441,84306550.92122284,84307381.27894151,84308205.53855398,84309009.49818262,84309784.75289746,84306510.05975735,84307331.06638563,84308148.590649,84308948.46771945,84309722.14201604,84306472.11226428,84307284.00900553,84308094.66460715,84308889.98753987,84309661.32005443,84306436.76593193,84307239.840758,84308043.60957749,84308834.0791341,84309602.52625583,84306403.74726029,84307198.31095687,84307995.25097778,84308780.68934366,84309545.86555772,84306372.81777108,84307159.1889878,84307949.40809514,84308729.72369573,84309491.35960382,84306343.76952139,84307122.26547481,84307905.90366778,84308681.06647861,84309438.978779,84306316.42090826,84307087.3516842,84307864.56888591,84308634.59287566,84309388.66258913,84306290.61293933,84307054.27811056,84307825.24575955,84308590.17626436,84309340.33274268,84306266.206003,84307022.89274539,84307787.78797695,84308547.69253457,84309293.90158612
2021-07-05,84300140.85885781,84301218.77916509,84302239.99568693,84303195.5006192,84304083.56508553,84300066.17002021,84301136.9608984,84302158.76252982,84303121.52262513,84304022.43918474,84299997.21683356,84301059.08378299,84302078.29242736,84303044.04699254,84303952.73404734,84299933.63210243,84300985.6582813,84302000.30037,84302966.22607286,84303879.19632556,84299874.93136755,84300916.71611333,84301925.56861612,84302889.76630381,84303804.5800347,84299820.6196151,84300852.07103485,84301854.39122307,84302815.57300602,84303730.49834608,84299770.23348317,84300791.44541755,84301786.80428584,84302744.09609233,84303657.89090422,84299723.35554698,84300734.53265305,84301722.70920542,84302675.52251723,84303587.29034002,84299679.61651038,84300681.0277273,84301661.94023839,84302609.88666612,84303518.9792143,84299638.69237508,84300630.64160731,84301604.30200918,84302547.1351693,84303453.0849172,84299600.2997936,84300583.10728638,84301549.59038745,84302487.16561747,84303389.63830672,84299564.1910515,84300538.18153435,84301497.60395901,84302429.84994824,84303328.61057645,84299530.14930083,84300495.64448325,84301448.15010372,84302375.04863752,84303269.93674664,84299497.98428258,84300455.29818171,84301401.04795781,84302322.61928257,84303213.53077261,84299467.5285963,84300416.96472435,84301356.1295777,84302272.42171909,84303159.29531243
2021-07-06,84292893.63303125,84294076.68636575,84295199.62261303,84296251.21148302,84297229.29996245,84292813.33550104,84293988.22273688,84295111.5130726,84296170.79536526,84297162.72532435,84292739.18574147,84293903.99954724,84295024.21344234,84296086.56583178,84297086.80186647,84292670.79347572,84293824.57218082,84294939.5851556,84296001.94889918,84297006.69805625,84292607.6414787,84293749.9783036,84294858.47874115,84295918.79999007,84296925.41290276,84292549.20038441,84293680.01950401,84294781.21535806,84295838.10422826,84296844.70337234,84292494.974207,84293614.39808707,84294707.83624819,84295760.35189791,84296765.59315445,84292444.51583892,84293552.78457662,84294638.2363333,84295685.74746454,84296688.66279894,84292397.42952326,84293494.85083343,84294572.23745582,84295614.32948351,84296614.2205667,84292353.36790213,84293440.28567533,84294509.62907638,84295546.04101524,84296542.40573788,84292312.0270914,84293388.8014724,84294450.19094242,84295480.77169716,84296473.25244749,84292273.14133981,84293340.13608986,84294393.70555846,84295418.38316569,84296406.72982262,84292236.47794548,84293294.05248126,84294339.96480633,84295358.72449015,84296342.76755854,84292201.83268784,84293250.33715937,84294288.77318309,84295301.64151262,84296281.2723702,84292169.0258411,84293208.79820034,84294239.94908546,84295246.98242134,84296222.13862947
2021-07-07,84284447.75468831,84285640.62142012,84286797.86367394,84287898.4857852,84288934.02200872,84284368.95239955,84285551.33109654,84286707.17993787,84287814.54037677,84288863.77385987,84284296.31246912,84285466.44015989,84286617.42554712,84287726.68346824,84288783.70629932,84284229.42509691,84285386.4922036,84286530.51061751,84287638.49518143,84288699.2832415,84284167.76033892,84285311.50802183,84286447.30049418,84287551.90921514,84288613.671651,84284110.78065597,84285241.2717832,84286368.11464414,84287467.94766137,84288528.72352847,84284057.98495604,84285175.4696276,84286292.98487028,84287387.11496685,84288445.51490888,84284008.9231091,84285113.7577695,84286221.79340313,84287309.61716273,84288364.65328401,84283963.19775747,84285055.79569417,84286154.34845336,84287235.487532,84288286.45860124,84283920.46091321,84285001.26164173,84286090.42607741,84287164.66032395,84288211.07265972,84283880.40872301,84284949.85899255,84286029.79340604,84287097.01473066,84288138.52666228,84283842.7759123,84284901.3179887,84285972.22135016,84287032.40140761,84288068.7836497,84283807.33055174,84284855.39512071,84285917.49128431,84286970.65853265,84288001.76550823,84283773.86938432,84284811.87141675,84285865.39825906,84286911.62148955,84287937.37031557,84283742.21376444,84284770.5502906,84285815.75221682,84286855.12861837,84287875.48353547
2021-07-08,84276057.12419657,84277215.47864214,84278366.31215243,84279479.35819478,84280539.80714838,84275982.90682152,84277128.5957081,84278276.11674845,84279394.53894044,84280467.97551222,84275914.6446266,84277046.13432084,84278186.96032658,84279305.85179885,84280386.1588282,84275851.9195494,84276968.60280149,84278100.7354351,84279216.91843344,84280299.95667256,84275794.20584661,84276896.00065297,84278018.29037039,84279129.6885466,84280212.61028391,84275740.97587587,84276828.09923793,84277939.929343,84279045.18699728,84280126.01089644,84275691.7407743,84276764.57722317,84277865.67105727,84278963.91434167,84280041.2535638,84275646.06326997,84276705.08677934,84277795.38675167,84278886.06960374,84279958.95308858,84275603.55863413,84276649.28558382,84277728.87553197,84278811.6778488,84279879.42998925,84275563.89086238,84276596.85153589,84277665.90597115,84278740.66491006,84279802.82283811,84275526.76725975,84276547.48863554,84277606.2390779,84278672.9018861,84279729.15757114,84275491.93283013,84276500.92836641,84277549.64077032,84278608.23190922,84279658.39097664,84275459.16505447,84276456.92885318,84277495.88836029,84278546.4863015,84279590.43833336,84275428.2692629,84276415.27299435,84277444.7735993,84278487.49427447,84279525.19112815,84275399.07463434,84276375.76620346,84277396.1037569,84278431.08865231,84279462.52846344
2021-07-09,84268087.58177233,84269307.23911197,84270528.33202632,84271715.72949266,84272851.41458401,84268011.08974558,84269216.80502936,84270433.72729436,84271626.24267416,84272775.29340054,84267940.72997247,84269130.97633123,84270340.21967304,84271532.68255739,84272688.59629306,84267876.07264622,84269050.28151287,84270249.79365572,84271438.87045099,84272597.25845514,84267816.57683264,84268974.71950811,84270163.33813205,84271346.86295573,84272504.7149829,84267761.69948149,84268904.05187632,84270081.17126189,84271257.7406107,84272412.96982609,84267710.93736668,84268837.94378284,84270003.31180458,84271172.03069465,84272323.18294087,84267663.84031303,84268776.0328917,84269929.62394643,84271089.94236675,84272236.00523852,84267620.0121995,84268717.96266271,84269859.89632344,84271011.50131133,84272151.7757433,84267579.10704274,84268663.39765432,84269793.88564818,84270936.62859762,84272070.64068581,84267540.82343197,84268612.02963203,84269731.34078898,84270865.18763009,84271992.62697527,84267504.89875951,84268563.5789989,84269672.01584078,84270797.01238665,84271917.68829505,84267471.10384917,84268517.7939118,84269615.67691433,84270731.9244568,84271845.73439395,84267439.23819475,84268474.44833241,84269562.10532005,84270669.74326716,84271776.64986053,84267409.12584339,84268433.33967198,84269511.09869008,84270610.29211141,84271710.30620837
2021-07-10,84260730.61137736,84262036.96204542,84263342.88097388,84264610.98325251,84265822.49449044,84260650.22531775,84261942.00999281,84263243.52929386,84264516.96138842,84265742.47380655,84260576.20299229,84261851.82673232,84263145.28069681,84264418.6271063,84265651.3158563,84260508.10950176,84261766.97669482,84263050.22214474,84264319.99352844,84265555.25535753,84260445.39038515,84261687.46843234,84262959.2922605,84264223.22290349,84265457.90220779,84260387.48625168,84261613.06033409,84262872.83084919,84264129.45344268,84265361.36375177,84260333.87724954,84261543.40835346,84262790.8630814,84264039.24259323,84265266.86108935,84260284.09740016,84261478.1383587,84262713.25128025,84263952.81360313,84265175.08063258,84260237.7360384,84261416.88122256,84262639.7778176,84263870.1967508,84265086.38105014,84260194.4340142,84261359.28904791,84262570.19093846,84263791.31209883,84265000.91828959,84260153.87809572,84261305.04173411,84262504.23009968,84263716.01879275,84264918.72272575,84260115.79510385,84261253.84861349,84262441.63976173,84263644.14473605,84264839.74757889,84260079.94642073,84261205.44763759,84262382.17658482,84263575.50451468,84264763.8996942,84260046.12310512,84261159.60342523,84262325.61283433,84263509.9101709,84264691.05928193,84260014.1416598,84261116.10486692,84262271.73761356,84263447.17756972,84264621.09263246
