lineages_l,number_genomes_per_lineage
AY.103,174
AY.106,196
AY.112,639
AY.116,61
AY.118,26
AY.119,337
AY.120,424
AY.120.2.1,161
AY.121,5441
AY.121.1,755
AY.122,18868
AY.124,459
AY.125,2778
AY.126,7726
AY.127,2317
AY.128,27
AY.129,2584
AY.16,24
AY.20,72
AY.22,7
AY.23,291
AY.24,45
AY.25,70
AY.26,59
AY.33,1528
AY.33.2,227
AY.34,1123
AY.34.1,325
AY.36,896
AY.36.1,1463
AY.37,17
AY.4,9884
AY.4.10,26
AY.4.2,802
AY.4.2.1,265
AY.4.2.3,652
AY.4.4,428
AY.4.5,381
AY.4.6,374
AY.4.7,252
AY.4.9,311
AY.41,522
AY.42,2839
AY.43,23366
AY.43.8,702
AY.44,91
AY.45,100
AY.46,775
AY.46.2,306
AY.46.6,3968
AY.5,977
AY.5.4,241
AY.5.5,52
AY.50,8
AY.51,328
AY.53,77
AY.6,597
AY.60,45
AY.61,76
AY.65,98
AY.66,25
AY.68,239
AY.7,33
AY.7.1,740
AY.7.2,160
AY.70,317
AY.71,93
AY.72,66
AY.73,108
AY.75,73
AY.82,9
AY.84,588
AY.85,13
AY.88,37
AY.9,300
AY.9.2,3137
AY.91,115
AY.91.1,13
AY.92,194
AY.98,364
AY.98.1,2304
AY.98.1.1,363
AZ.2,5
B.1.1,5
B.1.1.318,7
B.1.1.529,805
B.1.1.7,364
B.1.258,4
B.1.617.2,10691
B.1.619.1,4
B.1.621,9
BA.1,13359
BA.1.1,54468
BA.1.1.1,9160
BA.1.1.11,410
BA.1.1.14,1008
BA.1.1.15,522
BA.1.14,642
BA.1.15,2226
BA.1.15.1,927
BA.1.17,3032
BA.1.17.2,4917
BA.1.18,9369
BA.1.19,327
BA.1.20,512
BA.1.21,365
BA.2,118818
BA.2.1,562
BA.2.10,1364
BA.2.12.1,2282
BA.2.18,373
BA.2.23,357
BA.2.3,3146
BA.2.3.15,133
BA.2.3.20,257
BA.2.36,1832
BA.2.5,983
BA.2.52,137
BA.2.54,222
BA.2.56,601
BA.2.65,296
BA.2.75.5,132
BA.2.9,29591
BA.4,1700
BA.4.1,1989
BA.4.6,1151
BA.5,2110
BA.5.1,22586
BA.5.1.1,194
BA.5.1.10,1082
BA.5.1.12,234
BA.5.1.2,672
BA.5.1.21,171
BA.5.1.22,1905
BA.5.1.23,1148
BA.5.1.24,688
BA.5.1.26,210
BA.5.1.28,92
BA.5.1.3,2560
BA.5.1.30,1102
BA.5.1.5,994
BA.5.2,20448
BA.5.2.1,15732
BA.5.2.13,353
BA.5.2.18,358
BA.5.2.20,1910
BA.5.2.21,594
BA.5.2.25,83
BA.5.2.26,719
BA.5.2.28,186
BA.5.2.3,614
BA.5.2.34,614
BA.5.2.35,272
BA.5.2.48,8
BA.5.2.6,1444
BA.5.2.7,377
BA.5.3,903
BA.5.3.1,828
BA.5.3.2,1244
BA.5.3.4,499
BA.5.5,564
BA.5.6,734
BA.5.9,3319
BE.1,1528
BE.1.1,17036
BE.1.1.1,229
BE.1.1.2,2404
BE.10,42
BF.1,998
BF.10,261
BF.11,884
BF.11.1,150
BF.11.3,127
BF.11.4,86
BF.14,1277
BF.26,325
BF.27,129
BF.28,774
BF.5,3115
BF.6,151
BF.7,13413
BF.7.1,493
BF.7.13.2,82
BF.7.19,60
BF.7.21,73
BF.7.22,119
BF.7.24,93
BF.7.3,164
BF.7.4,893
BF.7.4.2,133
BF.7.5,1999
BF.7.6,1220
BM.4.1.1,28
BN.1,467
BN.1.2,377
BN.1.3,1842
BN.1.3.1,765
BN.1.4,218
BN.1.4.1,73
BN.1.4.2,180
BN.1.4.3,72
BN.1.5,344
BN.3.1,286
BQ.1,2702
BQ.1.1,9613
BQ.1.1.1,410
BQ.1.1.10,421
BQ.1.1.13,430
BQ.1.1.15,228
BQ.1.1.18,813
BQ.1.1.2,90
BQ.1.1.20,146
BQ.1.1.22,170
BQ.1.1.23,473
BQ.1.1.24,24
BQ.1.1.29,45
BQ.1.1.3,228
BQ.1.1.31,141
BQ.1.1.32,37
BQ.1.1.37,39
BQ.1.1.4,600
BQ.1.1.45,363
BQ.1.1.46,111
BQ.1.1.47,194
BQ.1.1.5,403
BQ.1.1.53,35
BQ.1.1.58,78
BQ.1.1.59,17
BQ.1.1.7,620
BQ.1.1.8,171
BQ.1.10,476
BQ.1.11,175
BQ.1.12,113
BQ.1.13.1,499
BQ.1.14,389
BQ.1.18,889
BQ.1.19,165
BQ.1.2,617
BQ.1.22,117
BQ.1.23,290
BQ.1.25,422
BQ.1.26,95
BQ.1.3.2,30
BQ.1.5,364
BQ.1.8,385
BR.1,75
BR.2.1,90
BU.3,147
C.36.3,7
CE.1,110
CG.1,140
CH.1.1,2534
CH.1.1.1,399
CH.1.1.10,18
CH.1.1.11,449
CH.1.1.12,20
CH.1.1.15,150
CH.1.1.16,123
CH.1.1.2,238
CH.1.1.22,1
CH.1.1.24,134
CJ.1,80
CJ.1.2,98
CK.1,481
CK.2.1,64
CK.2.1.1,435
CL.1,653
CL.1.1,106
CM.8.1,17
CP.1.1,89
CP.8,23
CQ.2,18
CR.1,177
DB.1,84
DM.1,25
DN.1,20
DQ.1,170
DS.2,212
DT.2,18
DU.1,38
DV.1.1,44
DV.6,252
EA.1,171
EC.1.1,11
EE.4,58
EF.1,297
EF.1.1,139
EG.1,405
EG.1.2,83
EG.1.3,64
EG.1.4,136
EG.2,1
EG.3,1
EG.4,13
EG.5.1,1
EK.3,5
EL.1,88
EM.1,27
EN.1,168
ET.1,26
EU.1,116
EU.1.1,301
EU.1.1.1,113
EW.1,41
EY.1,7
FD.2,8
FD.4,33
FE.1,5
FE.1.1,1
FE.1.2,3
FH.1,35
FK.1.2,31
FL.1,8
FL.10,118
FL.12,14
FL.2,134
FL.2.1,231
FL.3,188
FL.3.1,20
FL.4,287
FL.5,170
FL.7,2
FL.8,188
FL.9,20
FM.2,226
FS.1,1
FU.1,1
FW.1,2
FY.1,5
FY.4,1
GA.2,13
GB.1,40
P.1,10
P.1.17.1,25
XAS,17
XAY.1.1.1,154
XAY.1.1.2,37
XAY.2,67
XAZ,244
XBB,86
XBB.1,1112
XBB.1.1,21
XBB.1.13,26
XBB.1.14,4
XBB.1.16,31
XBB.1.16.1,2
XBB.1.16.2,1
XBB.1.16.4,1
XBB.1.17.1,77
XBB.1.19.1,7
XBB.1.21,32
XBB.1.22.1,13
XBB.1.22.2,8
XBB.1.28.1,27
XBB.1.37.1,3
XBB.1.38,2
XBB.1.5,4776
XBB.1.5.1,70
XBB.1.5.11,47
XBB.1.5.12,614
XBB.1.5.13,584
XBB.1.5.14,148
XBB.1.5.15,89
XBB.1.5.16,71
XBB.1.5.17,49
XBB.1.5.18,29
XBB.1.5.19,17
XBB.1.5.20,94
XBB.1.5.21,207
XBB.1.5.23,72
XBB.1.5.24,535
XBB.1.5.31,3
XBB.1.5.33,36
XBB.1.5.36,7
XBB.1.5.37,466
XBB.1.5.38,72
XBB.1.5.39,51
XBB.1.5.42,2
XBB.1.5.46,866
XBB.1.5.48,64
XBB.1.5.49,67
XBB.1.5.5,44
XBB.1.5.51,6
XBB.1.5.52,92
XBB.1.5.54,25
XBB.1.5.56,10
XBB.1.5.59,1
XBB.1.5.60,108
XBB.1.5.62,215
XBB.1.5.63,388
XBB.1.5.65,796
XBB.1.5.66,22
XBB.1.5.67,32
XBB.1.5.7,714
XBB.1.9,225
XBB.1.9.1,824
XBB.1.9.2,466
XBB.2.3,54
XBB.2.3.1,3
XBB.2.3.2,4
XBB.2.3.3,1
XBB.2.3.7,4
XBB.2.4,30
XBB.2.5,19
XBB.2.9,3
XBC.1.3,6
XBF,354
XBF.4,16
XBF.6,69
XBF.7.1,18
XBF.8,5
XBK,210
XBK.1,167
XBL,20
XBL.3,32
XBT,178
XBW,39
