,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2023-01-06,84280568.01789641,84289668.05678079,84296245.64804815,84301154.68064153,84304921.98046036,84279764.73971593,84289022.00031711,84295748.60693698,84300789.27780639,84304670.38339001,84279007.52386461,84288394.47873929,84295247.13162602,84300400.57602938,84304379.8757071,84278295.58589055,84287791.26190922,84294752.22446479,84300003.79647513,84304069.16102116,84277626.37211874,84287214.37927593,84294269.59769042,84299607.61864406,84303749.35609081,84276996.71364744,84286663.9769918,84293802.08242436,84299217.03956124,84303427.23189603,84276403.34998357,84286139.25940351,84293350.89696452,84298834.90627234,84303106.96781398,84275843.16187435,84285638.9824072,84292916.34366232,84298462.77616708,84302791.14782481,84275313.26602507,84285161.71713787,84292498.20471506,84298101.41836815,84302481.34902994,84274811.04353327,84284705.99168275,84292095.9726381,84297751.11493938,84302178.50087714,84274334.13695434,84284270.3662563,84291708.98684542,84297411.84632199,84301883.11048202,84273880.43332618,84283853.47140436,84291336.51541369,84297083.40773599,84301595.4072092,84273448.04181837,84283454.02546565,84290977.80412231,84296765.4833383,84301315.43721454,84273035.27029814,84283070.84039986,84290632.10561365,84296457.69396025,84301043.12623385,84272640.60286279,84282702.82118426,84290298.69632025,84296159.62801467,84300778.3218051
1,2023-01-07,84195001.30048601,84214957.2450541,84230176.38341211,84241994.4882521,84251341.93867634,84193348.23822017,84213536.74115913,84229029.27560546,84241119.75352179,84250722.30904272,84191797.25850384,84212162.49779703,84227875.67737599,84240191.573456,84250008.16326095,84190345.42516418,84210846.5598594,84226740.85182582,84239246.56901185,84249245.89377247,84188986.33923052,84209592.69684173,84225637.66879618,84238305.46905929,84248462.98995695,84187712.5276243,84208400.57856992,84224572.28825131,84237380.07371205,84247676.11006783,84186516.50171508,84207267.87723103,84223547.14612488,84236476.98848484,84246895.45975478,84185391.20931281,84206191.3580487,84222562.58893263,84235599.71894304,84246127.28104451,84184330.20320673,84205167.45433272,84221617.79735136,84234749.88912997,84245375.32266457,84183327.6768444,84204192.57057379,84220711.32033795,84233927.97139852,84244641.7367091,84182378.4394579,84203263.23851912,84219841.38883275,84233133.73395658,84243927.64013694,84181477.86593567,84202376.19251199,84219006.1013649,84232366.5203833,84243233.47421184,84180621.83868995,84201528.40023342,84218203.53362395,84231625.42658098,84242559.23881646,84179806.6897721,84200717.06896657,84217431.80216809,84230909.413784,84241904.64746916,84179029.1469472,84199939.63875526,84216689.10015762,84230217.38099414,84241269.2310748
2,2023-01-08,84098907.92401297,84127903.74614035,84150972.63718678,84169484.46666421,84184509.99974726,84096637.57418913,84125849.67789392,84149246.5274723,84168126.43760478,84183523.75870274,84094513.87241162,84123868.21715082,84147514.9769983,84166688.34555039,84182388.81972803,84092531.53611872,84121976.05338491,84145815.8113083,84165227.25067228,84181179.4492228,84090680.71404536,84120177.87300345,84144167.9998069,84163775.25014867,84179939.53396624,84088950.27108577,84118472.49185495,84142580.35312667,84162350.4406332,84178695.55108513,84087329.21865198,84116855.92492166,84141056.08376366,84160962.79860583,84177463.61613932,84085807.3065146,84115322.9666249,84139595.29500513,84159617.47624989,84176253.49247923,84084375.22746617,84113868.01497363,84138196.38106972,84158316.7152943,84175070.95933937,84083024.64372116,84112485.49911378,84136856.83216316,84157060.99042691,84173919.25472179,84081748.13445443,84111170.09402198,84135573.70375727,84155849.70803434,84172799.97754842,84080539.11240746,84109916.8194102,84134343.89148448,84154681.64068337,84171713.6639228,84079391.73257354,84108721.07548143,84133164.29121192,84153555.20065868,84170660.16174106,84078300.80366577,84107578.6446497,84132031.89027229,84152468.61344486,84169638.8776696,84077261.70693912,84106485.6755422,84130943.81701669,84151420.02793929,84168648.94174713
3,2023-01-09,83995966.94608499,84032599.09789313,84062670.2721981,84087418.10607627,84107921.46702385,83993231.38590549,84030028.49763241,84060443.34170021,84085622.29023032,84106590.68555294,83990677.14921483,84027553.43342198,84058213.28381811,84083723.41919175,84105061.04163417,83988296.9445428,84025194.16265859,84056028.70114082,84081797.12877347,84103433.17208369,83986078.12183383,84022955.90125035,84053913.68698953,84079885.76324324,84101766.41907758,83984006.62977117,84020836.57409029,84051879.17843597,84078013.021506,84100096.45901376,83982068.7195535,84018830.67932263,84049928.90072073,84076191.81434584,84098444.89509451,83980251.63524677,84016931.26680104,84048062.60369973,84074428.6652456,84096824.71676369,83978543.83978637,84015130.9619754,84046277.87655216,84072726.26227236,84095243.52363934,83976935.02966505,84013422.49107452,84044571.18672039,84071084.97956662,84093705.48835145,83975416.05799975,84011798.93999313,84042938.4821208,84069503.80461004,84092212.58222334,83973978.82323112,84010253.86928712,84041375.54126537,84067980.9128285,84090765.35681123,83972616.15062356,84008781.35140684,84039878.1750191,84066514.02778886,84089363.45081465,83971321.67896368,84007375.96657217,84038442.33980289,84065100.64840057,84088005.92334604,83970089.75755553,84006032.7775713,84037064.19748732,84063738.19224758,84086691.47528759
4,2023-01-10,83888204.34652871,83931401.09503238,83967716.75000998,83998200.42199762,84023875.388599,83885107.86421789,83928406.2231178,83965059.84153052,83996015.06903034,84022228.90919803,83882219.71993916,83925526.20471619,83962402.44380343,83993706.82034083,84020338.06872053,83879531.03047845,83922784.14450693,83959802.36157048,83991367.8671472,84018327.77058777,83877026.94953854,83920185.61349414,83957288.00935757,83989049.63691315,84016271.54149131,83874691.14518316,83917727.73548357,83954872.06744559,83986780.75198098,84014213.46465069,83872507.71409132,83915403.70518817,83952558.62416562,83984576.66418555,84012180.12643251,83870461.94698562,83913205.09276012,83950347.05772223,83982445.0480535,84010187.41776535,83868540.57016598,83911123.03014298,83948234.20754378,83980388.92469049,84008244.54973556,83866731.75036025,83909148.81481965,83946215.61348434,83978408.52135134,84006356.49684083,83865024.99826248,83907274.20355102,83944286.2311489,83976502.40238678,84004525.52107686,83863411.03519101,83905491.53937511,83942440.84547772,83974668.16821052,84002752.14237405,83861881.65321602,83903793.78906728,83940674.30721991,83972902.89200348,84001035.76689278,83860429.58243838,83902174.53342316,83938981.6640459,83971203.39401889,83999375.09917991,83859048.37090428,83900627.93386838,83937358.22849742,83969566.41369008,83997768.41518073
5,2023-01-11,83773961.9009056,83823208.78403921,83865408.13616629,83901392.98365879,83932105.66902098,83770555.84085701,83819836.55554736,83862359.02305205,83898844.81660552,83930159.79004478,83767381.34167746,83816596.3976039,83859311.96670131,83896155.47904395,83927926.5966547,83764428.16360925,83813513.94557323,83856333.15317585,83893432.58795802,83925554.0474691,83761679.5803095,83810595.08413193,83853454.92090754,83890736.01677005,83923129.12833142,83759117.30409694,83807836.22240397,83850691.52218807,83888098.95109814,83920703.8833149,83756723.5819643,83805229.39373317,83848047.36006987,83885539.18496646,83918309.60362631,83754482.02624603,83802764.85026474,83845521.4594908,83883065.44128555,83915964.90738963,83752377.87003896,83800432.39379734,83843109.96396746,83880681.02980052,83913680.5091511,83750397.96398543,83798222.04939815,83840807.55726124,83878386.02198371,83911462.12035266,83748530.66329904,83796124.3901279,83838608.2816029,83876178.57169567,83909312.25715947,83746765.67566606,83794130.67470545,83836506.0088842,83874055.72979678,83907231.39029911,83745093.90313129,83792232.8851609,83834494.70854467,83872013.95184724,83905218.68847284,83743507.2927708,83790423.71213654,83832568.59480241,83870049.41600569,83903272.5051921,83741998.70198148,83788696.51420651,83830722.20177065,83868158.22167419,83901390.70058534
6,2023-01-12,83658018.78519335,83712138.86997685,83759370.17091243,83800242.58369346,83835555.30582671,83654407.55580759,83708480.57492058,83756001.74879016,83797385.22023098,83833345.80278198,83651044.15355416,83704968.2169734,83752638.13264725,83794371.63033274,83830811.52173418,83647917.26654479,83701629.24071197,83749352.29468177,83791322.60590586,83828120.80299115,83645008.77599224,83698469.65585257,83746179.6995652,83788305.1954331,83825372.50334403,83642298.97846144,83695485.22665647,83743135.80316386,83785356.4273467,83822625.66186301,83639768.79887775,83692667.01658064,83740225.19100605,83782496.03737111,83819915.68014212,83637400.6603039,83690004.20287012,83737446.53342885,83779733.5869804,83817263.53775471,83635178.7447845,83687485.5156503,83734795.34844477,83777072.58020416,83814681.23127398,83633088.9816182,83685099.96279512,83732265.57189299,83774512.9088204,83812175.08040647,83631118.92089051,83682837.17644557,83729850.45878783,83772052.33514829,83809747.7871984,83629257.56692582,83680687.55723967,83727543.10055843,83769687.40510228,83807399.7445039,83627495.20649627,83678642.31081079,83725336.71763758,83767414.01601912,83805129.8809281,83625823.24724339,83676693.42822552,83723224.81900214,83765227.77122796,83802936.21332529,83624234.07229604,83674833.63887972,83721201.28240193,83763124.20081182,83800816.21134122
7,2023-01-13,83539382.19822575,83597721.16824634,83649457.11335641,83694805.88905084,83734406.98432325,83535613.69261053,83593828.07350445,83645815.59476589,83691676.27004334,83731960.0948222,83532105.37538226,83590092.32276368,83642181.35277264,83688377.32585663,83729154.8392798,83528845.13356945,83586542.83952782,83638633.15317571,83685041.45475781,83726177.94247526,83525813.79876976,83583185.73085707,83635209.11929516,83681742.01285522,83723138.95626907,83522990.59693553,83580016.2274557,83631925.72072625,83678519.39548764,83720103.20999235,83520355.45141712,83577024.59340641,83628787.68464233,83675395.02946109,83717109.79111186,83517889.88317943,83574199.12118496,83625793.36550587,83672379.19647424,83714181.7875559,83515577.2762398,83571527.65942885,83622937.73565853,83669475.55499965,83711332.33194731,83513402.85978846,83568998.3797292,83620214.08232222,83666683.82385422,83708568.27423283,83511353.57168236,83566600.14092085,83617614.9798211,83664001.40778895,83705892.46781407,83509417.88106412,83564322.63861033,83615132.84597448,83661424.3971032,83703305.221061,83507585.60628004,83562156.44065711,83612760.2555991,83658948.1882298,83700805.23368992,83505847.7440632,83560092.9635667,83610490.11039159,83656567.8703937,83698390.20829651,83504196.31609158,83558124.42007467,83608315.72337176,83654278.46565293,83696057.2532431
8,2023-01-14,83420501.76533502,83482172.25844908,83537709.18899448,83586979.88993464,83630435.69109406,83416640.24913052,83478109.42151211,83533852.18635178,83583624.2610939,83627784.87863393,83413046.54337874,83474212.53979589,83530004.75016347,83580088.71710193,83624747.05624346,83409707.99623431,83470511.5547147,83526250.19701694,83576515.30557384,83621524.78836642,83406604.76422885,83467012.59155607,83522628.71214388,83572982.60506445,83618236.82492581,83403715.39633135,83463710.44807081,83519157.52555455,83569533.77957547,83614953.88917667,83401019.18870862,83460594.76976378,83515841.43834737,83566191.6291498,83611718.2150678,83398497.10125765,83457653.17527667,83512678.5216021,83562967.00274052,83608554.6776154,83396132.0242636,83454872.84758154,83509663.28723937,83559863.65836199,83605477.3603648,83393908.75565206,83452241.33023962,83506788.48501933,83556881.14536697,83602493.54462998,83391813.85756865,83449746.90372534,83504046.13031074,83554016.54878645,83599606.19143482,83389835.47182608,83447378.73806469,83501428.09091191,83551265.56070505,83596815.51626703,83387963.13114025,83445126.92697151,83498926.41658753,83548623.14440879,83594120.00407586,83386187.5823861,83442982.46081124,83496533.51668188,83546083.94739704,83591517.07144059,83384500.62802815,83440937.16992985,83494242.24750897,83543642.55713794,83589003.50224535
9,2023-01-15,83295654.63455167,83360822.24246739,83420244.36066872,83473474.5823557,83520801.79875161,83291669.30451952,83356574.527208,83416166.69585049,83469893.0427657,83517949.11868328,83287960.78983453,83352501.20843692,83412100.27841356,83466120.5956722,83514680.86093621,83284515.96174793,83348633.47011016,83408133.12296519,83462308.90898305,83511215.21905583,83281314.2782585,83344977.5931653,83404307.59451056,83458541.797258,83507680.03341596,83278333.5482127,83341528.02653149,83400641.7777332,83454865.22662742,83504151.37273626,83275552.36070533,83338273.84750901,83397140.62280536,83451303.41146974,83500674.60265452,83272951.02964653,83335202.02937284,83393801.97717762,83447867.81032683,83497276.38929865,83270511.86762244,83332299.10346465,83390619.9397649,83444562.32115543,83493971.78128688,83268219.1612367,83329551.98976663,83387586.76042445,83441386.3608892,83490768.51047836,83266059.02210836,83326948.38847384,83384693.92526485,83438336.72803816,83487669.6667418,83264019.19560215,83324476.93790996,83381932.77548361,83435408.74581717,83484675.3942256,83262088.8653694,83322127.24879718,83379294.85420106,83432596.97008395,83481783.9840052,83260258.47042191,83319889.87480873,83376772.09280618,83429895.62903388,83478992.58637044,83258519.54106538,83317756.2523478,83374356.90208954,83427298.89502922,83476297.67904298
