,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2023-01-06,67324.6579267252,57052.12533970146,49362.422420466435,43480.66085216009,38884.97188734359,68210.79781259867,57795.50553206845,49951.17882793408,43922.63984405972,39194.096208327224,69043.03720522164,58515.508664575005,50543.920345611,44392.066053109666,39550.63647826195,69822.77646898196,59205.71840489077,51127.64906631357,44870.466152281035,39931.512143478976,70553.30143585656,59864.04562591328,51695.69701425113,45347.35242834106,40323.02879478958,71238.50198090357,60490.5567277567,52244.83127278618,45816.72767713681,40716.86977451234,71882.30037068509,61086.3776469625,52773.73170828872,46275.21113165257,41107.923790566194,72488.40438959005,61653.12320814471,53282.15633970444,46720.98677920838,41493.05044291526,73060.21294828544,62192.594832075265,53770.4687824678,47153.19108483276,41870.35091459489,73600.79364536703,62706.62013834952,54239.36422366543,47571.54577283458,42238.72300725122,74112.8934764002,63196.96950266955,54689.70791943251,47976.132262309045,42597.58228544659,74598.9636555675,63665.3150479522,55122.43920738747,48367.25048975507,42946.683375823704,75061.18918603218,64113.21320293579,55538.51449521996,48745.32929816595,43286.00331329934,75501.51865409434,64542.10029293113,55938.873825279996,49110.86901936286,43615.664233870266,75921.69217580276,64953.29518716172,56324.421869204336,49464.40451833671,43935.881526783385
1,2023-01-07,171188.02148672572,149788.98375778898,132776.32026358342,119157.80483333126,108135.71777435577,172917.88083792274,151349.5694425048,134081.36832671147,120179.31894903505,108874.03497890715,174534.2190498983,152854.3449734787,135390.41538459554,121261.13219742414,109723.77533957762,176041.33661211055,154290.66952930437,136674.84364028185,122360.31641049572,110629.36148183637,177446.98981692008,155655.03769984606,137920.30089689352,123452.71298445319,111557.93957072956,178759.87929594697,156948.40834660505,139120.12228245524,124524.69273714858,112489.67875487675,179988.5606438705,158173.8667356887,140271.880095761,125568.73545864865,113412.50044130781,181140.99706575676,159335.42137201206,141375.50048038855,126580.9518599863,114319.08001694626,182224.407764994,160437.37690749462,142432.20370352213,127559.64426588325,115205.0757632897,183245.25196672557,161484.00915896648,143443.8946791968,128504.44644083656,116068.04952934469,184209.27252597472,162479.4022274528,144412.80760162935,129415.79774169427,116906.79171335459,185121.56254047912,163427.37375756394,145341.29772213966,130294.61600044875,117720.88994329782,185986.63747377382,164331.44823230765,146231.7200640513,131142.09147673607,118510.44857700953,186808.50470287626,165194.85612647192,147086.3602772827,131959.55610219235,119275.90368463428,187590.72708229587,166020.54649406177,147907.39706733954,132748.4003525831,120017.89967359987
2,2023-01-08,277116.78515727044,248283.80031584806,224338.57688707445,204466.17324265876,187899.9935134966,279325.59399737074,250378.8435570219,226165.77312563517,205946.7424171209,189000.98936804524,281384.0977941942,252393.16610615846,227993.66015494062,207511.15303543123,190265.90222328622,283298.9242911397,254310.60691766778,229782.4294119255,209096.95916719924,191611.31888938285,285080.92208563286,256127.28730675858,231512.4744914168,210669.27450560656,192988.09161252965,286741.9603005117,257845.24620707982,233175.0134957828,212208.63987821605,194366.7117650282,288293.56526043994,259469.27459373057,234767.18199530983,213704.5135791936,195729.34663518338,289746.379337592,261005.3004773089,236289.36431840225,215151.62604706085,197065.3061839205,291109.99388243054,262459.5573833108,237743.69955820497,216547.86712007123,198368.36603705655,292392.95052831236,263838.1611580753,239133.22809877683,217893.02736064553,199635.1379628217,293602.81406730844,265146.9041007899,240461.39835220834,219188.03178951272,200864.0527253008,294746.27093148197,266391.1660085501,241731.78112704784,220434.46572607398,202054.711887629,295829.23170981917,267575.88801288145,242947.90597632265,221634.278100848,203207.46771122803,296856.92804068397,268705.57950306626,244113.17018533841,222789.59475813183,204323.14723012949,297834.00006286753,269784.34165084426,245230.79135958463,223902.6010454076,205402.86920671497
3,2023-01-09,392769.32509258913,357175.9953417317,326832.83759471885,301069.95188757026,279167.28614036896,395392.69768623577,359739.67611932044,329127.7503089567,302971.9294278558,280609.3809532451,397834.6186676789,362201.02759253705,331420.1355962623,304978.8932417112,282264.32024652825,400103.57579432614,364540.7924075397,333660.20255439944,307010.4728514265,284022.4192716168,402212.9651382615,366754.7461654966,335823.68669473566,309021.9729888473,285819.1920987813,404177.29427463864,368845.8529297681,337899.95481258276,310988.63976734184,287616.0571741794,406010.5784284415,370820.3767610253,339885.7895781502,312897.2187027533,289389.8195496112,407725.7141893431,372685.90710960614,341782.01682069845,314741.23098978197,291126.681081599,409334.29548848246,374450.3487799488,343591.6231747381,316518.23967872385,292818.7043118179,410846.6268822237,376121.4129156752,345318.6850425277,318228.22433899884,294461.66184184334,412271.81937063765,377706.37348986376,346967.75283042615,319872.5942352498,296053.69574830274,413617.91457837226,379211.9658080128,348543.4968920326,321453.57976323983,297594.4648495977,414892.01210528857,380644.3606778021,350050.50669574796,322973.85328782746,299084.59334045276,416100.38893765834,382009.1779781174,351493.18085332785,324436.2918371578,300525.3096968135,417248.60667779087,383311.51960229874,352875.671395575,325843.8289147617,301918.20797539875
4,2023-01-10,510962.27456055547,469990.1050029597,434331.35736314784,403500.2797298274,376870.0089795061,513877.6450453702,472908.6075471849,436999.3742307811,405752.40690283803,378605.07683007565,516589.3061234788,475707.8412480885,439661.6218375486,408126.46144387824,380594.5288404343,519107.1309170879,478366.2965742302,442260.3966420357,410527.1530564724,382706.0094821934,521446.3706078869,480879.57760820154,444767.79731562646,412901.6723802769,384861.83710400516,523623.43881658284,483251.42845670454,447171.7977849413,415220.92931057623,387015.66258088266,525654.1406995502,485489.2955710272,449468.9779733589,417469.4867764496,389139.73375687684,527552.9889970986,487602.08159355563,451660.5857457111,419639.9316529945,391217.64073357376,529333.0099894217,489599.00172928086,453750.343970489,421729.6206000011,393240.03412385576,531005.7667363117,491489.0114459144,455743.2064396229,423738.7484277973,395202.02276999294,532581.4722265685,493280.536011794,457644.64538974717,425669.1777198362,397101.5533924694,534069.1325546742,494981.3608235973,459460.24398622924,427523.71895068703,398938.3814129447,535476.6924438773,496598.60691897775,461195.46690788283,429305.6834352671,400713.4067364415,536811.1710371927,498138.75046272116,462855.5362136882,431018.6046994784,402428.2397397678,538078.783454465,499607.66353395546,464445.3698178161,432666.06543743244,404084.9151679266
5,2023-01-11,635617.6576520152,589660.8308780724,549017.6363607589,513389.76687322184,482242.2462447609,638789.5737039034,592898.1683520995,552025.19643681,515964.28918660426,484250.2585700332,641738.1533205309,596001.1802414006,555024.1565483272,518676.347418579,486551.2957782532,644474.4697553411,598946.2969882395,557949.604486012,521416.9187025368,488991.8720722867,647015.3962091871,601728.9349991701,560770.315645209,524125.72603405715,491482.01382132946,649379.0191635926,604353.510949778,563472.981309804,526769.688729371,493968.1424080121,651582.7184568163,606828.5108148969,566053.9823378684,529331.360919086,496418.26916213916,653642.4311215945,609163.9991281334,568514.93746365,531802.4691311416,498813.5604014825,655572.4475103559,611370.3545184672,570860.2279865387,534180.1792892154,501143.3601383744,657385.4426149244,613457.6397749276,573095.5962134894,536464.8832681135,503402.166639073,659092.6040177871,615435.3064975598,575227.344842596,538658.8596726826,505587.75132865796,660703.7914944714,617312.077527229,577261.8806286618,540765.4515795835,507699.9652678294,662227.6983450359,619095.9232208993,579205.4587799228,542788.5570629219,509739.9698959589,663672.0014878709,620794.0859023301,581064.0457701527,544732.3125745945,511709.73520844465,665043.4955612819,622413.1274200226,582843.2523850086,546600.8970550466,513611.70961264154
6,2023-01-12,760041.2016403244,710384.5568752119,665764.328245341,626128.4726271658,591081.2514411021,763362.4700816144,713841.473749688,669027.7137749984,628960.0374275751,593315.6529253775,766448.2699069853,717152.8926454072,672279.6622294222,631941.0393505786,595874.755082793,769310.5271580225,720293.9410902174,675449.8724279712,634951.4778120291,598587.4615032979,771967.1866328289,723260.0234133261,678504.6900102589,637925.1471458075,601353.5831154843,774437.4104715163,726056.1252071265,681429.9215947672,640825.8345602314,604113.5611093997,776739.5754618377,728691.5391318863,684221.8765477367,643634.5505615544,606831.9274621455,778890.5106942347,731177.2059764535,686882.5239435883,646342.3940210901,609487.8804788775,780905.2916376336,733524.3685761443,689416.8032508326,648946.4335215468,612069.7246317017,782797.2791478646,735743.9041197104,691831.104289673,651447.2676085859,614571.49459502,784578.2583875962,737846.0135201244,694132.4009683466,653847.5505107014,616990.8562885206,786258.6098188934,739840.1000421339,696327.7591212854,656151.0884057535,619327.7763677462,787847.4811513043,741734.7474858102,698424.062136734,658362.280597917,621583.6656855587,789352.9468548471,743537.7492003675,700427.8648206186,660485.7731334064,623760.8213414213,790782.1504108453,745256.1612410961,702345.323136449,662526.2452364587,625862.0602625333
7,2023-01-13,886634.6006977018,833762.126526977,785618.984009822,742380.2393863242,703781.7397662891,890074.5283991112,837399.8702980785,789098.6257036792,745433.7362973787,706215.1359704691,893269.6362873312,840883.1195562243,792564.5138953053,748646.9354089916,709001.0217074174,896232.4645263008,844185.9008143162,795941.7902835604,751890.3608764138,711952.811426714,898981.756854532,847303.5794740246,799194.7405037093,755092.6920878572,714961.3370792845,901537.4880821356,850241.5831183825,802308.4155908455,758215.0157056379,717961.7887006665,903918.7940207588,853009.8456991691,805279.0563982079,761237.0126033273,720915.647478977,906143.1866126935,855620.0101351275,808108.9204046333,764149.2421752318,723800.389903987,908226.3448678516,858084.0146907743,810803.411790965,766948.6907503479,726603.4144299866,910182.1587496035,860413.3937525128,813369.4613421626,769636.13654742,729318.3552576897,912022.8758370222,862618.9541790149,815814.6046962019,772214.5588901717,731942.7917392945,913759.2806098941,864710.6504036018,818146.4598552389,774688.1642259068,734476.7974507501,915400.8742454174,866697.563850768,820372.4368856883,777061.7847784214,736922.0069888436,916956.0411611326,868587.9354240276,822499.5841502099,779340.5065333679,739281.0087669675,918432.1973887756,870389.2230389764,824534.5151859397,781529.4404683181,741556.9468010347
8,2023-01-14,1010578.7120229647,955482.4497430807,904669.3763908905,858549.3378199476,817005.1817916327,1014066.471276571,959225.9824050537,908295.9661994041,861766.6414959802,819593.4999688815,1017305.5592364944,962809.4049010923,911906.8238383395,865150.8691882712,822555.6795712447,1020308.7977502432,966206.1590888221,915424.0241549566,868565.5356904861,825693.0187184789,1023095.2775454803,969411.6451741044,918810.5001079717,871935.5646664747,828889.3468803401,1025685.3186151899,972431.599692245,922050.8396057481,875220.0845152498,832075.7791831372,1028098.3748315428,975276.3738957945,925141.2842879359,878397.8345986301,835211.447561091,1030352.241493194,977958.0559135386,928084.3296900855,881459.0156187277,838272.5190241012,1032462.8461299769,980489.0186868695,930885.7320807675,884400.5898451856,841245.7186218655,1034444.2951850705,982881.2034265246,933552.8206504973,887223.5009625141,844124.3994746628,1036309.0243979301,985145.7893642707,936093.5386390141,889930.9970976746,846906.1019129719,1038067.9818625684,987293.0676561454,938515.90090093,892527.6051656024,849591.0083770235,1039730.8112964524,989332.4222291545,940827.6934214894,895018.4984758006,852180.9504608269,1041306.0216379301,991272.3648743276,943036.3149363801,897409.1061948919,854678.7634820961,1042801.1380462175,993120.5957990487,945148.7023623837,899704.8737469733,857087.8637240548
9,2023-01-15,1142504.1801086974,1084467.664833834,1030486.9343920731,981154.3769773953,936446.024225287,1146112.1077987324,1088372.63537862,1034298.2449937917,984558.6411599392,939201.9833728523,1149462.865808135,1092110.4824189562,1038092.628945513,988138.9638540634,942355.4578734932,1152569.677245321,1095653.5108447587,1041788.2203317943,991750.9067087236,945694.756103662,1155452.261539366,1098996.9322514783,1045346.1087952222,995315.0647125479,949096.1610289925,1158131.6188185313,1102146.7401516745,1048750.144712759,998788.2490216997,952486.357802481,1160627.8600187367,1105113.7410383713,1051996.422798444,1002148.0283204274,955821.8892822528,1162959.38525613,1107910.552274711,1055087.605132788,1005384.0973244915,959077.4469549462,1165142.6660094303,1110550.0874192633,1058029.7751300987,1008493.30015863,962238.9655153456,1167192.292373535,1113044.8088559404,1060830.664070836,1011476.6872733545,965299.4337428735,1169121.1278749339,1115406.383396557,1063498.643971292,1014337.740840797,968256.2933839585,1170940.4983003228,1117645.550838347,1066042.1581625994,1017081.2898820615,971109.7931847174,1172660.3808966344,1119772.1040688022,1068469.4061108103,1019712.8417433524,973861.9315745416,1174289.5795389677,1121794.9257459985,1070788.1775109626,1022238.1695477421,976515.7697665747,1175835.8807394623,1123722.0515259858,1073005.7743842227,1024663.0593374231,979074.9821279226
