,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2023-01-06,60907.91545326497,50990.92251511109,43735.78962263072,38276.86013680441,34063.23461670164,61776.17923772255,51699.708467662516,44286.44492425874,38684.44723516034,34345.278917061776,62593.55266966181,52387.48737096992,44841.62037545549,39117.80499116357,34670.829983338655,63361.06756225242,53047.99873174169,45389.13592944777,39559.93578492374,35018.89158127105,64081.64676589561,53679.094106309145,45922.692174423355,40001.160519021134,35376.990950061525,64758.853258869,54280.688212591165,46439.18878863506,40435.91855723573,35737.53803416983,65396.32579704647,54853.72173642974,46937.31326826353,40861.052289202955,36095.85414150943,65997.53042376619,55399.6189572463,47416.7660085531,41274.84420732964,36449.052182392035,66565.6614115174,55919.99869926643,47877.82061776257,41676.45589843141,36795.375144015336,67103.61351227693,56416.5196327052,48321.06822290764,42065.591188783226,37133.792353991565,67613.98765314849,56890.79872518092,48747.26620484647,42442.28890649752,37463.74630548353,68099.11136007348,57344.370237387295,49157.247850153646,42806.79291236074,37784.990266868575,68561.06460072756,57778.667392090974,49551.86832944688,43159.46939265612,38097.48214886778,69001.70647306836,58195.016701169916,49931.97271387176,43500.7536948614,38401.31406427492,69422.70058569546,58594.63924453335,50298.37753005078,43831.11597004294,38696.66499856227
1,2023-01-07,157588.66309617404,136221.50595814388,119625.59447381149,106574.343378778,96156.37919829051,159338.82900322985,137759.02841202004,120885.86514294978,107545.64702937298,96849.86744011837,160977.7313331415,139244.31753526878,122151.90170424977,108575.49105616046,97648.70228870182,162509.04302435723,140664.58015135804,123395.99156089567,109623.14615785507,98500.85103359338,163940.03037782238,142016.00245386473,124604.10583665228,110665.60974581956,99375.50944727144,165279.01660700465,143299.19378568584,125769.61044906813,111689.83316722776,100254.03812378728,166534.26829137094,144516.89850275445,126889.96423434584,112688.55276401903,101125.0428068317,167713.52786963157,145672.8127356077,127964.91335422473,113657.95183484546,101981.57698072423,168823.84614567235,146770.9635036856,128995.4727590961,114596.3013724947,102819.48934339476,169871.55409207853,147815.38373837783,129983.33843411988,115503.14656680678,103636.41626727619,170862.29714469134,148809.94678275968,130930.54318660212,116378.80853564366,104431.15116041781,171801.0947336164,149758.2881115756,131839.2537705542,117224.07359838352,105203.24103479151,172692.40701407276,150663.77496449515,132711.65175253243,118039.9969426959,105952.72374533571,173540.20029465534,151529.50206878036,133549.86477562922,118827.77754213985,106679.95434517653,174348.00744067243,152358.30116179472,134355.92847721194,119588.67823201633,107385.48902548775
2,2023-01-08,261981.8652843239,231983.71705747955,207607.11643822875,187736.96430313747,171415.80072712287,264304.1902587066,234135.99249327014,209448.15751595475,189204.975324589,172493.02177098437,266472.2768514586,236208.8220511326,211292.6214141923,190758.00684395494,173731.7780147806,268492.3280317673,238185.1342964983,213100.26078284442,192334.26564075614,175050.73497705464,270375.10546335555,240060.46007135793,214851.05525709793,193899.09547890382,176401.88770221162,272132.5642835722,241836.45073307207,216535.85539977555,195433.04778213118,177756.33305005648,273776.40350207384,243517.6432194255,218151.4810508255,196925.48167572104,179096.53175366909,275317.478224417,245109.8016385145,219698.05032621205,198370.9781309713,180411.90514550827,276765.6069493565,246619.05751877534,221177.4802613912,199767.25936819578,181696.2345298944,278129.5587564946,248051.46772644785,222592.62717179483,201113.9472933927,182946.07721331637,279417.118552273,249412.79568292576,223946.78745205537,202411.8059953023,184159.77680337013,280635.18163980293,250708.41342933354,225243.40664330547,203662.2716969903,185336.83162642832,281789.8544742622,251943.26913433863,226485.9112277068,204867.15760134166,186477.48466366524,282886.5510351424,253121.88951017056,227677.61378670976,206028.46732356356,187582.45361963625,283930.08046328294,254248.40010079264,228821.6624060204,207148.27687708053,188652.75136683218
3,2023-01-09,374469.9852451159,337078.08567992586,305759.4488855626,279576.2079251347,257611.70429012048,377241.46205631166,339738.737489362,308103.69344775326,281492.2384690868,259047.01645827992,379824.82223860547,342296.6659957919,310448.2894252984,283516.2082968282,260695.58600098995,382228.30614065775,344731.40125140134,312742.2113281042,285567.2822104596,262448.57528104086,384465.4558863086,347038.06423571275,314960.3737930172,287600.34630912007,264241.89175385085,386551.1029682842,349219.28168172075,317091.5812020249,289590.275294757,266037.08739558904,388499.6579596629,351281.166596685,319132.2241601975,291523.4914447274,267810.9565327068,390324.43074140156,353231.2687560207,321082.8529326667,293393.23878533015,269549.6137517734,392037.41976977105,355077.5202336876,322946.26037687087,295196.8451211346,271244.99709665956,393649.3125867522,356827.69928297837,324726.3876337207,296934.0917038562,272892.7400513323,395169.57623502344,358489.16995525063,326427.6923009232,298606.2213461605,274490.84372782195,396606.5799404188,360068.7699575005,328054.78303718864,300215.3251382437,276038.83110755053,397967.722998392,361572.7780576068,329612.21058312873,301763.9590846131,277537.19923463435,399259.5557300762,363006.9233549384,331104.3518530762,303254.9031583951,278987.0596787511,400487.88870083983,364376.4155159935,332535.3498341163,304691.0100112434,280389.90023719345
4,2023-01-10,493927.3801146654,450198.6601332989,412674.20848510147,380661.9077582352,353347.0576113436,497046.1197248456,453280.3756345016,415454.91143197456,382980.54034848895,355113.52928580245,499949.7775242462,456239.34285858663,418232.56403068936,385427.05918180913,357140.6059561948,502648.3113689658,459052.3816527994,420946.8416039712,387903.4873995058,359293.90772693197,505157.53509571246,461714.37944613094,423568.3470777669,390355.3480241133,361494.4407222464,507494.6048822406,464228.86642750714,426084.19814911805,392752.4772632044,363694.9531845468,509676.1098231075,466603.3431306956,428490.4966792719,395078.73016608437,365867.04601481993,511717.3241486387,468846.90725115634,430788.2425063476,397326.2207487151,367993.83230294264,513631.98548645154,470969.0393562876,432981.05301141157,399491.9887897404,370065.6040123831,515432.30816714006,472978.99062764744,435073.86564383464,401576.0183584089,372077.1967114202,517129.0951317051,474885.48969612527,437072.1920106124,403580.03491765354,374026.34706156986,518731.8839745667,476696.62019826577,438981.68900697783,405506.76362215163,375912.6481705985,520249.0970953567,478419.78933166375,440807.91555934853,407359.4672879871,377736.8742461944,521688.18268193805,480061.7438225462,442556.19942957704,409141.65728402854,379500.5383876922,523055.7414226677,481628.6092334775,444231.5697263945,410856.9130433434,381205.6003306812
5,2023-01-11,618205.9156692319,569120.9892576031,526150.6870358986,488870.90848985006,456603.0685870418,621588.2138737997,572543.5934850862,529300.8034877899,491542.1127012054,458667.61719082587,624734.7543732396,575826.8561794321,532444.5152108951,494358.2097358699,461035.0229969779,627656.8434551375,578945.4633540529,535513.6626201288,497206.1921693853,463547.8357762918,630372.0560167603,581894.1724520867,538475.2551421623,500023.4103139262,466113.6328068067,632899.3420093169,584677.2972288269,541315.0421947356,502775.33462987863,468677.25727619306,635256.96711098,587303.5054838478,544028.9368487342,505443.62463770347,471205.67215909925,637461.7145902707,589783.1843038505,546618.3687168567,508019.4566474388,473679.3326059818,639528.6562949198,592127.0974104296,549087.695431187,510499.6661484739,476087.09385532397,641471.176536359,594345.7123699555,551442.7335819739,512884.4576347822,478423.1163160808,643301.1009867574,596448.8819006378,553689.9169645766,515176.0167113649,480684.9383188515,645028.8609749107,598445.7139534763,555835.8147857846,517377.6562014523,482872.25187581195,646663.660938927,600344.5419123323,557886.860157742,519493.2856993207,484986.1124578051,648213.6349186145,602152.9465624301,559849.2029518065,521527.08082186774,487028.4225547268,649685.9867838728,603877.8032088313,561728.636644738,523483.27768055827,489001.5911572973
6,2023-01-12,743231.9862369722,690026.976710172,642603.2512040173,600835.8837956613,564217.5001998619,746778.49993057,693694.2299256843,646039.6419470789,603794.4705039163,566534.1336817626,750075.8106191698,697209.5974226479,649466.4157001288,606911.2907326282,569188.9716597943,753136.1828681785,700546.3268636863,652809.3820095402,610061.0612234802,572004.9679854598,755978.3871268366,703699.1758571884,656032.8331464939,613174.4981768469,574878.3246722633,758622.570117187,706673.1044012987,659121.5314459568,616213.5638008747,577747.2184463962,761088.1049628059,709477.6897588039,662071.3132718037,619158.1857151156,580574.7274717548,763392.764780071,712124.3043034147,664884.0036221569,621998.833232078,583339.1042220646,765552.4918729865,714624.6821028327,667564.5879413498,624732.2286782651,586028.0355527804,767581.4304493128,716990.2042774167,670119.6103782902,627358.8041531676,588635.1557953303,769492.0678783202,719231.5634944651,672556.2585351134,629881.162525067,591157.8771168219,771295.411745999,721358.630000941,674881.841575381,632303.132322431,593596.012759716,773001.1691647002,723380.4241095148,677103.497725176,634629.1819961343,595950.8895545764,774617.91376551,725305.1433838883,679228.0371322935,636864.0557905145,598224.768867065,776153.234999071,727140.2161044515,681261.8650345419,639012.5483679135,600420.4655622035
7,2023-01-13,868515.2253895598,811973.7576233728,760819.3104877026,715192.0327563534,674748.483803955,872174.6180308706,815823.3794756838,764480.6672753105,718385.3386760164,677277.2862260898,875575.9628970433,819511.880326303,768129.8018101039,721747.5994424025,680173.8622788818,878732.1114402472,823011.4289043876,771687.7979867946,725143.5029404032,683244.6359198989,881662.5935130232,826316.7730084425,775116.8285216049,728498.3616620355,686376.2303311452,884388.3263992178,829433.3435120574,778400.8946326638,731771.2938647054,689501.2239750053,886929.4017560952,832371.3849595642,781535.7847889299,734940.8353866284,692579.4461236413,889304.2383419854,835142.9942391984,784523.6447443328,737996.8996444639,695587.3190233175,891529.3485656356,837760.6197148261,787369.961221822,740936.135828635,698511.5698344118,893619.3760395397,840236.3154343722,790081.8562296267,743759.1786732379,701345.412354462,895587.2443106959,842581.3930578824,792667.1143815591,746468.986097319,704086.1727238098,897444.3418569743,844806.2848018792,795133.6297890994,749069.8198191506,706733.7840978777,899200.7088822543,846920.5175446135,797489.097313587,751566.6147372513,709289.8173352197,900865.2109957212,848932.7438133945,799740.8477735511,753964.5878180721,711756.8494004329,902445.6943256523,850850.7998990148,801895.7683849084,756268.9967696234,714138.0484306533
8,2023-01-14,991415.054108738,932352.11253283,878227.534310077,829419.0948099251,785738.5647450747,995135.5237408163,936321.1270220737,882050.7547419353,832791.4950082458,788436.0897353404,998593.5998795761,940123.0751966172,885859.7949582735,836340.8674536146,791524.7367307347,1001802.376158271,943729.415289209,889572.3518369901,839924.2452348147,794797.7509571328,1004781.7269769995,947134.8812845208,893149.0884567599,843462.8312325208,798134.1339080262,1007552.930576136,950345.2037160969,896573.4728603124,846913.5935207901,801462.0236974076,1010136.4210420618,953371.0552100149,899841.2714518037,850254.0270653766,804738.6850007781,1012550.928393884,956224.9985804686,902954.8709180914,853473.6411179585,807939.1062546063,1014813.2423057517,958919.9420526793,905920.1267327662,856569.0469871728,811049.2730821199,1016938.2510311919,961468.3731720082,908744.5829856059,859541.049590209,814062.08517646,1018939.0931278977,963882.0025154582,911436.4586957748,862392.8910282338,816974.8186741945,1020827.3458909106,966171.6245811961,914004.0725268852,865129.1747297535,819787.5184089006,1022613.2155023017,968347.092900524,916455.5225883306,867755.2008413265,822501.9635669192,1024305.7137688189,970417.3534532931,918798.5163343747,870276.5547844641,825120.9944486264,1025912.8159310607,972390.5057640566,921040.2892004297,872698.853997755,827648.070765866
9,2023-01-15,1118294.0836908254,1056372.9017008082,999117.5487490039,947087.5476138287,900199.0909354375,1122119.346641365,1060486.975175836,1003112.8343214379,950639.1018351733,903060.553595165,1125675.4818145065,1064427.9768289023,1007092.877701323,954376.3277594859,906336.202995902,1128975.8090898632,1068166.3129914682,1010971.710282898,958148.6392753302,909806.5683833673,1132040.64426793,1071696.5138074704,1014708.2796816103,961873.0985116465,913343.2701984176,1134891.7698918218,1075024.507448145,1018285.366122663,965504.4619078839,916870.1196076106,1137550.1204589433,1078161.3454197824,1021698.5968759417,969019.1113819625,920341.8575486992,1140034.894499226,1081120.039562435,1024950.5106496162,972406.0792014224,923732.0386759666,1142363.308293352,1083913.9609511574,1028047.2641093276,975661.8702066145,927025.8847958856,1144550.633148412,1086556.0457896579,1030996.7721876411,978787.3972232657,930215.9477854249,1146610.3492194456,1089058.4260125204,1033807.649616554,981786.1311794887,933299.4150160995,1148554.3375494275,1091432.2849749206,1036488.6106099779,984662.96863912,936276.4029032894,1150393.074253871,1093687.831533865,1039048.1350376843,987423.532711133,939148.8596455666,1152135.8112117776,1095834.334569288,1041494.2913468683,990073.7406452396,941919.8514976471,1153790.7375235271,1097880.186208026,1043834.6521070786,992619.5379840513,944593.0948724085
