,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2023-01-06,43902.68616109624,36082.478917162145,30559.191056985394,26502.371653477425,23424.933013368794,44603.62498677315,36630.63834607042,30972.99040496186,26802.49245279949,23629.51618742404,45266.019030063864,37164.0695291131,31391.061030649627,27122.07106631356,23865.904896276872,45890.278746649914,37677.7740824252,31804.229928077228,27448.634110754167,24118.933511086103,46478.3899373007,38169.91460219942,32207.69883561162,27775.049240544424,24379.578340810625,47032.912179315936,38640.25595575432,32599.057433982955,28097.192672602665,24642.333193071,47556.51951573756,39089.37283143496,32977.236580143486,28412.69935132456,24903.790172786314,48051.79259264473,39518.23281498339,33341.932385073655,28720.261160325776,25161.834042744995,48521.13108271261,39927.97230965985,33693.27848435973,29019.21767002983,25415.166307279516,48966.724439864964,40319.775160115765,34031.65470257941,29309.310031037407,25663.014643069775,49390.55070666771,40694.8075048822,34357.573278840326,29590.529248661063,25904.95054412575,49794.38823855072,41054.184019103144,34671.61045094949,29863.020769472827,26140.77221790033,50179.83269930199,41398.95187955501,34974.36517561622,30127.023555244363,26370.427929676138,50548.31548447425,41730.08475379986,35266.43437764087,30382.83075043436,26593.96502526855,50901.12169371333,42048.48240000949,35548.39840412575,30630.76412449105,26811.4955951823
1,2023-01-07,108214.70932169953,91228.98065075043,78694.1088524495,69184.98124854724,61792.59348755424,109647.68105499234,92413.31356773512,79624.94895897873,69880.93267430746,62278.288433483045,110996.74589242255,93562.09205597517,80562.92285010582,70620.4940386837,62838.653532559474,112263.64868284846,94664.93933053088,81487.47451482924,71374.61877019663,63437.47259416246,113453.23689817583,95718.34574377009,82388.0115371003,72126.79598593715,64053.24987555694,114571.40167118557,96722.23828911822,83259.35443337672,72867.56520043765,64672.92243066567,115624.15067859495,97678.24632640734,84099.34310650034,73591.57577061282,65288.45373950044,116617.20109777024,98588.79626621431,84907.52377331282,74295.93676263202,65894.89844464471,117555.81823222365,99456.63019395953,85684.40484688697,74979.25611465929,66489.25914214207,118444.77113769579,100284.5490300585,86431.02487961516,75641.06417807481,67069.78888819204,119288.34296816477,101075.27774508645,87148.69746691897,76281.45944880712,67635.55404353297,120090.36530196194,101831.39808863626,87838.85926301384,76900.88668094022,68186.1540751388,120854.26118995294,102555.31897659102,88502.97940283976,77499.99591528301,68721.53859355545,121583.08944992271,103249.26783049539,89142.50611721812,78079.55204213585,69241.88605468645,122279.58670170006,103915.29336793402,89758.83615209255,78640.37649944019,69747.52236639328
2,2023-01-08,192914.1759532356,165903.28529761132,145211.31930243416,129078.63567029501,116273.97942628355,195073.49343810763,167775.55640939777,146734.49671483715,130247.3275849953,117106.11350916528,197100.08244281047,169586.87881985688,148266.09850995126,131487.20702111948,118065.01284299037,198997.70310440016,171321.40193568225,149772.60391543343,132749.33955702453,119088.33815113916,200774.63968453984,172974.17435340694,151236.95520554844,134006.04528150384,120139.16491864447,202440.58562440175,174545.64141964505,152651.00369593903,135241.58272719567,121195.13042922296,204005.26247550675,176038.8763346898,154011.5421626228,136447.15320450073,122242.54553944967,205477.82956254165,177458.14406561476,155318.13355653462,137618.09897097887,123273.04734329715,206866.663243822,178808.1445587544,156571.8847541256,138752.27388426923,124281.62193365532,208179.3094889562,180093.61410342238,157774.73779325117,139849.06778564697,125265.3988077582,209422.51552130783,181319.12023382305,158929.05387717497,140908.80850686057,126222.89611319479,210602.29450279553,182488.9628630317,160037.3674535313,141932.3885964001,127153.53766129684,211724.00076097882,183607.1340659145,161102.24119354412,142921.02916933462,128057.33820776662,212792.40478599898,184677.31002808898,162126.1817986889,143876.12921221714,128934.69534673892,213811.76314428105,185702.86020102928,163111.59288477403,144799.16908704516,129786.25031119383
3,2023-01-09,289398.2976363571,253272.79688944144,224634.6113302241,201724.90259968874,183176.6786371228,292140.6902272994,255756.78774242927,226721.8891665897,203366.53172122233,184368.4614810876,294708.13253254537,258154.5468408104,228816.75711166344,205105.53698677372,185740.24737197868,297106.598582369,260445.70844276622,230873.44381276096,206872.99249747093,187202.37369534333,299347.63646851684,262624.4064524678,232868.92858201696,208630.0890737777,188701.83693339606,301444.4046368735,264691.88522725884,234792.45759763388,210354.91219340282,190206.64052676043,303409.93817054725,266652.796870241,236640.04510501024,212035.35022720482,191697.29159781837,305256.4254428246,268513.29208533076,238411.47107365972,213665.11931348263,193161.9644504482,306994.9526949008,270280.022315478,240108.59105819117,215241.4546183514,194593.64399842187,308635.4650437014,271959.6203484816,241734.363467899,216763.73052833704,195988.38512567454,310186.8239927442,273558.43808248657,243292.28181598135,218232.617050188,197344.2241901588,311656.90343940986,275082.4244478083,244786.0415583421,219649.55492428088,198660.4835620202,313052.69620292523,276537.0799700504,246219.34561003893,221016.4249012224,199937.31937297332,314380.4179625646,277927.452799455,247595.79309279163,222335.33777099432,201175.4232228268,315645.60292720847,279258.1564599473,248918.81853571854,223608.50078464934,202375.82326906078
4,2023-01-10,391025.5789843835,347332.4906916646,311650.82957305026,282443.02350751223,258362.75710735965,394184.4936853072,350303.62827087817,314220.49823411845,284510.25708202505,259890.87626036987,397136.6298010576,353166.6110771094,316795.4954489419,286697.28581435315,261648.04635031195,399889.8920944048,355897.7316254977,319319.66137555323,288917.124543889,263518.87880519393,402458.4508795877,358490.6533730195,321765.03477000166,291120.99478534475,265435.2854900772,404858.17388105276,360947.4903605279,324118.81072533876,293281.52574768977,267356.2847345604,407104.64901998226,363274.352880101,326376.5084646829,295383.74288297555,269257.01803599164,409212.3752206184,365479.06197842455,328538.2485141524,297420.01959925884,271122.50029573997,411194.4903088637,367569.9630291048,330606.6628729265,299387.14865308395,272943.92906657513,413062.74467154685,369555.31436865084,332585.69671527634,301284.5948946712,274716.437015047,414827.5825000666,371442.983616317,334479.91238345404,303113.42945525504,276437.6879239879,416498.264276937,373240.3106932506,336294.08360931475,304875.6685283784,278106.9809644503,418082.9988522837,374954.06126267085,338032.96076736547,306573.85826705536,279724.6693092751,419589.07053211395,376590.4285228798,339701.1383779007,308210.8124563095,281291.7775577831,421022.95507280086,378155.0598603453,341302.98429086513,309789.4466156099,282809.7473493179
5,2023-01-11,495812.10174921516,445740.8857842988,403845.9231776904,368883.81228419044,339606.0159461901,499276.9422051828,449100.3395325809,406822.2171608057,371325.0428349485,341439.3984507158,502511.4228308478,452333.56420416327,409801.2049500548,373905.1181448575,343545.87609606003,505524.92464333825,455414.2888803328,412718.02320620546,376521.15278585406,345786.604615987,508333.588611266,458335.899079278,415540.6307884085,379115.6419571877,348079.77990554,510955.30574667425,461101.2869382678,418254.58433288365,381656.4830517751,350376.2862502897,513407.56357679266,463717.7960173979,420855.0709880696,384126.2580289181,352646.43948760635,515706.5760745905,466194.6367875416,423342.57410337875,386516.232349025,354872.4411509118,517867.0010107607,468541.5517156887,425720.44554721605,388822.8770763073,357043.9230330246,519901.92418776196,470768.13250055327,427993.5177574896,391045.79688507924,359155.23550529446,521822.95906416763,472883.48507683084,430167.30066694575,393186.4685480865,361203.7551347082,523640.3893881917,474896.0822107618,432247.51590280025,395247.4601849511,363188.80633113725,525363.3205524025,476813.71723834006,434239.8292493791,397231.9425941735,365110.9625506868,526999.8240632296,478643.5114152192,436149.7012767681,399143.38161160675,366971.58737283235,528557.0687428454,480391.94843781734,437982.3089763811,400985.3445133503,368772.5300872636
6,2023-01-12,604858.8800096556,549114.6319203565,501508.00238067395,461128.3721368132,426862.4919291999,608567.9641600916,552803.8222025773,504843.17596291297,463909.309790473,428979.56953521754,612027.7996752197,556351.301869739,508178.4790979881,466846.1215811501,431410.4409361791,615248.9473450445,559728.6422140733,511441.38586981024,469821.4692308613,433994.41278968455,618249.1244659555,562929.0114782582,514596.2829931891,472769.9384459893,436636.9242010423,621047.8413286291,565955.979157144,517627.31110997865,475655.1569287405,439281.31277340074,623664.1063777276,568817.9501638156,520529.39223323856,478457.518837052,441893.4334057065,626115.5072169125,571525.3265473952,523303.3545161794,481167.31426073046,444452.9012209332,628417.9193543504,574089.046805324,525953.2061871013,483780.7505714394,446947.9217513599,630585.4987778653,576519.8428289632,528484.5804554159,486297.5847925415,449372.1459547528,632630.7962044097,578827.8786252183,530903.8383377962,488719.68424156343,451722.7088904137,634564.9157803927,581022.5943234079,533217.5503090866,491050.1373920637,453998.981290248,636397.6818283339,583112.6603824273,535432.2002233837,493292.6986876371,456201.7616081615,638137.7972045469,585105.9898340758,537554.0214007786,495451.44007565035,458332.74626858806,639792.9866594188,587009.7796258006,539588.9119005421,497530.53257630346,460394.17896307056
7,2023-01-13,716066.6977172918,655575.4164131242,602926.997385744,557605.169739094,518680.3799349654,719944.9035335986,659524.0532324206,606563.3033442881,560682.9813748066,521052.68329109694,723560.3439727743,663318.3405987333,610197.1652130677,563931.1959929243,523775.13527897885,726924.4829117989,666928.2136747172,613749.6521411899,567219.8264058441,526667.327678412,730056.2021977326,670346.7332452427,617182.1971831733,570476.5628494623,529623.2093221536,732976.1931091198,673578.0597329768,620477.8011323056,573661.3341341363,532579.3399536798,735704.5653482588,676631.48341167,623631.2099815113,576752.6602873948,535497.58539961,738259.8961986614,679518.3864054431,626643.5832214108,579740.0169428833,538355.2634878759,740658.9351789805,682250.6837893943,629519.5166526639,582619.416577413,541139.3274095694,742916.6039622168,684840.034070855,632265.3471324231,585390.7814885313,543842.8286989207,745046.1220185705,687297.4581910186,634888.1768858614,588056.3487454028,546462.7128594834,747059.177445622,689633.1776318738,637395.3116234572,590619.6864400833,548998.4174677338,748966.1051640521,691856.5697249597,639793.9410778093,593085.0806542273,551450.9659192591,750776.055513787,693976.1843561946,642090.9634097319,595457.1516636923,553822.374043529,752497.1465224334,695999.7911799226,644292.8956032393,597740.6141611831,556115.2579367512
8,2023-01-14,830669.6155437346,766001.4148347591,708733.4539684996,658774.1716265209,615402.3260843056,834679.9397074529,770169.0894510684,712634.8849218179,662120.7382541983,618010.5145657063,838416.9271819742,774171.6912519864,716531.508173652,665650.7383661766,621002.3372088711,841892.7443204324,777977.7788489126,720338.7596954159,669222.7286561999,624179.1401277679,845127.1813519847,781580.327854079,724015.4822392394,672758.1638189477,627424.2477580431,848141.8518641582,784984.0030402951,727543.6841883563,676213.6361492741,630667.9617700226,850957.7262602365,788198.8471667949,730917.967211005,679565.9826958894,633868.4727776995,853594.1557589851,791237.0742564079,734139.7921005392,682803.9552359781,637000.9891067686,856068.5736688212,794111.4277774236,737214.280341306,685923.4022633232,640051.3205370895,858396.5009260899,796834.3519378854,740148.3954907082,688924.4068288626,643011.9780077401,860591.6805640155,799417.5940944041,742949.8984760636,691809.5504911501,645879.7441627209,862666.2579731848,801872.0379359233,745626.7475181904,694582.8439869261,648654.1294480799,864630.968014573,804207.659776665,748186.7582129748,697249.0619514945,651336.3749881191,866495.311599464,806433.549075981,750637.4177745655,699813.3272787443,653928.8004512491,868267.7149102848,808557.9606513948,752985.7912413876,702280.8521555527,656434.3736606601
9,2023-01-15,943970.7146846232,876296.366535602,815306.9311292756,761392.945888355,714091.0627948336,948032.1209465008,880601.372335239,819402.9297040394,764953.1536874583,716896.2301308031,951815.5578836552,884733.9105712164,823491.7882044419,768706.6932076341,720112.6816575275,955333.5850006625,888661.7742984528,827484.8443141526,772502.989201436,723526.4558802932,958606.4437285165,892377.9842193909,831339.1026417377,776258.5602633611,727011.987512714,961656.1838781319,895887.6100915879,835035.9125865586,779927.3878496732,730494.3650068068,964504.1711574905,899201.2426113446,838569.8365202821,783485.0199132122,733928.7381115201,967170.1048388781,902331.681139878,841942.6165721955,786919.6819816952,737288.5884575918,969671.7206650557,905292.2412583352,845159.8127528607,790227.1384592056,740558.8075921782,972024.8009367421,908095.9031300998,848228.8939329464,793407.6421498411,743731.4906265985,974243.3142599468,910754.9050755458,851158.1431301023,796464.0857243327,746803.31746613,976339.6008985396,913280.575048792,853956.0302091809,799400.8644660248,749773.8897336554,978324.5644503452,915683.2887122697,856630.8577662717,802223.1698007113,752644.6576072931,980207.8523739184,917972.4933110755,859190.5686656791,804936.5487756722,755418.2187050789,981998.0185619427,920156.7638072945,861642.6498363535,807546.6302904614,758097.8559741814
