,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2023-01-06,45015.70396030501,37176.56091876291,31597.699321339973,27476.32669547188,24335.932751929548,45715.11261279118,37728.275743445985,32016.933371294766,27781.933587167267,24545.083724883258,46375.59244997659,38264.8354220412,32440.282202804636,28107.22777802476,24786.68195646341,46997.63566868116,38781.2457546898,32858.45838644871,28439.497264310816,25045.205703946405,47583.29584023079,39275.697658383135,33266.617349358916,28771.481267599516,25311.42358888377,48135.18736840566,39747.992727624325,33662.3375242926,29098.98879696845,25579.706964198056,48656.02819180987,40198.74361774262,34044.55648689485,29419.62245342944,25846.57602912638,49148.43396674101,40628.953960148894,34412.98593709278,29732.0619110162,26109.874367300617,49614.83227177089,41039.793031136374,34767.77904604973,30035.646185644462,26368.281315857224,50057.43482278463,41432.474036135594,35109.336442036954,30330.12253568894,26621.014279281993,50478.23744642821,41808.18904703892,35438.19099434771,30615.491747529642,26867.64195156261,50879.03272457062,42168.075513060045,35754.93864852428,30891.910914417527,27107.964413025536,51261.42771302602,42513.20055777133,36060.19678895138,31159.6314136871,27341.934677629197,51626.86293328162,42844.555306244634,36354.57935144264,31418.958912513124,27569.60654994052,51976.63079238082,43163.054802174964,36638.68226409913,31670.22741791298,27791.099528326977
1,2023-01-07,107277.5454672523,90773.48846724475,78545.75155682558,69233.32598351754,61968.20236976841,108666.98468791571,91926.03957887534,79455.21296965002,69915.83617433869,62446.10678081583,109974.81159072088,93043.6570665269,80371.35201510398,70640.90245176159,62997.351855270885,111202.77730532487,94116.28954821455,81274.09935857268,71380.02487470786,63586.27026375873,112355.63050828948,95140.56957202652,82153.13425403589,72117.018241798,64191.70120918507,113439.12171429655,96116.46973071358,83003.42845547656,72842.62160451713,64800.79433352709,114459.1059955541,97045.61334628056,83822.90305966005,73551.60842685032,65405.65197925401,115421.15001268337,97930.39345201358,84611.1436495012,74241.16511899306,66001.42133779293,116330.37701121981,98773.50492884648,85368.67261253223,74909.94714602384,66585.16746334218,117191.42497801308,99577.69531522803,86096.52696383907,75557.51296132199,67155.18577733162,118008.45759769136,100345.63438191997,86796.00933725598,76183.97630761808,67710.57128696758,118785.1982501958,101079.84932801212,87468.53982361962,76789.78858989978,68250.94256913837,119524.97230018166,101782.69652703735,88115.56782576714,77375.60072378904,68776.26161957922,120230.75046759486,102456.35356868926,88738.52023527773,77942.17459762623,69286.71448492905,120905.18991051086,103102.82236100588,89338.77185654547,78490.3260679802,69782.63121830983
2,2023-01-08,192460.055992456,165844.89656229457,145437.31998515202,129502.84314483442,116834.19107984207,194589.50293168545,167691.81082408692,146941.53857161725,130658.71515810864,117658.53197964438,196588.04206222808,169478.46944880683,148453.89862907786,131884.8305706341,118608.33201495426,198459.3918424934,171189.2603744834,149941.3094336515,133132.78323408472,119621.80824602055,200211.72901921772,172819.32204421787,151386.9461890447,134375.2047049232,120662.37486326546,201854.61756071803,174369.113506922,152782.783781657,135596.54138859414,121707.88309667216,203397.6473904491,175841.682686899,154125.6758391002,136788.10886146364,122744.78252043757,204849.852752432,177241.25002326496,155415.2094200091,137945.31831054643,123764.80171786436,206219.49491483183,178572.4623908396,156652.49377337343,139066.0638766896,124762.98764653482,207514.01567936793,179840.00033239773,157839.4604984836,140149.75724373717,125736.51028695039,208740.0687786754,181048.3761568396,158978.45297141676,141196.7360681608,126683.91442038854,209903.58379987022,182201.83676357364,160071.98376965977,142207.8948441212,127604.64092504616,211009.84046311444,183304.32425661047,161122.59173429917,143184.45147218747,128498.7149316276,212063.54264429395,184359.46823259743,162132.75907624248,144127.7983781683,129366.5396862264,213068.88736459686,185370.59499520448,163104.86506592043,145039.40724178532,130208.75872204147
3,2023-01-09,289532.5330179208,253917.83127417523,225628.235205632,202954.39686386278,184563.75499653709,292234.9266938424,256371.1004935432,227693.7265798675,204581.85853284335,185747.28753941224,294764.3747471052,258738.75454283284,229766.3662767485,206305.58392215808,187109.3948602855,297126.8678722978,261000.73817849162,231800.87930096555,208057.22526032006,188560.99221981008,299333.8744795444,263151.3189341429,233774.52077230508,209798.31873701088,190049.43121841596,301398.43421832065,265191.7819587803,235676.6892400175,211507.1619716196,191542.94276602758,303333.45135271584,267126.77082414186,237503.47964875205,213171.77557244754,193022.18417299364,305150.9842803384,268962.40182263765,239254.70998142014,214785.95822275663,194475.43104767732,306861.99601143977,270705.27909041295,240932.24799621716,216346.99585126762,195895.7375804965,308476.3175946543,272361.98252706684,242539.04862928044,217854.29284258527,197279.20634389605,310002.7062949211,273938.8097018877,244078.59247647555,219308.53542455015,198623.90649571,311448.94140313414,275441.6560976952,245554.55653597397,220711.17132612306,199929.1827466613,312821.93016291835,276875.970935456,246970.6222010116,222064.08207163122,201195.20611272877,314127.8109453725,278246.7538402454,248330.3655894646,223369.3750481602,202422.67770153232,315372.04811816994,279558.57285766915,249637.19775634067,224629.2513230587,203612.631268795
4,2023-01-10,392894.48104053136,349709.53329092544,314368.6543167891,285382.3935187208,261439.79776238542,396016.3991533098,352652.8216812011,316919.47900067485,287438.3695542729,262962.2926559379,398933.268238136,355488.36570348067,319475.0987953126,289613.11621309834,264712.74564573454,401653.0363841681,358192.7612764798,321979.792212107,291820.0997365455,266576.1344451423,404189.8231153111,360759.81508791284,324405.8524982004,294010.8221393111,268484.60573619616,406559.40448023047,363191.69803023664,326740.62415399053,296158.0936823748,270397.33726898214,408777.2616624317,365494.5296760493,328979.7131516494,298247.0596866806,272289.5832915397,410857.7844766555,367676.11409362854,331123.28822939587,300270.1741353036,274146.4408006805,412814.00540737103,369744.76550197584,333174.005377817,302224.28426892636,275959.1683684794,414657.5760541786,371708.7039092437,335135.8183347039,304108.89164301025,277722.9446747127,416398.8494230531,373575.7555420785,337013.28812799504,305925.09173334966,279435.46853949985,418047.0025631007,375353.21828212903,338811.18087730126,307674.9163514407,281096.06597313855,419610.1683432868,377047.81651318324,340534.2353952045,309360.92103702493,282705.11076289316,421095.5620317857,378665.70370874414,342187.03225002065,310985.92447785026,284263.6433337114,422509.59670216485,380212.48950512166,343773.92399412295,312552.84385540296,285773.11742771085
5,2023-01-11,498712.54195849353,449350.9944595883,407938.40580494213,373296.0111156937,344222.22058526793,502125.4383683413,452671.0068963533,410887.59066292935,375720.6467371287,346046.9726194817,505310.44777070306,455865.41391536366,413838.74554543075,378282.6596968659,348143.18362510734,508277.00403342553,458908.3692372049,416727.6360037453,380879.8330619489,350372.58130268415,511041.1698574618,461793.4557758128,419522.5831427288,383455.0743087402,352653.7248930252,513620.70172159467,464523.6410563027,422209.35399290384,385976.54445172707,354937.742333293,516032.93251336814,467106.277233115,424783.25597020553,388426.99804742396,357195.11936293414,518293.91912149783,469550.54680901644,427244.8375716711,390797.81504680065,359408.17936818005,520418.1682528056,471866.1447957968,429597.4814034603,393085.5426919055,361566.64330006915,522418.62444117945,474062.6058000869,431846.02890209283,395289.8359306548,363664.9276767721,524306.7710286912,476148.97477465763,433995.9852220284,397412.20395257766,365700.45858226734,526092.7729172964,478133.6629686962,436053.0585451954,399455.2348039494,367672.59767254314,527785.6274281933,480024.40359764063,438022.89587624656,401422.1103821568,369581.94644444814,529393.3079972627,481828.26026611327,439910.9358700612,403316.301341612,371429.8895206883,530922.8945034398,483551.6620397985,441722.33192857006,405141.37529688067,373218.29185845103
6,2023-01-12,609854.3983738064,554898.4446335543,507829.4469919371,467806.44708581857,433766.3769790959,613508.5069795353,558546.1344504831,511136.33830672887,470570.4370087218,435875.1022434065,616915.8576146058,562052.6724038025,514442.5192637397,473488.7206375511,438295.9573310737,620087.0904545421,565390.0894248985,517676.1251365581,476444.6382979337,440868.78429483285,623039.8601160931,568551.7747482092,520801.92945196794,479373.20077913656,443499.36962503765,625793.551188986,571541.3893712693,523804.3021399983,482238.3126746225,446131.29029094364,628367.0220434606,574367.3578438689,526678.3000774664,485020.55329341587,448730.5731424469,630777.7050325747,577040.0617730147,529424.8278620413,487710.3385336739,451276.9604293965,633041.3246769831,579570.3972509638,532047.9332068438,490303.96187001816,453758.75355959946,635171.8946464304,581969.0423639674,534553.2650878504,492801.2391597595,456169.67679448746,637181.8337817024,584246.1021587602,536947.1849695587,495204.0774449847,458506.92175722483,639082.1251899339,586410.9563569663,539236.25390229,497515.5913241964,460769.9030775055,640882.4826815857,588472.2157470131,541426.9400358726,499739.551575433,462959.45337403787,642591.5084789972,590437.735683908,543525.4571068997,501880.0393750088,465077.2956658018,644216.8357871106,592314.6581167676,545537.681330228,503941.2297898909,467125.69429384416
7,2023-01-13,722764.4986842774,663278.0624950681,611327.1521429572,566478.8109802456,527863.8647180673,726573.5853020145,667173.5056716781,614926.3811594532,569533.647149006,530224.1608801102,730123.1375350882,670915.3955021868,618522.1466251467,572756.8299207117,532932.3035194711,733424.7027022147,674474.2468634748,622036.3806020475,576019.2974844115,535808.6752556488,736497.0693405991,677843.3936902077,625431.0155063678,579249.3131575724,538747.7301620513,739360.7583767788,681027.1042282314,628689.3438886988,582407.1739272546,541686.3691523713,742035.6805717088,684034.6855526944,631806.2798860128,585471.6421142215,544586.6977190581,744540.2095373103,686877.4863830967,634783.0752596686,588432.3549813076,547426.2068393945,746890.8979662734,689567.3613257417,637624.3705229769,591285.4332348193,550191.977292814,749102.4828281244,692115.8947649092,640336.5170602492,594030.8711483366,552877.1559154596,751188.0130176116,694534.0277313519,642926.612388295,596670.9526721701,555478.7600248066,753159.0204978784,696831.9006334892,645401.9453237058,599209.27515273,557996.2815710431,755025.6979576226,699018.8112543055,647769.6811335429,601650.141413894,560430.7851638234,756797.0664705321,701103.2329711411,650036.6889971636,603998.1795318697,562784.3177893866,758481.1266737296,703092.8627674066,652209.4544404758,606258.1055896493,565059.5189357558
8,2023-01-14,840262.6169249006,776683.3726963382,720176.2692517029,670736.4178952548,627705.4360887803,844202.1066447728,780796.5438700874,724039.8297418779,674059.7817381946,630301.8753626214,847871.4228220213,784745.342094645,727897.4445443625,677564.4159309583,633279.615415995,851282.8450065987,788498.9353877241,731665.4366749309,681109.8072710945,636440.7580882494,854456.0915349952,792050.5951769648,735303.1689759286,684617.9933802328,639669.1180016154,857412.6210161282,795405.1113016874,738792.9589380091,688045.9463922632,642895.3342948585,860173.2159089934,798572.5564109924,742129.5906575408,691370.7573742102,646077.8396800535,862757.0315805203,801565.1210391303,745314.6288404596,694581.3506780878,649192.0211603064,865181.3100163477,804395.495680489,748353.2491144834,697673.6928503747,652223.8229891903,867461.391255798,807076.0560644075,751252.4371749645,700647.9475359216,655165.8586743614,869610.8503151188,809618.4738633697,754019.9553673,703506.7506320708,658014.9897904368,871641.6780879952,812033.5548291944,756663.749939805,706254.1485291169,660770.7878509469,873564.4681599298,814331.198023837,759191.6159677822,708894.9380665425,663434.5413411178,875388.592628669,816520.4180449389,761611.0148379145,711434.2545849851,666008.6066467961,877122.3603666853,818609.398182883,763928.9826433285,713877.3156057688,668495.9799650033
9,2023-01-15,952215.922092984,886207.8798134818,826479.7697555204,773499.8101008902,726876.7976899326,956168.1189917075,890418.179025752,830502.1880948739,777008.2605169159,729649.5887869566,959848.5007966066,894458.3388966498,834516.2623103054,780706.1726534455,732828.1777117944,963269.5709781983,898297.0745229624,838435.0051587878,784445.1040209144,736200.9040988183,966451.2603804804,901927.7754991022,842216.3359417161,788142.8363024286,739643.6107334311,969415.2134734262,905355.5939354294,845842.0954131074,791754.1170538143,743082.2814432376,972182.3698963764,908591.0536971609,849307.0934035504,795254.9633602769,746472.6511055048,974772.0160682005,911646.8115708717,852613.175802022,798633.886246965,749788.5907258143,977201.5026936023,914536.0050707666,855765.9207605813,801886.8190664408,753015.2535225843,979486.2599744417,917271.4231439634,858772.7643398874,805014.1081740817,756144.9107145518,981639.9378639557,919865.1121343587,861641.9269544026,808018.6903854975,759174.3597512286,983674.5897594218,922328.2139930829,864381.7991957798,810904.972535258,762103.2790380535,985600.8616017218,924670.9278263845,867000.5959384732,813678.1360966372,764933.1667957751,987428.1695453102,926902.5353509387,869506.1690459577,816343.704091327,767666.648229842,989164.8597111239,929031.4575135905,871905.9144038662,818907.2723603484,770307.0192276138
