,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2023-01-06,84273879.08454673,84283796.07748489,84291051.21037737,84296510.1398632,84300723.7653833,84273010.82076228,84283087.29153234,84290500.55507573,84296102.55276483,84300441.72108294,84272193.44733034,84282399.51262903,84289945.37962455,84295669.19500883,84300116.17001666,84271425.93243775,84281739.00126825,84289397.86407055,84295227.06421508,84299768.10841873,84270705.3532341,84281107.90589368,84288864.30782558,84294785.83948098,84299410.00904994,84270028.14674114,84280506.31178741,84288347.81121136,84294351.08144276,84299049.46196583,84269390.67420295,84279933.27826357,84287849.68673174,84293925.9477108,84298691.1458585,84268789.46957624,84279387.38104275,84287370.23399144,84293512.15579267,84298337.94781761,84268221.33858848,84278867.00130074,84286909.17938223,84293110.54410157,84297991.62485598,84267683.38648772,84278370.48036729,84286465.93177709,84292721.40881121,84297653.20764601,84267173.01234685,84277896.20127481,84286039.73379515,84292344.7110935,84297323.25369452,84266687.88863993,84277442.62976262,84285629.75214985,84291980.20708764,84297002.00973313,84266225.93539928,84277008.33260791,84285235.13167055,84291627.53060734,84296689.51785113,84265785.29352693,84276591.98329882,84284855.02728613,84291286.24630514,84296385.68593572,84265364.2994143,84276192.36075547,84284488.62246995,84290955.88402995,84296090.33500144
1,2023-01-07,84177198.33690383,84198565.49404186,84215161.40552619,84228212.65662122,84238630.6208017,84175448.17099677,84197027.97158799,84213901.13485704,84227241.35297063,84237937.13255988,84173809.26866686,84195542.68246473,84212635.09829575,84226211.50894384,84237138.2977113,84172277.95697564,84194122.41984864,84211391.00843911,84225163.85384214,84236286.1489664,84170846.96962218,84192770.99754614,84210182.89416334,84224121.39025418,84235411.49055272,84169507.983393,84191487.80621432,84209017.38955094,84223097.16683277,84234532.96187621,84168252.73170863,84190270.10149725,84207897.03576565,84222098.44723599,84233661.95719317,84167073.47213037,84189114.1872644,84206822.08664578,84221129.04816516,84232805.42301928,84165963.15385433,84188016.03649631,84205791.5272409,84220190.6986275,84231967.51065661,84164915.44590792,84186971.61626162,84204803.66156588,84219283.85343319,84231150.58373272,84163924.7028553,84185977.05321725,84203856.4568134,84218408.19146435,84230355.84883958,84162985.90526639,84185028.71188842,84202947.74622944,84217562.92640162,84229583.75896521,84162094.59298593,84184123.2250355,84202075.34824747,84216747.0030573,84228834.27625467,84161246.79970534,84183257.49793121,84201237.13522437,84215959.22245786,84228107.04565482,84160438.99255933,84182428.6988382,84200431.07152279,84215198.32176799,84227401.51097451
2,2023-01-08,84072805.13471568,84102803.28294252,84127179.88356178,84147050.03569686,84163371.19927287,84070482.80974129,84100651.00750673,84125338.84248404,84145582.02467541,84162293.97822902,84068314.72314854,84098578.17794886,84123494.3785858,84144028.99315605,84161055.22198522,84066294.67196824,84096601.86570351,84121686.73921716,84142452.73435925,84159736.26502295,84064411.89453664,84094726.53992864,84119935.9447429,84140887.9045211,84158385.11229779,84062654.43571642,84092950.54926693,84118251.14460023,84139353.95221786,84157030.66694994,84061010.59649792,84091269.35678057,84116635.51894918,84137861.51832429,84155690.46824633,84059469.52177559,84089677.19836149,84115088.94967379,84136416.02186903,84154375.09485449,84058021.39305064,84088167.94248122,84113609.51973861,84135019.7406318,84153090.7654701,84056657.4412435,84086735.53227355,84112194.3728282,84133673.05270661,84151840.92278668,84055369.88144773,84085374.20431708,84110840.21254794,84132375.1940047,84150627.22319663,84054151.8183602,84084078.58657067,84109543.5933567,84131124.72830302,84149450.16837357,84052997.14552574,84082843.73086566,84108301.0887723,84129919.84239866,84148309.51533633,84051900.44896486,84081665.11048983,84107109.38621329,84128758.53267644,84147204.54638037,84050856.91953671,84080538.5998992,84105965.33759397,84127638.72312292,84146134.24863316
3,2023-01-09,83960317.01475489,83997708.91432008,84029027.55111444,84055210.79207486,84077175.29570988,83957545.53794369,83995048.26251064,84026683.30655225,84053294.7615309,84075739.98354173,83954962.17776139,83992490.33400421,84024338.7105747,84051270.79170316,84074091.413999,83952558.69385934,83990055.5987486,84022044.7886719,84049219.71778955,84072338.42471896,83950321.5441137,83987748.93576428,84019826.62620698,84047186.65369087,84070545.10824615,83948235.89703171,83985567.71831828,84017695.41879797,84045196.72470525,84068749.9126044,83946287.34204033,83983505.83340332,84015654.7758398,84043263.50855528,84066976.0434673,83944462.5692586,83981555.73124398,84013704.14706734,84041393.76121467,84065237.38624823,83942749.58023024,83979709.47976631,84011840.73962313,84039590.15487887,84063542.00290334,83941137.68741325,83977959.30071703,84010060.61236627,84037852.90829614,84061894.25994867,83939617.42376497,83976297.83004475,84008359.30769907,84036180.77865385,84060296.15627217,83938180.42005958,83974718.2300425,84006732.21696281,84034571.67486176,84058748.16889244,83936819.2770016,83973214.2219424,84005174.78941686,84033023.04091538,84057249.80076537,83935527.44426993,83971780.07664506,84003682.64814693,84031532.0968416,84055799.94032125,83934299.11129916,83970410.58448401,84002251.65016589,84030095.98998876,84054397.09976281
4,2023-01-10,83840859.61988534,83884588.3398667,83922112.7915149,83954125.09224176,83981439.94238865,83837740.88027516,83881506.6243655,83919332.08856803,83951806.45965151,83979673.4707142,83834837.22247575,83878547.65714142,83916554.43596931,83949359.94081819,83977646.3940438,83832138.68863103,83875734.6183472,83913840.15839604,83946883.5126005,83975493.09227307,83829629.4649043,83873072.62055387,83911218.65292223,83944431.65197589,83973292.55927776,83827292.39511776,83870558.13357249,83908702.80185089,83942034.5227368,83971092.04681545,83825110.89017689,83868183.6568693,83906296.50332072,83939708.26983392,83968919.95398518,83823069.67585136,83865940.09274885,83903998.75749364,83937460.77925128,83966793.16769706,83821155.01451355,83863817.96064371,83901805.94698858,83935295.01121026,83964721.39598761,83819354.69183286,83861808.00937235,83899713.13435617,83933210.98164159,83962709.80328858,83817657.90486829,83859901.51030387,83897714.80798939,83931206.96508235,83960760.65293843,83816055.11602543,83858090.37980174,83895805.31099302,83929280.23637785,83958874.3518294,83814537.90290464,83856367.21066834,83893979.08444065,83927427.53271201,83957050.1257538,83813098.81731807,83854725.25617746,83892230.80057043,83925645.34271598,83955286.46161231,83811731.25857733,83853158.39076652,83890555.4302736,83923930.08695665,83953581.39966932
5,2023-01-11,83716581.08433077,83765666.0107424,83808636.3129641,83845916.09151015,83878183.93141297,83713198.7861262,83762243.40651491,83805486.1965122,83843244.8872988,83876119.38280918,83710052.24562676,83758960.14382057,83802342.4847891,83840428.79026413,83873751.97700302,83707130.15654486,83755841.53664595,83799273.33737987,83837580.80783062,83871239.1642237,83704414.94398324,83752892.82754791,83796311.74485783,83834763.58968608,83868673.36719319,83701887.65799068,83750109.70277117,83793471.95780526,83832011.66537012,83866109.74272381,83699530.03288902,83747483.49451615,83790758.06315127,83829343.37536229,83863581.3278409,83697325.28540973,83745003.81569615,83788168.63128315,83826767.54335256,83861107.66739401,83695258.34370507,83742659.90258957,83785699.30456881,83824287.33385153,83858699.90614468,83693315.82346363,83740441.28763005,83783344.26641802,83821902.54236522,83856363.88368392,83691485.89901324,83738338.11809936,83781097.08303542,83819610.98328863,83854102.06168115,83689758.13902509,83736341.28604652,83778951.18521422,83817409.34379855,83851914.74812418,83688123.33906107,83734442.45808767,83776900.13984226,83815293.71430068,83849800.88754219,83686573.36508138,83732634.05343758,83774937.7970482,83813259.91917813,83847758.57744527,83685101.01321612,83730909.19679117,83773058.36335526,83811303.72231944,83845785.4088427
6,2023-01-12,83591555.01376303,83644760.02328983,83692183.74879599,83733951.11620434,83770569.49980013,83588008.50006942,83641092.77007432,83688747.35805292,83730992.52949609,83768252.86631824,83584711.18938082,83637577.40257736,83685320.58429988,83727875.70926738,83765598.0283402,83581650.81713182,83634240.67313631,83681977.61799046,83724725.93877652,83762782.03201453,83578808.61287317,83631087.82414281,83678754.1668535,83721612.50182316,83759908.67532773,83576164.42988281,83628113.8955987,83675665.46855405,83718573.43619913,83757039.78155361,83573698.89503719,83625309.3102412,83672715.6867282,83715628.81428489,83754212.27252825,83571394.23521993,83622662.69569659,83669902.99637784,83712788.16676793,83751447.89577794,83569234.50812702,83620162.31789717,83667222.41205865,83710054.77132173,83748758.96444722,83567205.5695507,83617796.79572259,83664667.3896217,83707428.19584683,83746151.84420466,83565294.93212168,83615555.43650554,83662230.74146488,83704905.83747493,83743629.12288317,83563491.588254,83613428.36999907,83659905.15842462,83702483.86767757,83741190.98724028,83561785.8308353,83611406.57589048,83657683.50227483,83700157.81800386,83738836.11044542,83560169.0862345,83609481.85661611,83655558.9628677,83697922.94420949,83736562.23113294,83558633.76500092,83607646.78389555,83653525.13496546,83695774.45163208,83734366.53443779
7,2023-01-13,83466271.77461044,83522813.24237663,83573967.6895123,83619594.96724364,83660038.51619604,83462612.38196912,83518963.62052432,83570306.33272469,83616401.66132398,83657509.7137739,83459211.03710295,83515275.1196737,83566657.1981899,83613039.40055759,83654613.13772112,83456054.88855976,83511775.57109562,83563099.20201321,83609643.4970596,83651542.3640801,83453124.40648697,83508470.22699156,83559670.17147839,83606288.63833797,83648410.76966885,83450398.67360078,83505353.65648794,83556386.10536733,83603015.70613529,83645285.776025,83447857.5982439,83502415.61504044,83553251.21521106,83599846.16461337,83642207.55387636,83445482.76165801,83499644.0057608,83550263.35525566,83596790.10035554,83639199.68097669,83443257.65143436,83497026.38028517,83547417.03877817,83593850.86417137,83636275.43016559,83441167.62396047,83494550.68456563,83544705.14377037,83591027.82132676,83633441.58764553,83439199.75568931,83492205.60694212,83542119.88561845,83588318.01390268,83630700.82727619,83437342.65814303,83489980.71519811,83539653.3702109,83585717.18018085,83628053.21590212,83435586.29111774,83487866.48245539,83537297.90268642,83583220.38526274,83625497.18266478,83433921.78900428,83485854.2561866,83535046.15222645,83580822.41218193,83623030.15059957,83432341.30567434,83483936.20010099,83532891.2316151,83578518.00323038,83620648.95156935
8,2023-01-14,83343371.94589126,83402434.88746718,83456559.46568993,83505367.90519008,83549048.43525493,83339651.47625919,83398465.87297793,83452736.24525806,83501995.50499175,83546350.91026466,83336193.40012042,83394663.92480338,83448927.20504172,83498446.13254638,83543262.26326926,83332984.62384173,83391057.58471079,83445214.648163,83494862.75476518,83539989.24904287,83330005.273023,83387652.11871548,83441637.91154324,83491324.16876748,83536652.86609197,83327234.06942387,83384441.7962839,83438213.5271397,83487873.40647921,83533324.9763026,83324650.57895795,83381415.94478999,83434945.7285482,83484532.97293462,83530048.31499922,83322236.07160611,83378562.00141953,83431832.1290819,83481313.35888204,83526847.8937454,83319973.75769424,83375867.05794732,83428866.87326723,83478217.95301282,83523737.72691788,83317848.74896881,83373318.62682799,83426042.41701439,83475245.95040978,83520724.91482355,83315847.90687211,83370904.99748453,83423350.54130423,83472394.10897176,83517812.18132581,83313959.65410909,83368615.3754188,83420782.92747311,83469657.82527025,83514999.4815911,83312173.7844977,83366439.90709947,83418331.47741167,83467031.79915868,83512285.03643309,83310481.28623118,83364369.6465467,83415988.48366563,83464510.44521554,83509666.00555137,83308874.18406893,83362396.49423595,83413746.71079957,83462088.14600225,83507138.92923413
9,2023-01-15,83216492.91630918,83278414.09829919,83335669.451251,83387699.45238617,83434587.90906456,83212667.65335864,83274300.02482416,83331674.16567856,83384147.89816482,83431726.44640483,83209111.5181855,83270359.0231711,83327694.12229867,83380410.67224051,83428450.7970041,83205811.19091013,83266620.68700853,83323815.28971711,83376638.36072467,83424980.43161663,83202746.35573207,83263090.48619252,83320078.72031839,83372913.90148835,83421443.72980158,83199895.23010817,83259762.49255185,83316501.63387734,83369282.53809212,83417916.88039239,83197236.87954105,83256625.65458022,83313088.40312406,83365767.88861804,83414445.1424513,83194752.10550077,83253666.96043757,83309836.48935038,83362380.92079858,83411054.96132404,83192423.69170664,83250873.03904884,83306739.73589067,83359125.12979339,83407761.11520411,83190236.36685158,83248230.95421034,83303790.22781236,83355999.60277674,83404571.05221458,83188176.65078056,83245728.57398748,83300979.35038345,83353000.86882052,83401487.5849839,83186232.66245057,83243354.71502508,83298298.38939002,83350124.03136088,83398510.59709671,83184393.92574613,83241099.16846614,83295738.86496231,83347363.46728887,83395638.14035444,83182651.18878822,83238952.66543071,83293292.70865314,83344713.25935476,83392867.14850235,83180996.26247647,83236906.81379198,83290952.34789293,83342167.46201594,83390193.90512758
