,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2023-01-06,84290884.31384139,84298704.52108502,84304227.80894496,84308284.62834828,84311362.06698821,84290183.37501574,84298156.36165614,84303814.009597,84307984.50754896,84311157.48381416,84289520.98097247,84297622.93047312,84303395.93897134,84307664.92893547,84310921.09510534,84288896.7212559,84297109.22591983,84302982.77007394,84307338.36589104,84310668.06649053,84288308.61006527,84296617.08540007,84302579.30116642,84307011.95076127,84310407.42166083,84287754.08782327,84296146.74404654,84302187.94256806,84306689.80732922,84310144.66680858,84287230.48048685,84295697.62717088,84301809.76342191,84306374.30065052,84309883.20982887,84286735.20740996,84295268.76718734,84301445.067617,84306066.73884153,84309625.16595893,84286265.86891991,84294859.02769269,84301093.72151773,84305767.78233184,84309371.83369441,84285820.27556278,84294467.22484224,84300755.34529953,84305477.68997085,84309123.98535863,84285396.44929598,84294092.19249749,84300429.42672327,84305196.47075324,84308882.0494576,84284992.61176412,84293732.81598328,84300115.38955118,84304923.97923245,84308646.22778383,84284607.16730337,84293388.04812284,84299812.63482653,84304659.97644669,84308416.57207206,84284238.6845182,84293056.91524862,84299520.56562452,84304404.1692515,84308193.03497648,84283885.87830898,84292738.51760241,84299238.60159804,84304156.23587745,84307975.50440659
1,2023-01-07,84226572.29068106,84243558.01935193,84256092.89115009,84265602.01875384,84272994.40651469,84225139.31894778,84242373.68643495,84255162.05104357,84264906.0673281,84272508.71156877,84223790.25411035,84241224.90794672,84254224.07715246,84264166.50596373,84271948.34646972,84222523.35131992,84240122.06067216,84253299.52548775,84263412.38123223,84271349.52740812,84221333.7631046,84239068.65425894,84252398.98846549,84262660.2040165,84270733.75012673,84220215.59833159,84238064.7617136,84251527.64556922,84261919.43480201,84270114.07757165,84219162.84932418,84237108.75367631,84250687.6568961,84261195.42423184,84269498.54626282,84218169.79890501,84236198.20373651,84249879.4762293,84260491.06323984,84268892.10155769,84217231.18177055,84235330.36980876,84249102.59515573,84259807.74388783,84268297.7408602,84216342.22886509,84234502.45097268,84248355.97512302,84259145.93582442,84267717.21111415,84215498.65703462,84233711.72225766,84247638.30253571,84258505.54055369,84267151.44595882,84214696.63470082,84232955.60191411,84246948.14073962,84257886.11332157,84266600.84592724,84213932.73881282,84232231.68102616,84246284.02059981,84257287.00408724,84266065.46140882,84213203.91055286,84231537.73217225,84245644.49388543,84256707.44796039,84265545.1139477,84212507.41330108,84230871.70663482,84245028.16385056,84256146.62350309,84265039.47763601
2,2023-01-08,84141872.82404949,84168883.71470515,84189575.6807003,84205708.36433236,84218513.02057628,84139713.5065646,84167011.44359337,84188052.5032879,84204539.67241767,84217680.88649341,84137686.91755989,84165200.1211829,84186520.90149279,84203299.79298155,84216721.9871596,84135789.2968983,84163465.59806708,84185014.3960873,84202037.66044566,84215698.66185145,84134012.36031815,84161812.82564935,84183550.0447972,84200780.95472118,84214647.83508396,84132346.41437829,84160241.35858311,84182135.9963068,84199545.4172755,84213591.86957338,84130781.73752718,84158748.12366807,84180775.45784013,84198339.8467982,84212544.45446317,84129309.17044014,84157328.85593714,84179468.86644623,84197168.90103172,84211513.95265932,84127920.33675885,84155978.855444,84178215.11524864,84196034.72611845,84210505.37806898,84126607.69051372,84154693.38589934,84177012.2622095,84194937.93221706,84209521.60119487,84125364.48448136,84153467.87976892,84175857.94612558,84193878.19149585,84208564.10388945,84124184.70549986,84152298.03713971,84174749.63254923,84192854.61140633,84207633.46234135,84123062.99924168,84151179.86593683,84173684.75880922,84191865.97083339,84206729.66179489,84121994.59521665,84150109.68997465,84172660.81820408,84190910.87079051,84205852.30465592,84120975.23685837,84149084.13980171,84171675.407118,84189987.83091569,84205000.74969147
3,2023-01-09,84045388.70236596,84081514.20311302,84110152.38867229,84133062.09740284,84151610.32136539,84042646.30977501,84079030.21226002,84108065.11083592,84131420.46828131,84150418.53852142,84040078.86746976,84076632.45316163,84105970.24289085,84129681.46301576,84149046.75263055,84037680.40141992,84074341.29155967,84103913.55618975,84127914.00750506,84147584.62630717,84035439.36353377,84072162.59354995,84101918.07142049,84126156.91092876,84146085.16306913,84033342.5953654,84070095.11477517,84099994.54240488,84124432.08780913,84144580.35947576,84031377.06183173,84068134.20313217,84098146.9548975,84122751.64977533,84143089.7084047,84029530.57455944,84066273.70791708,84096375.52892883,84121121.88068905,84141625.03555208,84027792.04730736,84064506.97768693,84094678.4089443,84119545.54538418,84140193.3560041,84026151.53495854,84062827.37965392,84093052.63653459,84118023.2694742,84138798.61487685,84024600.17600949,84061228.5619199,84091494.7181865,84116554.38295233,84137442.77581237,84023130.09656283,84059704.57555458,84090000.95844413,84115137.44507824,84136126.51644051,84021734.3037993,84058249.92003234,84088567.65439244,84113770.5751013,84134849.68062955,84020406.58203965,84056859.54720291,84087191.20690969,84112451.66223153,84133611.57677971,84019141.39707501,84055528.84354243,84085868.18146676,84111178.49921787,84132411.17673346
4,2023-01-10,83943761.42101964,83987454.50931229,84023136.17043081,84052343.97649625,84076424.24289629,83940602.50631873,83984483.37173308,84020566.50176975,84050276.74292174,84074896.1237433,83937650.37020299,83981620.38892686,84017991.50455494,84048089.71418943,84073138.95365337,83934897.10790965,83978889.26837848,84015467.33862834,84045869.8754599,84071268.12119849,83932328.54912446,83976296.34663096,84013021.96523389,84043666.00521845,84069351.71451361,83929928.82612301,83973839.50964347,84010668.18927857,84041505.47425611,84067430.71526913,83927682.35098408,83971512.6471239,84008410.49153922,84039403.25712083,84065529.98196772,83925574.62478346,83969307.93802558,84006248.75148977,84037366.98040457,84063664.49970798,83923592.50969522,83967217.0369749,84004180.337131,84035399.85135074,84061843.07093716,83921724.25533253,83965231.68563536,84002201.30328865,84033502.40510917,84060070.56298868,83919959.41750401,83963344.0163877,84000307.08762048,84031673.5705486,84058349.31207976,83918288.73572715,83961546.68931077,83998492.91639464,84029911.33147547,84056680.0190393,83916704.0011518,83959832.93874136,83996754.03923659,84028213.1417368,84055062.33069448,83915197.92947198,83958196.57148115,83995085.86162606,84026576.18754755,84053495.22244598,83913764.04493129,83956631.94014369,83993484.0157131,84024997.55338825,84051977.25265445
5,2023-01-11,83838974.89825569,83889046.11422059,83930941.07682712,83965903.18772052,83995180.98405841,83835510.05779973,83885686.66047232,83927964.78284402,83963461.95716979,83993347.6015539,83832275.57717407,83882453.43580075,83924985.79505478,83960881.88185988,83991241.12390856,83829262.07536158,83879372.71112458,83922068.97679864,83958265.8472189,83989000.39538865,83826453.41139366,83876451.10092564,83919246.36921644,83955671.35804757,83986707.2200991,83823831.69425824,83873685.71306665,83916532.41567197,83953130.51695299,83984410.71375437,83821379.43642813,83871069.20398752,83913931.9290168,83950660.74197586,83982140.56051706,83819080.42393033,83868592.36321738,83911444.4259015,83948270.76765576,83979914.55885376,83816919.99899416,83866245.44828925,83909066.55445766,83945964.12292849,83977743.07697167,83814885.07581715,83864018.86750437,83906793.4822474,83943741.20311972,83975631.7644994,83812964.04094075,83861903.5149281,83904619.69933794,83941600.53145672,83973583.24486999,83811146.61061673,83859890.91779418,83902539.4841021,83939539.53981987,83971598.19367358,83809423.67945251,83857973.2827666,83900547.17075552,83937555.05741064,83969676.03745404,83807787.17594168,83856143.48858972,83898637.29872814,83935643.61839323,83967815.4126319,83806229.93126206,83854395.05156712,83896804.69102854,83933801.65549149,83966014.46991748
6,2023-01-12,83729928.11999558,83785672.36808498,83833278.99762467,83873658.62786849,83907924.50807603,83726219.03584513,83781983.17780276,83829943.82404244,83870877.69021484,83905807.43047002,83722759.20033,83778435.69813558,83826608.52090736,83867940.87842417,83903376.55906907,83719538.05266017,83775058.35779126,83823345.61413555,83864965.53077446,83900792.58721556,83716537.87553926,83771857.98852707,83820190.71701217,83862017.06155933,83898150.07580422,83713739.15867658,83768831.02084818,83817159.68889537,83859131.84307659,83895505.68723187,83711122.89362746,83765969.04984151,83814257.60777213,83856329.48116829,83892893.56659956,83708671.49278829,83763261.67345792,83811483.64548919,83853619.68574461,83890334.09878434,83706369.08065084,83760697.9532,83808833.79381827,83851006.2494339,83887839.07825392,83704201.50122732,83758267.15717635,83806302.41954994,83848489.41521281,83885414.85405053,83702156.20380077,83755959.12138009,83803883.16166757,83846067.31576379,83883064.29111488,83700222.08422478,83753764.40568191,83801569.44969627,83843736.86261329,83880788.01871505,83698389.31817684,83751674.33962288,83799354.79978198,83841494.30131772,83878585.23839715,83696649.20280062,83749681.01017123,83797232.97860458,83839335.55992971,83876454.25373672,83694994.01334573,83747777.2203795,83795198.08810483,83837256.46742906,83874392.82104224
7,2023-01-13,83618720.30228707,83679211.58359155,83731860.00261912,83777181.83026588,83816106.62007004,83614842.09647076,83675262.94677223,83728223.69666056,83774104.01863016,83813734.31671391,83611226.65603156,83671468.6594059,83724589.83479178,83770855.80401203,83811011.86472602,83607862.51709251,83667858.78632991,83721037.34786364,83767567.17359911,83808119.6723266,83604730.79780656,83664440.26675937,83717604.80282165,83764310.43715549,83805163.79068285,83601810.80689517,83661208.94027162,83714309.1988725,83761125.6658708,83802207.66005132,83599082.43465601,83658155.51659292,83711155.7900233,83758034.33971754,83799289.4146054,83596527.10380559,83655268.61359912,83708143.41678338,83755046.98306204,83796431.73651712,83594128.06482525,83652536.31621516,83705267.48335212,83752167.5834275,83793647.67259543,83591870.396042,83649946.9659337,83702521.65287235,83749396.21851638,83790944.17130607,83589740.87798564,83647489.54181352,83699898.8231189,83746730.65125951,83788324.28714551,83587727.82255858,83645153.82237265,83697391.6883813,83744167.31356482,83785788.58253725,83585820.89484014,83642930.43027955,83694993.05892694,83741701.91935067,83783336.03408572,83584010.94449039,83640810.8156483,83692696.036595,83739329.8483412,83780964.62596145,83582289.85348174,83638787.20882457,83690494.10440148,83737046.38584371,83778671.74206823
8,2023-01-14,83504117.38446088,83568785.58517009,83626053.54603653,83676012.82837862,83719384.6739209,83500107.06029715,83564617.91055377,83622152.1150832,83672666.26175094,83716776.48543951,83496370.07282262,83560615.30875285,83618255.49183136,83669136.26163895,83713784.66279633,83492894.25568415,83556809.22115591,83614448.24030958,83665564.27134892,83710607.85987744,83489659.8186526,83553206.67215073,83610771.51776576,83662028.83618617,83707362.75224715,83486645.14814042,83549802.9969645,83607243.31581663,83658573.36385584,83704119.03823517,83483829.27374433,83546588.15283799,83603869.03279397,83655221.01730922,83700918.52722749,83481192.84424557,83543549.92574838,83600647.20790443,83651983.04476912,83697786.01089843,83478718.42633574,83540675.57222734,83597572.71966365,83648863.59774178,83694735.6794681,83476390.49907845,83537952.64806688,83594638.60451424,83645862.59317623,83691775.02199744,83474195.31944053,83535369.40591036,83591837.10152888,83642977.44951394,83688907.25584246,83472120.74203135,83532914.96206883,83589160.25248675,83640204.15601815,83686132.8705571,83470156.03198996,83530579.34022808,83586600.24179196,83637537.93805358,83683450.62501705,83468291.68840507,83528353.45092876,83584149.58223036,83634973.67272633,83680858.19955392,83466519.28509423,83526229.03935334,83581801.20876354,83632506.14784952,83678352.6263445
9,2023-01-15,83390816.28532098,83458490.63347013,83519480.06887656,83573394.05411755,83620695.93721111,83386754.8790591,83454185.6276705,83515384.0703018,83569833.84631845,83617890.76987514,83382971.44212195,83450053.08943452,83511295.2118014,83566080.30679826,83614674.31834841,83379453.41500494,83446125.22570728,83507302.15569168,83562284.01080447,83611260.54412565,83376180.55627708,83442409.01578633,83503447.8973641,83558528.43974255,83607775.01249322,83373130.81612746,83438899.38991414,83499751.08741927,83554859.61215623,83604292.63499914,83370282.82884811,83435585.75739437,83496217.16348554,83551301.98009269,83600858.26189442,83367616.89516672,83432455.31886585,83492844.38343363,83547867.3180242,83597498.41154835,83365115.27934054,83429494.75874738,83489627.18725297,83544559.8615467,83594228.19241376,83362762.19906886,83426691.09687562,83486558.10607287,83541379.35785607,83591055.50937934,83360543.68574564,83424032.09493017,83483628.85687572,83538322.91428156,83587983.6825398,83358447.39910705,83421506.42495692,83480830.96979664,83535386.13553987,83585013.11027229,83356462.43555525,83419103.71129344,83478156.14223954,83532563.83020519,83582142.34239864,83354579.14763168,83416814.50669463,83475596.43134013,83529850.45123023,83579368.78130086,83352788.98144364,83414630.23619841,83473144.35016946,83527240.36971544,83576689.14403176
