,Days,"t_half = 25.000 
t_max = 14.000","t_half = 25.000 
t_max = 17.500","t_half = 25.000 
t_max = 21.000","t_half = 25.000 
t_max = 24.500","t_half = 25.000 
t_max = 28.000","t_half = 28.143 
t_max = 14.000","t_half = 28.143 
t_max = 17.500","t_half = 28.143 
t_max = 21.000","t_half = 28.143 
t_max = 24.500","t_half = 28.143 
t_max = 28.000","t_half = 31.286 
t_max = 14.000","t_half = 31.286 
t_max = 17.500","t_half = 31.286 
t_max = 21.000","t_half = 31.286 
t_max = 24.500","t_half = 31.286 
t_max = 28.000","t_half = 34.429 
t_max = 14.000","t_half = 34.429 
t_max = 17.500","t_half = 34.429 
t_max = 21.000","t_half = 34.429 
t_max = 24.500","t_half = 34.429 
t_max = 28.000","t_half = 37.571 
t_max = 14.000","t_half = 37.571 
t_max = 17.500","t_half = 37.571 
t_max = 21.000","t_half = 37.571 
t_max = 24.500","t_half = 37.571 
t_max = 28.000","t_half = 40.714 
t_max = 14.000","t_half = 40.714 
t_max = 17.500","t_half = 40.714 
t_max = 21.000","t_half = 40.714 
t_max = 24.500","t_half = 40.714 
t_max = 28.000","t_half = 43.857 
t_max = 14.000","t_half = 43.857 
t_max = 17.500","t_half = 43.857 
t_max = 21.000","t_half = 43.857 
t_max = 24.500","t_half = 43.857 
t_max = 28.000","t_half = 47.000 
t_max = 14.000","t_half = 47.000 
t_max = 17.500","t_half = 47.000 
t_max = 21.000","t_half = 47.000 
t_max = 24.500","t_half = 47.000 
t_max = 28.000","t_half = 50.143 
t_max = 14.000","t_half = 50.143 
t_max = 17.500","t_half = 50.143 
t_max = 21.000","t_half = 50.143 
t_max = 24.500","t_half = 50.143 
t_max = 28.000","t_half = 53.286 
t_max = 14.000","t_half = 53.286 
t_max = 17.500","t_half = 53.286 
t_max = 21.000","t_half = 53.286 
t_max = 24.500","t_half = 53.286 
t_max = 28.000","t_half = 56.429 
t_max = 14.000","t_half = 56.429 
t_max = 17.500","t_half = 56.429 
t_max = 21.000","t_half = 56.429 
t_max = 24.500","t_half = 56.429 
t_max = 28.000","t_half = 59.571 
t_max = 14.000","t_half = 59.571 
t_max = 17.500","t_half = 59.571 
t_max = 21.000","t_half = 59.571 
t_max = 24.500","t_half = 59.571 
t_max = 28.000","t_half = 62.714 
t_max = 14.000","t_half = 62.714 
t_max = 17.500","t_half = 62.714 
t_max = 21.000","t_half = 62.714 
t_max = 24.500","t_half = 62.714 
t_max = 28.000","t_half = 65.857 
t_max = 14.000","t_half = 65.857 
t_max = 17.500","t_half = 65.857 
t_max = 21.000","t_half = 65.857 
t_max = 24.500","t_half = 65.857 
t_max = 28.000","t_half = 69.000 
t_max = 14.000","t_half = 69.000 
t_max = 17.500","t_half = 69.000 
t_max = 21.000","t_half = 69.000 
t_max = 24.500","t_half = 69.000 
t_max = 28.000"
0,2023-01-06,48051.08841129941,39870.79597782321,33999.11756562287,29635.252370120837,26295.387040272602,48776.87920235536,40449.226837793394,34441.779882042276,29959.595290971905,26518.214486717952,49461.65677013927,41011.37865626195,34888.55343189512,30304.7002302109,26775.541603848895,50106.0354374656,41552.05619803348,35329.63741643618,30657.064290706814,27050.81376127245,50712.23762711471,42069.40837872357,35759.93398795308,31008.983139223426,27334.189418604525,51283.05365442224,42563.270949254475,36176.90795076381,31356.0170050702,27619.67213313421,51821.36815564412,43034.325690157464,36579.45977204583,31695.632586477637,27903.558592163452,52329.94832558055,43483.65935608435,36967.30616662855,32026.440614052048,28183.557325119153,52811.35677358733,43912.5275909611,37340.62814643894,32347.751458189443,28458.268085711898,53267.924380885735,44322.22778028438,37699.8659555016,32659.308108216923,28726.86406070491,53701.75169913256,44714.031384602895,38045.59744951521,32961.12173688183,28988.892519140205,54114.72324245326,45089.14936358381,38378.46521079784,33253.36844283496,29244.146877506544,54508.52682312693,45448.716197054644,38699.132771083954,33536.323434982594,29492.583026230182,54884.67402428999,45793.78435970435,39008.258527989325,33810.31863938029,29734.263745398588,55244.51993019158,46125.324594902486,39306.48055777677,34075.71523109932,29969.321315445173
1,2023-01-07,115237.62315519087,98117.61595297045,85288.59067137276,75435.96506492182,67700.2601079534,116669.867797785,99321.40636984514,86247.64103875693,76160.90348228563,68210.7122563766,118016.49546281777,100487.65324842183,87213.04346044362,76930.62595766659,68799.26935977176,119279.57546972902,101605.97813199289,88163.65636446503,77714.82720919616,69427.77670383739,120464.23282674704,102672.99436226899,89088.6525310821,78496.32381535426,70073.61233650967,121576.58760257608,103688.79671155276,89982.79733248758,79265.30747388332,70723.05329711571,122622.83340007921,104655.19067092612,90843.96696808588,80016.26381168624,71367.67899421194,123608.83746559087,105574.77096786007,91671.78865154447,80746.24382381042,72002.32719390996,124539.98604416136,106450.43367743207,92466.87132549241,81453.85803305678,72623.88660424434,125421.14573602616,107285.11748059266,93230.36000336868,82138.67363850224,73230.5604473327,126256.67851891324,108081.66913154958,93963.67341697155,82800.8445281804,73821.40517336912,127050.47981674327,108842.77737838536,94668.34831151945,83440.87994817324,74396.03504398833,127806.02451794391,109570.94488057429,95345.94713195728,84059.4978488023,74954.42944285044,128526.41362078588,110268.48112482409,95998.00401490525,84657.53105658724,75496.80530235806,129214.41813046682,110937.50670301761,96625.99419865977,85235.86699343772,76023.53164149853
2,2023-01-08,200269.5779938728,173781.59127678475,153233.46766827133,137037.18874333124,124061.7486667303,202374.12504531528,175630.2565075547,154754.90024031923,138216.2399638907,124908.45237868807,204347.48837682826,177417.03322262914,156283.390681365,139466.15967162763,125883.5543095002,206193.69206406866,179126.49299419785,157785.5192616866,140737.51445647047,126923.48135229021,207921.11468826034,180753.9789906121,159244.37508452302,142002.40869325382,127990.61897665329,209539.4526819345,182300.14477473503,160651.96494638757,143245.03602512294,129062.22678801519,211058.3813398828,183768.21150633483,162005.2290708886,144456.61219698316,130124.42044322072,212486.9879548368,185162.54921714176,163303.86321699843,145632.53404132603,131168.74955128354,213833.56449213842,186487.9319480251,164549.0906765882,146770.728465705,132190.17641861094,215105.56792942848,187749.1474871972,165742.95399660687,147870.66485926305,133185.84406606216,216309.65639019082,188950.79825266023,166887.9004085401,148932.75056803037,134154.30543780993,217451.75638504323,190097.20675445462,167986.53763416866,149957.954184709,135095.03058313648,218537.1394340008,191192.37854484594,169041.4905902522,150947.56772995446,136008.08589130748,219570.49775580727,192239.99650668903,170055.31878623727,151903.05529555122,136893.92228261163,220556.01444850938,193243.43175029583,171030.47061660094,152825.9564517717,137753.23377149954
3,2023-01-09,294136.9106485793,259305.27029384195,231462.7544698667,209005.4410231678,190684.17037042888,296773.13539094315,261710.97614788922,233500.6440532784,210620.75786475826,191865.2722656213,299240.1188917775,264031.79269837635,235544.64427336978,212330.87105404132,193224.08204999397,301543.83964618423,266248.19551394304,237550.1410641816,214067.89826103213,194671.579934051,303695.5927160436,268354.7051065121,239494.7924621906,215793.69301943958,196155.19276232316,305708.1817402445,270352.708574658,241368.24823221756,217486.77975966237,197643.23268808587,307594.2586389238,272246.86756716564,243166.76098433568,219135.34609177106,199116.43834143045,309365.63483761,274043.26973491145,244890.24661327244,220733.31602104404,200563.16264790282,311033.0414239448,275748.4650787193,246540.6316285688,222278.07066624748,201976.53091235392,312606.0962691431,277368.96626589453,248120.90358104225,223769.08725077595,203352.7097278751,314093.36292787764,278910.9978711388,249634.55802828204,225207.10795096413,204689.82508261866,315502.4457310522,280380.380973168,251085.27493545096,226593.6235030192,205987.27166845975,316840.09435142734,281782.4915388342,252476.73051353917,227930.54841739908,207245.2641883456,318112.3053850417,283122.2585537996,253812.49020174812,229220.01524288036,208464.5417787854,319324.415605357,284404.1828288761,255095.95073130517,230464.24405898672,209646.171208825
4,2023-01-10,396944.54468921066,354445.41277455236,319596.13944819616,290929.0732801391,267173.5774870567,400022.0120723001,357347.35629054677,322116.084331298,292965.74255984015,268686.28996243083,402897.51327580184,360142.8436198769,324640.3327975286,295119.6162050241,270425.1420834999,405578.8664214025,362808.8467803422,327113.87322770857,297304.95266771753,272275.77090353606,408079.97210370406,365339.302895623,329509.38776752295,299473.7340683037,274170.7404626768,410416.36459082353,367736.38883843826,331814.43036559696,301599.0704774409,276069.5066343081,412603.28897843655,370006.1675924445,334024.71260824124,303666.2975830542,277947.5159694082,414654.91626489616,372156.35672943795,336140.4474092704,305667.9907257886,279790.00195358734,416584.0811648269,374195.1716437868,338164.2981784841,307601.0737025829,281588.3218034876,418402.2587662205,376130.730702797,340100.2041132512,309465.0948913813,283337.72633884463,420119.6454839549,377970.7607558285,341952.6988117043,311261.1765361638,285035.96748170187,421745.2797766233,379722.46517046564,343726.51372387673,312991.36354333156,286682.4103953083,423287.17188179144,381392.4798780063,345426.3493071223,314658.2151708996,288277.4576383486,424752.42844343284,382986.87636780157,347056.74633265595,316264.54739189683,289822.17058463214,426147.3661429332,384511.1887260641,348622.0175246074,317813.2702852227,291318.01797329215
5,2023-01-11,502602.78778825095,453826.6358268735,412884.35770385474,378587.33413624146,349750.1887930944,505985.38866942434,457113.64338218136,415805.3082964378,380991.6408339809,351562.58691020426,509142.3129771318,460276.285933517,418728.0232603869,383531.91270501236,353644.368632129,512082.8769073244,463288.98376272287,421588.90209951985,386106.7808491003,355858.14613026846,514822.97106988926,466145.390672896,424356.59530162584,388659.64838772046,358123.01977658394,517380.16968965356,468848.4494887152,427017.03256723506,391158.97119547427,360390.4611689297,519771.63159489085,471405.442261101,429565.59020763496,393587.6794344767,362631.1800397793,522013.25470402173,473825.46185014315,432002.83213345276,395937.25557476335,364827.6481911675,524119.4036090413,476118.1075739919,434332.12589324,398204.30354294396,366969.68566829583,526102.897106672,478292.81928000966,436558.2808662855,400388.50577387086,369051.77504835883,527975.1077976623,480358.5515868706,438686.7611746514,402491.3801841291,371071.3858893095,529746.1031776987,482323.6314235531,440723.2298194479,404515.5114817565,373027.90763289784,531424.7948420419,484195.7142510397,442673.2873834976,406464.0705303927,374921.95853381965,533019.0806535188,485981.79247941973,444542.3265940898,408340.5121463245,376754.93215665186,534535.9737131032,487688.2302450257,446335.45643009123,410148.3852330032,378528.6968352168
6,2023-01-12,614192.4141683001,559680.170999625,512998.51198687765,473281.4112375979,439466.71408693085,617830.698867492,563306.6269220858,516284.8704163289,476029.175769496,441564.7137985537,621223.3861280355,566792.796702086,519570.456796224,478930.1880168327,443973.1046651706,624381.0490320104,570110.8702958296,522783.86096599896,481868.46947785193,446532.51139926875,627321.2486072544,573254.2707479061,525890.0857075629,484779.42272125656,449149.19426789624,630063.2719618382,576226.633022229,528873.6082471779,487627.1801799219,451767.0263839113,632625.8852507389,579036.3282187781,531729.5251933527,490392.4525276382,454352.22361696453,635026.4371599928,581693.6735523186,534458.7431252233,493065.7286311829,456884.6501668467,637280.5777882267,584209.498206208,537065.2908399949,495643.33888220775,459352.6861375548,639402.2552223816,586594.4150835798,539554.7872410857,498125.1135336298,461750.1059366853,641403.8307312984,588858.4677983652,541933.5582740409,500512.959904265,464074.13214905956,643296.2369214367,591010.9792277429,544208.1273899365,502809.9840743749,466324.19730395294,645089.143261119,593060.508110159,546384.9250336317,505019.9429344518,468501.14294780075,646791.1129590857,595014.862422539,548470.1282668976,507146.90063267027,470606.6948379269,648409.7448049125,596881.1411240892,550469.5782851492,509195.01352686755,472643.11578585755
7,2023-01-13,730842.446180118,671355.3639400818,619422.8478039553,574587.3664666073,535967.7861209891,734671.0937588711,675265.3985229533,623032.3135790211,577649.758102134,538334.0177238564,738238.5014081757,679021.197861373,626638.2597048547,580880.8526898611,541048.8973334118,741556.3305741582,682593.1708502127,630162.395680975,584151.2661561234,543932.3402726534,744643.5167998667,685974.6340672785,633566.547632139,587389.0872299683,546878.5323672006,747520.7305502209,689169.8805007554,636833.9636935153,590554.5201343409,549824.2200466092,750208.0225103502,692188.2609623161,639959.5470508983,593626.280955067,552731.4211080743,752723.8924325159,695041.1751686394,642944.5565828776,596593.9876054631,555577.578831904,755085.0046991289,697740.5299988679,645793.6494172387,599453.7570606954,558349.7505697845,757306.1943308616,700297.9603932193,648513.1981919719,602205.5888650864,561041.0745409317,759400.5959955343,702724.4548162882,651110.3235398766,604851.7772873449,563648.5684577627,761379.8166347805,705030.1974314016,653592.3376730202,607395.9326492787,566171.7300678452,763254.1145404357,707224.5259910969,655966.4286477739,609842.3719543928,568611.6329094626,765032.5682951258,709315.9501830456,658239.4873528074,612195.7377822765,570970.3345903837,766723.2290735114,711312.1998801113,660418.0197140608,614460.7605163781,573250.4860008982
8,2023-01-14,853108.5508629977,789322.9536409398,732578.795991271,682897.0817488873,639627.3844360574,857078.0630777851,793471.1936841153,736475.9819038961,686249.6450254293,642247.0556654849,860774.0497279664,797452.9130665688,740366.7560984051,689784.8329736188,645251.2958235834,864209.1138754624,801237.098354437,744166.7241014035,693360.8782519806,648440.4007194664,867403.324430462,804817.0536748954,747834.9268565071,696899.1376421391,651697.1341104194,870378.471120337,808197.695644535,751353.5672188696,700356.2210813089,654951.5172369786,873155.6325534924,811389.2599226212,754717.4240701335,703709.0392536882,658161.621120478,875754.222516894,814404.1081830768,757928.1137953518,706946.4415518653,661302.6263805265,878191.7059649072,817255.0967865777,760990.8917505249,710064.3810165658,664360.3666739052,880483.6144492344,819954.7560750039,763912.8353705753,713063.0433222926,667327.4046218548,882643.6873356272,822514.8988765331,766701.8018281192,715945.1063814872,670200.5882648792,884684.056721446,824946.4583426489,769365.830395531,718714.6691464687,672979.4988281273,886615.4377921369,827259.4478043036,771912.8047956384,721376.5858070531,675665.4487293123,888447.3076751836,829462.984031485,774350.2694533585,723936.0503381059,678260.8266759616,890188.0662620239,831565.3415623686,776685.3374319877,726398.3380739412,680768.6657854033
9,2023-01-15,975103.5332514136,908453.692680253,847971.6088231257,794234.5856209033,746893.0189353676,979111.4873439859,912741.0957464868,852074.0957164775,797815.2372688904,749723.838974297,982840.9224916889,916853.4648679672,856167.0571227032,801588.7010192289,752968.6676293619,986305.0371121678,920759.1451158405,860161.8045092839,805403.4332586391,756411.3428241552,989524.4926772388,924451.6259655037,864015.5007034147,809175.532088435,759925.0834520326,992521.6135172351,927936.3627330959,867709.7237169486,812858.8494237727,763434.3264252756,995317.9414728805,931224.2581319666,871239.2802983338,816428.9563296677,766893.8976116757,997933.2846417901,934328.3619313401,874606.1474765281,819874.1785319984,770277.1462678215,1000385.4411771791,937262.1898197777,877816.1000495728,823190.416065366,773568.9431891533,1002690.2236392499,940038.8815132035,880876.7981470088,826378.0698458483,776761.4267465274,1004861.60860636,942670.8023721754,883796.6925791325,829440.1806670337,779851.3554211159,1006911.9289215092,945169.3813751048,886584.3991723816,832381.285412782,782838.427331122,1008852.0702287098,947545.074385884,889248.3468927577,835206.7074333039,785724.1965274449,1010691.6549498596,949807.3921608068,891796.5877433778,837922.1147874275,788511.365547978,1012439.2073194697,951964.9597679442,894236.702812545,840533.2463075895,791203.3195876192
